variant_id,slot_index,pattern_x,pattern_y,candidate_id,mask_u16_hex,socket_signature,transform,selection_reason,attempt_count,main_route,branch_route,split_rejoin_route,map21_02_presentation_family_link
MP_RUN_02_A_BRANCHING_LOWLAND,0,0,0,VIS01_MP_50F0,0x50F0,NA-SF-W5-ED,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,FALSE,FALSE,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
MP_RUN_02_A_BRANCHING_LOWLAND,1,1,0,VIS01_MP_4455,0x4455,NB-SA-WC-EF,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,FALSE,FALSE,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
MP_RUN_02_A_BRANCHING_LOWLAND,2,2,0,VIS01_MP_44FF,0x44FF,NB-S0-WC-EC,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,FALSE,FALSE,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
MP_RUN_02_A_BRANCHING_LOWLAND,3,3,0,VIS01_MP_4710,0x4710,NB-SF-W9-EF,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,FALSE,FALSE,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
MP_RUN_02_A_BRANCHING_LOWLAND,4,4,0,VIS01_MP_4080,0x4080,NB-SF-WF-ED,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,FALSE,FALSE,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
MP_RUN_02_A_BRANCHING_LOWLAND,5,5,0,VIS01_MP_4200,0x4200,NB-SF-WF-EF,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,FALSE,FALSE,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
MP_RUN_02_A_BRANCHING_LOWLAND,6,6,0,VIS01_MP_4300,0x4300,NB-SF-WB-EF,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,FALSE,FALSE,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
MP_RUN_02_A_BRANCHING_LOWLAND,7,7,0,VIS01_MP_4400,0x4400,NB-SF-WF-EF,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,FALSE,FALSE,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
MP_RUN_02_A_BRANCHING_LOWLAND,8,8,0,VIS01_MP_4762,0x4762,NB-SD-WB-EF,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,FALSE,FALSE,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
MP_RUN_02_A_BRANCHING_LOWLAND,9,9,0,VIS01_MP_40CF,0x40CF,NB-S0-WE-EC,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,FALSE,FALSE,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
MP_RUN_02_A_BRANCHING_LOWLAND,10,10,0,VIS01_MP_4200,0x4200,NB-SF-WF-EF,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,FALSE,FALSE,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
MP_RUN_02_A_BRANCHING_LOWLAND,11,11,0,VIS01_MP_4340,0x4340,NB-SF-WB-EF,IDENTITY_NO_ROTATION,FILLER_DETAIL_FROM_DIVERSE_500_POOL,1,FALSE,FALSE,FALSE,MAP21_02_READ_ONLY_PRESENTATION_FAMILY
