variant_id,node_kind,pattern_x,pattern_y,main_path,branch_index,room_region
MP_RUN_02_A_BRANCHING_LOWLAND,BRANCH,9,4,FALSE,2,LOWLAND_WEST
MP_RUN_02_A_BRANCHING_LOWLAND,BRANCH,20,4,FALSE,4,LOWLAND_MIDDLE
MP_RUN_02_A_BRANCHING_LOWLAND,BRANCH,33,4,FALSE,6,LOWLAND_EAST
MP_RUN_02_A_BRANCHING_LOWLAND,BRANCH,44,4,FALSE,8,LOWLAND_EAST
MP_RUN_02_A_BRANCHING_LOWLAND,BRANCH,9,5,FALSE,2,LOWLAND_WEST
MP_RUN_02_A_BRANCHING_LOWLAND,BRANCH,20,5,FALSE,4,LOWLAND_MIDDLE
MP_RUN_02_A_BRANCHING_LOWLAND,BRANCH,33,5,FALSE,6,LOWLAND_EAST
MP_RUN_02_A_BRANCHING_LOWLAND,BRANCH,44,5,FALSE,8,LOWLAND_EAST
MP_RUN_02_A_BRANCHING_LOWLAND,MAIN,0,6,TRUE,0,LOWLAND_WEST
MP_RUN_02_A_BRANCHING_LOWLAND,MAIN,1,6,TRUE,0,LOWLAND_WEST
MP_RUN_02_A_BRANCHING_LOWLAND,MAIN,2,6,TRUE,0,LOWLAND_WEST
MP_RUN_02_A_BRANCHING_LOWLAND,MAIN,3,6,TRUE,0,LOWLAND_WEST
MP_RUN_02_A_BRANCHING_LOWLAND,MAIN,4,6,TRUE,0,LOWLAND_WEST
MP_RUN_02_A_BRANCHING_LOWLAND,MAIN,5,6,TRUE,0,LOWLAND_WEST
MP_RUN_02_A_BRANCHING_LOWLAND,MAIN,6,6,TRUE,0,LOWLAND_WEST
MP_RUN_02_A_BRANCHING_LOWLAND,MAIN,7,6,TRUE,0,LOWLAND_WEST
MP_RUN_02_A_BRANCHING_LOWLAND,MAIN,8,6,TRUE,0,LOWLAND_WEST
MP_RUN_02_A_BRANCHING_LOWLAND,MAIN,9,6,TRUE,0,LOWLAND_WEST
MP_RUN_02_A_BRANCHING_LOWLAND,MAIN,10,6,TRUE,0,LOWLAND_WEST
MP_RUN_02_A_BRANCHING_LOWLAND,MAIN,11,6,TRUE,0,LOWLAND_WEST
MP_RUN_02_A_BRANCHING_LOWLAND,MAIN,12,6,TRUE,0,LOWLAND_WEST
MP_RUN_02_A_BRANCHING_LOWLAND,MAIN,13,6,TRUE,0,LOWLAND_WEST
MP_RUN_02_A_BRANCHING_LOWLAND,MAIN,14,6,TRUE,0,LOWLAND_WEST
MP_RUN_02_A_BRANCHING_LOWLAND,MAIN,15,6,TRUE,0,LOWLAND_WEST
MP_RUN_02_A_BRANCHING_LOWLAND,MAIN,16,6,TRUE,0,LOWLAND_MIDDLE
MP_RUN_02_A_BRANCHING_LOWLAND,MAIN,17,6,TRUE,0,LOWLAND_MIDDLE
MP_RUN_02_A_BRANCHING_LOWLAND,MAIN,18,6,TRUE,0,LOWLAND_MIDDLE
MP_RUN_02_A_BRANCHING_LOWLAND,MAIN,19,6,TRUE,0,LOWLAND_MIDDLE
MP_RUN_02_A_BRANCHING_LOWLAND,MAIN,20,6,TRUE,0,LOWLAND_MIDDLE
MP_RUN_02_A_BRANCHING_LOWLAND,MAIN,21,6,TRUE,0,LOWLAND_MIDDLE
MP_RUN_02_A_BRANCHING_LOWLAND,MAIN,22,6,TRUE,0,LOWLAND_MIDDLE
MP_RUN_02_A_BRANCHING_LOWLAND,MAIN,23,6,TRUE,0,LOWLAND_MIDDLE
MP_RUN_02_A_BRANCHING_LOWLAND,MAIN,24,6,TRUE,0,LOWLAND_MIDDLE
MP_RUN_02_A_BRANCHING_LOWLAND,MAIN,25,6,TRUE,0,LOWLAND_MIDDLE
