variant_id,edge_index,from_x,from_y,to_x,to_y,direction,edge_kind,main_path,owner_index,required_socket_bit
MP_RUN_02_A_BRANCHING_LOWLAND,0,0,6,1,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,1,1,6,2,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,2,2,6,3,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,3,3,6,4,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,4,4,6,5,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,5,5,6,6,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,6,6,6,7,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,7,7,6,8,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,8,8,6,9,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,9,9,6,10,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,10,10,6,11,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,11,11,6,12,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,12,12,6,13,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,13,13,6,14,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,14,14,6,15,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,15,15,6,16,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,16,16,6,17,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,17,17,6,18,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,18,18,6,19,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,19,19,6,20,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,20,20,6,21,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,21,21,6,22,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,22,22,6,23,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,23,23,6,24,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,24,24,6,25,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,25,25,6,26,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,26,26,6,27,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,27,27,6,28,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,28,28,6,29,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,29,29,6,30,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,30,30,6,31,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,31,31,6,32,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,32,32,6,33,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,33,33,6,34,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,34,34,6,35,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,35,35,6,36,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,36,36,6,37,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,37,37,6,38,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,38,38,6,39,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,39,39,6,40,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,40,40,6,41,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,41,41,6,42,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,42,42,6,43,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,43,43,6,44,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,44,44,6,45,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,45,45,6,46,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,46,46,6,47,6,East,MAIN,TRUE,0,1
MP_RUN_02_A_BRANCHING_LOWLAND,47,4,6,4,7,North,BRANCH,FALSE,1,1
MP_RUN_02_A_BRANCHING_LOWLAND,48,4,7,4,8,North,BRANCH,FALSE,1,1
MP_RUN_02_A_BRANCHING_LOWLAND,49,9,6,9,5,South,BRANCH,FALSE,2,1
MP_RUN_02_A_BRANCHING_LOWLAND,50,9,5,9,4,South,BRANCH,FALSE,2,1
MP_RUN_02_A_BRANCHING_LOWLAND,51,14,6,14,7,North,BRANCH,FALSE,3,1
MP_RUN_02_A_BRANCHING_LOWLAND,52,14,7,14,8,North,BRANCH,FALSE,3,1
MP_RUN_02_A_BRANCHING_LOWLAND,53,20,6,20,5,South,BRANCH,FALSE,4,1
MP_RUN_02_A_BRANCHING_LOWLAND,54,20,5,20,4,South,BRANCH,FALSE,4,1
