recipe_id,x,y,collision,source_owner_id,source,support_kind
JUMP012_MIXED_MX,3,4,TOP_ONLY,JS03_ONE_WAY,BASE_SUPPORT,ONE_WAY
JUMP012_MIXED_MX,4,4,TOP_ONLY,JS03_ONE_WAY,BASE_SUPPORT,ONE_WAY
JUMP012_MIXED_MX,5,4,TOP_ONLY,JS03_ONE_WAY,BASE_SUPPORT,ONE_WAY
JUMP012_MIXED_MX,8,5,SOLID,JS04_SOLID,OUTLINE_BACKING,SOLID
JUMP012_MIXED_MX,8,6,SOLID,JS04_SOLID,BASE_SUPPORT,SOLID
JUMP012_MIXED_MX,9,2,SOLID,JS02_SOLID,OUTLINE_BACKING,SOLID
JUMP012_MIXED_MX,9,3,SOLID,JS02_SOLID,BASE_SUPPORT,SOLID
JUMP012_MIXED_MX,9,4,SOLID,JS04_SOLID,OUTLINE_BACKING,SOLID
JUMP012_MIXED_MX,9,5,SOLID,JS04_SOLID,OUTLINE_BACKING,SOLID
JUMP012_MIXED_MX,9,6,SOLID,JS04_SOLID,BASE_SUPPORT,SOLID
JUMP012_MIXED_MX,10,1,SOLID,JS02_SOLID,OUTLINE_BACKING,SOLID
JUMP012_MIXED_MX,10,2,SOLID,JS02_SOLID,OUTLINE_BACKING,SOLID
JUMP012_MIXED_MX,10,3,SOLID,JS02_SOLID,BASE_SUPPORT,SOLID
JUMP012_MIXED_MX,11,2,SOLID,JS02_SOLID,OUTLINE_BACKING,SOLID
JUMP012_MIXED_MX,11,3,SOLID,JS02_SOLID,BASE_SUPPORT,SOLID
JUMP012_MIXED_MX,12,6,TOP_ONLY,JS05_ONE_WAY,BASE_SUPPORT,ONE_WAY
JUMP012_MIXED_MX,13,6,TOP_ONLY,JS05_ONE_WAY,BASE_SUPPORT,ONE_WAY
JUMP012_MIXED_MX,14,6,TOP_ONLY,JS05_ONE_WAY,BASE_SUPPORT,ONE_WAY
JUMP012_MIXED_MX,14,10,TOP_ONLY,JS09_EXIT_ONE_WAY,BASE_SUPPORT,ONE_WAY
JUMP012_MIXED_MX,15,2,TOP_ONLY,JS01_ONE_WAY,BASE_SUPPORT,ONE_WAY
JUMP012_MIXED_MX,15,10,TOP_ONLY,JS09_EXIT_ONE_WAY,BASE_SUPPORT,ONE_WAY
JUMP012_MIXED_MX,16,2,TOP_ONLY,JS01_ONE_WAY,BASE_SUPPORT,ONE_WAY
JUMP012_MIXED_MX,16,10,TOP_ONLY,JS09_EXIT_ONE_WAY,BASE_SUPPORT,ONE_WAY
JUMP012_MIXED_MX,17,2,TOP_ONLY,JS01_ONE_WAY,BASE_SUPPORT,ONE_WAY
JUMP012_MIXED_MX,17,6,SOLID,JS06_SOLID,OUTLINE_BACKING,SOLID
JUMP012_MIXED_MX,17,7,SOLID,JS06_SOLID,BASE_SUPPORT,SOLID
JUMP012_MIXED_MX,18,5,SOLID,JS06_SOLID,OUTLINE_BACKING,SOLID
JUMP012_MIXED_MX,18,6,SOLID,JS06_SOLID,OUTLINE_BACKING,SOLID
JUMP012_MIXED_MX,18,7,SOLID,JS06_SOLID,BASE_SUPPORT,SOLID
JUMP012_MIXED_MX,19,5,SOLID,JS06_SOLID,OUTLINE_BACKING,SOLID
JUMP012_MIXED_MX,19,6,SOLID,JS06_SOLID,OUTLINE_BACKING,SOLID
JUMP012_MIXED_MX,19,7,SOLID,JS06_SOLID,BASE_SUPPORT,SOLID
JUMP012_MIXED_MX,19,8,SOLID,JS08_SOLID,OUTLINE_BACKING,SOLID
JUMP012_MIXED_MX,19,9,SOLID,JS08_SOLID,BASE_SUPPORT,SOLID
JUMP012_MIXED_MX,20,7,SOLID,JS08_SOLID,OUTLINE_BACKING,SOLID
JUMP012_MIXED_MX,20,8,SOLID,JS08_SOLID,OUTLINE_BACKING,SOLID
JUMP012_MIXED_MX,20,9,SOLID,JS08_SOLID,BASE_SUPPORT,SOLID
