hub_id,x,y,cell_role,micro_x,micro_y,micro_pattern_owner,source_value,final_value,plan_digest
SV5_HUB_0949d931bfb252f66eb3,272,264,SOLID,68,66,SV5_HUB_0949d931bfb252f66eb3@68:66,UNKNOWN,SOLID,ae08f7778b162cf6feef0301bce718d96153069bba0097e5c4e94b4d23303297
SV5_HUB_0949d931bfb252f66eb3,273,264,SOLID,68,66,SV5_HUB_0949d931bfb252f66eb3@68:66,UNKNOWN,SOLID,ae08f7778b162cf6feef0301bce718d96153069bba0097e5c4e94b4d23303297
SV5_HUB_0949d931bfb252f66eb3,274,264,SOLID,68,66,SV5_HUB_0949d931bfb252f66eb3@68:66,UNKNOWN,SOLID,ae08f7778b162cf6feef0301bce718d96153069bba0097e5c4e94b4d23303297
SV5_HUB_0949d931bfb252f66eb3,275,264,SOLID,68,66,SV5_HUB_0949d931bfb252f66eb3@68:66,UNKNOWN,SOLID,ae08f7778b162cf6feef0301bce718d96153069bba0097e5c4e94b4d23303297
SV5_HUB_0949d931bfb252f66eb3,276,264,SOLID,69,66,SV5_HUB_0949d931bfb252f66eb3@69:66,UNKNOWN,SOLID,ae08f7778b162cf6feef0301bce718d96153069bba0097e5c4e94b4d23303297
SV5_HUB_0949d931bfb252f66eb3,277,264,SOLID,69,66,SV5_HUB_0949d931bfb252f66eb3@69:66,UNKNOWN,SOLID,ae08f7778b162cf6feef0301bce718d96153069bba0097e5c4e94b4d23303297
SV5_HUB_0949d931bfb252f66eb3,278,264,SOLID,69,66,SV5_HUB_0949d931bfb252f66eb3@69:66,UNKNOWN,SOLID,ae08f7778b162cf6feef0301bce718d96153069bba0097e5c4e94b4d23303297
SV5_HUB_0949d931bfb252f66eb3,279,264,SOLID,69,66,SV5_HUB_0949d931bfb252f66eb3@69:66,UNKNOWN,SOLID,ae08f7778b162cf6feef0301bce718d96153069bba0097e5c4e94b4d23303297
SV5_HUB_0949d931bfb252f66eb3,280,264,SOLID,70,66,SV5_HUB_0949d931bfb252f66eb3@70:66,UNKNOWN,SOLID,ae08f7778b162cf6feef0301bce718d96153069bba0097e5c4e94b4d23303297
SV5_HUB_0949d931bfb252f66eb3,281,264,SOLID,70,66,SV5_HUB_0949d931bfb252f66eb3@70:66,UNKNOWN,SOLID,ae08f7778b162cf6feef0301bce718d96153069bba0097e5c4e94b4d23303297
SV5_HUB_0949d931bfb252f66eb3,282,264,SOLID,70,66,SV5_HUB_0949d931bfb252f66eb3@70:66,UNKNOWN,SOLID,ae08f7778b162cf6feef0301bce718d96153069bba0097e5c4e94b4d23303297
SV5_HUB_0949d931bfb252f66eb3,283,264,SOLID,70,66,SV5_HUB_0949d931bfb252f66eb3@70:66,UNKNOWN,SOLID,ae08f7778b162cf6feef0301bce718d96153069bba0097e5c4e94b4d23303297
SV5_HUB_0949d931bfb252f66eb3,284,264,SOLID,71,66,SV5_HUB_0949d931bfb252f66eb3@71:66,UNKNOWN,SOLID,ae08f7778b162cf6feef0301bce718d96153069bba0097e5c4e94b4d23303297
SV5_HUB_0949d931bfb252f66eb3,285,264,SOLID,71,66,SV5_HUB_0949d931bfb252f66eb3@71:66,UNKNOWN,SOLID,ae08f7778b162cf6feef0301bce718d96153069bba0097e5c4e94b4d23303297
SV5_HUB_0949d931bfb252f66eb3,286,264,SOLID,71,66,SV5_HUB_0949d931bfb252f66eb3@71:66,UNKNOWN,SOLID,ae08f7778b162cf6feef0301bce718d96153069bba0097e5c4e94b4d23303297
SV5_HUB_0949d931bfb252f66eb3,287,264,SOLID,71,66,SV5_HUB_0949d931bfb252f66eb3@71:66,UNKNOWN,SOLID,ae08f7778b162cf6feef0301bce718d96153069bba0097e5c4e94b4d23303297
SV5_HUB_0949d931bfb252f66eb3,288,264,SOLID,72,66,SV5_HUB_0949d931bfb252f66eb3@72:66,UNKNOWN,SOLID,ae08f7778b162cf6feef0301bce718d96153069bba0097e5c4e94b4d23303297
SV5_HUB_0949d931bfb252f66eb3,289,264,SOLID,72,66,SV5_HUB_0949d931bfb252f66eb3@72:66,UNKNOWN,SOLID,ae08f7778b162cf6feef0301bce718d96153069bba0097e5c4e94b4d23303297
SV5_HUB_0949d931bfb252f66eb3,290,264,SOLID,72,66,SV5_HUB_0949d931bfb252f66eb3@72:66,UNKNOWN,SOLID,ae08f7778b162cf6feef0301bce718d96153069bba0097e5c4e94b4d23303297
SV5_HUB_0949d931bfb252f66eb3,291,264,SOLID,72,66,SV5_HUB_0949d931bfb252f66eb3@72:66,UNKNOWN,SOLID,ae08f7778b162cf6feef0301bce718d96153069bba0097e5c4e94b4d23303297
SV5_HUB_0949d931bfb252f66eb3,292,264,SOLID,73,66,SV5_HUB_0949d931bfb252f66eb3@73:66,UNKNOWN,SOLID,ae08f7778b162cf6feef0301bce718d96153069bba0097e5c4e94b4d23303297
SV5_HUB_0949d931bfb252f66eb3,293,264,SOLID,73,66,SV5_HUB_0949d931bfb252f66eb3@73:66,UNKNOWN,SOLID,ae08f7778b162cf6feef0301bce718d96153069bba0097e5c4e94b4d23303297
SV5_HUB_0949d931bfb252f66eb3,294,264,SOLID,73,66,SV5_HUB_0949d931bfb252f66eb3@73:66,UNKNOWN,SOLID,ae08f7778b162cf6feef0301bce718d96153069bba0097e5c4e94b4d23303297
SV5_HUB_0949d931bfb252f66eb3,295,264,SOLID,73,66,SV5_HUB_0949d931bfb252f66eb3@73:66,UNKNOWN,SOLID,ae08f7778b162cf6feef0301bce718d96153069bba0097e5c4e94b4d23303297
SV5_HUB_0949d931bfb252f66eb3,272,265,SOLID,68,66,SV5_HUB_0949d931bfb252f66eb3@68:66,UNKNOWN,SOLID,ae08f7778b162cf6feef0301bce718d96153069bba0097e5c4e94b4d23303297
SV5_HUB_0949d931bfb252f66eb3,273,265,SOLID,68,66,SV5_HUB_0949d931bfb252f66eb3@68:66,UNKNOWN,SOLID,ae08f7778b162cf6feef0301bce718d96153069bba0097e5c4e94b4d23303297
SV5_HUB_0949d931bfb252f66eb3,274,265,SOLID,68,66,SV5_HUB_0949d931bfb252f66eb3@68:66,UNKNOWN,SOLID,ae08f7778b162cf6feef0301bce718d96153069bba0097e5c4e94b4d23303297
SV5_HUB_0949d931bfb252f66eb3,275,265,SOLID,68,66,SV5_HUB_0949d931bfb252f66eb3@68:66,UNKNOWN,SOLID,ae08f7778b162cf6feef0301bce718d96153069bba0097e5c4e94b4d23303297
SV5_HUB_0949d931bfb252f66eb3,276,265,SOLID,69,66,SV5_HUB_0949d931bfb252f66eb3@69:66,UNKNOWN,SOLID,ae08f7778b162cf6feef0301bce718d96153069bba0097e5c4e94b4d23303297
SV5_HUB_0949d931bfb252f66eb3,277,265,SOLID,69,66,SV5_HUB_0949d931bfb252f66eb3@69:66,UNKNOWN,SOLID,ae08f7778b162cf6feef0301bce718d96153069bba0097e5c4e94b4d23303297
SV5_HUB_0949d931bfb252f66eb3,278,265,SOLID,69,66,SV5_HUB_0949d931bfb252f66eb3@69:66,UNKNOWN,SOLID,ae08f7778b162cf6feef0301bce718d96153069bba0097e5c4e94b4d23303297
