sector_recipe_id,socket_id,side,edge_chunk_index,band_id,traversal_kind,mandatory_allowed,edge_signature_id,notes
SEC_GRAY_T1_STRAIGHT_01,EXT_L,L,1,BAND_H_MID,WALK,1,EDGE_H_MID_WALK,
SEC_GRAY_T1_STRAIGHT_01,EXT_R,R,1,BAND_H_MID,WALK,1,EDGE_H_MID_WALK,
SEC_GRAY_T2_DROP_01,EXT_L,L,2,BAND_H_MID,WALK,1,EDGE_H_MID_WALK,
SEC_GRAY_T2_DROP_01,EXT_R,R,2,BAND_H_MID,WALK,1,EDGE_H_MID_WALK,
SEC_GRAY_T2_DROP_01,EXT_D,D,2,BAND_V_CENTER,DROP,1,EDGE_V_CENTER_CLIMB,
SEC_GRAY_T3_ASCEND_01,EXT_L,L,1,BAND_H_MID,WALK,1,EDGE_H_MID_WALK,
SEC_GRAY_T3_ASCEND_01,EXT_R,R,1,BAND_H_MID,WALK,1,EDGE_H_MID_WALK,
SEC_GRAY_T3_ASCEND_01,EXT_U,U,1,BAND_V_CENTER,CLIMB,1,EDGE_V_CENTER_CLIMB,
SEC_GRAY_T0_DEADEND_L_01,EXT_L,L,1,BAND_H_MID,WALK,0,EDGE_H_MID_WALK,
SEC_BOUND_CRATER_ROOT_T1_01,EXT_L,L,1,BAND_H_MID,WALK,1,EDGE_H_MID_WALK,
SEC_BOUND_CRATER_ROOT_T1_01,EXT_R,R,1,BAND_H_MID,WALK,1,EDGE_H_MID_WALK,
SEC_BOUND_CRATER_MILL_T1_01,EXT_L,L,1,BAND_H_MID,WALK,1,EDGE_H_MID_WALK,
SEC_BOUND_CRATER_MILL_T1_01,EXT_R,R,1,BAND_H_MID,WALK,1,EDGE_H_MID_WALK,
SEC_SPECIAL_MOON_CORE_01,EXT_L,L,1,BAND_H_MID,WALK,1,EDGE_H_MID_WALK,
SEC_SPECIAL_MOON_CORE_01,EXT_R,R,1,BAND_H_MID,WALK,1,EDGE_H_MID_WALK,
SEC_SPECIAL_CASSIA_SAP_01,EXT_L,L,1,BAND_H_MID,WALK,1,EDGE_H_MID_WALK,
SEC_SPECIAL_CASSIA_SAP_01,EXT_R,R,1,BAND_H_MID,WALK,1,EDGE_H_MID_WALK,
SEC_SPECIAL_STAR_YEAST_01,EXT_L,L,1,BAND_H_MID,WALK,1,EDGE_H_MID_WALK,
SEC_SPECIAL_STAR_YEAST_01,EXT_R,R,1,BAND_H_MID,WALK,1,EDGE_H_MID_WALK,
SEC_SPECIAL_FORGE_01,EXT_L,L,1,BAND_H_MID,WALK,1,EDGE_H_MID_WALK,
SEC_SPECIAL_FORGE_01,EXT_R,R,1,BAND_H_MID,WALK,1,EDGE_H_MID_WALK,
SEC_SPECIAL_BOSS_ENTRY_01,EXT_L,L,1,BAND_H_MID,WALK,1,EDGE_H_MID_WALK,
SEC_SPECIAL_BOSS_ENTRY_01,EXT_R,R,1,BAND_H_MID,WALK,1,EDGE_H_MID_WALK,
SEC_SPECIAL_BOSS_ARENA_01,EXT_L,L,1,BAND_H_MID,WALK,1,EDGE_H_MID_WALK,
SEC_SPECIAL_BOSS_ARENA_01,EXT_R,R,1,BAND_H_MID,WALK,1,EDGE_H_MID_WALK,
