sector_recipe_id,path_id,path_order,chunk_x,chunk_y,enter_side,exit_side,mandatory,traversal_kind,max_jump_tiles,notes
SEC_GRAY_T1_STRAIGHT_01,PATH_MAIN,0,0,1,START,R,1,WALK,4,
SEC_GRAY_T1_STRAIGHT_01,PATH_MAIN,1,1,1,L,R,1,WALK,4,
SEC_GRAY_T1_STRAIGHT_01,PATH_MAIN,2,2,1,L,R,1,WALK,4,
SEC_GRAY_T1_STRAIGHT_01,PATH_MAIN,3,3,1,L,END,1,WALK,4,
SEC_GRAY_T2_DROP_01,PATH_MAIN,0,0,2,START,R,1,WALK,4,
SEC_GRAY_T2_DROP_01,PATH_MAIN,1,1,2,L,R,1,WALK,4,
SEC_GRAY_T2_DROP_01,PATH_MAIN,2,2,2,L,R,1,WALK,4,
SEC_GRAY_T2_DROP_01,PATH_MAIN,3,3,2,L,END,1,WALK,4,
SEC_GRAY_T2_DROP_01,PATH_DOWN,0,2,2,START,D,1,DROP,4,
SEC_GRAY_T2_DROP_01,PATH_DOWN,1,2,1,U,D,1,CLIMB,4,
SEC_GRAY_T2_DROP_01,PATH_DOWN,2,2,0,U,END,1,CLIMB,4,
SEC_GRAY_T3_ASCEND_01,PATH_MAIN,0,0,1,START,R,1,WALK,4,
SEC_GRAY_T3_ASCEND_01,PATH_MAIN,1,1,1,L,R,1,WALK,4,
SEC_GRAY_T3_ASCEND_01,PATH_MAIN,2,2,1,L,R,1,WALK,4,
SEC_GRAY_T3_ASCEND_01,PATH_MAIN,3,3,1,L,END,1,WALK,4,
SEC_GRAY_T3_ASCEND_01,PATH_UP,0,1,1,START,U,1,CLIMB,4,
SEC_GRAY_T3_ASCEND_01,PATH_UP,1,1,2,D,U,1,CLIMB,4,
SEC_GRAY_T3_ASCEND_01,PATH_UP,2,1,3,D,END,1,CLIMB,4,
SEC_GRAY_T0_DEADEND_L_01,PATH_OPTIONAL,0,0,1,START,R,0,WALK,4,
SEC_GRAY_T0_DEADEND_L_01,PATH_OPTIONAL,1,1,1,L,R,0,WALK,4,
SEC_GRAY_T0_DEADEND_L_01,PATH_OPTIONAL,2,2,1,L,END,0,WALK,4,
SEC_BOUND_CRATER_ROOT_T1_01,PATH_MAIN,0,0,1,START,R,1,WALK,4,
SEC_BOUND_CRATER_ROOT_T1_01,PATH_MAIN,1,1,1,L,R,1,WALK,4,
SEC_BOUND_CRATER_ROOT_T1_01,PATH_MAIN,2,2,1,L,R,1,WALK,4,
SEC_BOUND_CRATER_ROOT_T1_01,PATH_MAIN,3,3,1,L,END,1,WALK,4,
SEC_BOUND_CRATER_MILL_T1_01,PATH_MAIN,0,0,1,START,R,1,WALK,4,
SEC_BOUND_CRATER_MILL_T1_01,PATH_MAIN,1,1,1,L,R,1,WALK,4,
SEC_BOUND_CRATER_MILL_T1_01,PATH_MAIN,2,2,1,L,R,1,WALK,4,
SEC_BOUND_CRATER_MILL_T1_01,PATH_MAIN,3,3,1,L,END,1,WALK,4,
SEC_SPECIAL_MOON_CORE_01,PATH_MAIN,0,0,1,START,R,1,WALK,4,
SEC_SPECIAL_MOON_CORE_01,PATH_MAIN,1,1,1,L,R,1,WALK,4,
SEC_SPECIAL_MOON_CORE_01,PATH_MAIN,2,2,1,L,R,1,WALK,4,
SEC_SPECIAL_MOON_CORE_01,PATH_MAIN,3,3,1,L,END,1,WALK,4,
SEC_SPECIAL_CASSIA_SAP_01,PATH_MAIN,0,0,1,START,R,1,WALK,4,
SEC_SPECIAL_CASSIA_SAP_01,PATH_MAIN,1,1,1,L,R,1,WALK,4,
SEC_SPECIAL_CASSIA_SAP_01,PATH_MAIN,2,2,1,L,R,1,WALK,4,
SEC_SPECIAL_CASSIA_SAP_01,PATH_MAIN,3,3,1,L,END,1,WALK,4,
SEC_SPECIAL_STAR_YEAST_01,PATH_MAIN,0,0,1,START,R,1,WALK,4,
SEC_SPECIAL_STAR_YEAST_01,PATH_MAIN,1,1,1,L,R,1,WALK,4,
SEC_SPECIAL_STAR_YEAST_01,PATH_MAIN,2,2,1,L,R,1,WALK,4,
SEC_SPECIAL_STAR_YEAST_01,PATH_MAIN,3,3,1,L,END,1,WALK,4,
SEC_SPECIAL_FORGE_01,PATH_MAIN,0,0,1,START,R,1,WALK,4,
SEC_SPECIAL_FORGE_01,PATH_MAIN,1,1,1,L,R,1,WALK,4,
SEC_SPECIAL_FORGE_01,PATH_MAIN,2,2,1,L,R,1,WALK,4,
SEC_SPECIAL_FORGE_01,PATH_MAIN,3,3,1,L,END,1,WALK,4,
SEC_SPECIAL_BOSS_ENTRY_01,PATH_MAIN,0,0,1,START,R,1,WALK,4,
SEC_SPECIAL_BOSS_ENTRY_01,PATH_MAIN,1,1,1,L,R,1,WALK,4,
SEC_SPECIAL_BOSS_ENTRY_01,PATH_MAIN,2,2,1,L,R,1,WALK,4,
SEC_SPECIAL_BOSS_ENTRY_01,PATH_MAIN,3,3,1,L,END,1,WALK,4,
SEC_SPECIAL_BOSS_ARENA_01,PATH_MAIN,0,0,1,START,R,1,WALK,4,
SEC_SPECIAL_BOSS_ARENA_01,PATH_MAIN,1,1,1,L,R,1,WALK,4,
SEC_SPECIAL_BOSS_ARENA_01,PATH_MAIN,2,2,1,L,R,1,WALK,4,
SEC_SPECIAL_BOSS_ARENA_01,PATH_MAIN,3,3,1,L,END,1,WALK,4,
