sector_recipe_id,chunk_x,chunk_y,cell_role,fixed_microchunk_id,microchunk_pool_id,required_usage_class,required_route_roles,required_biome_ids,required_signature_l,required_signature_r,required_signature_u,required_signature_d,transform_policy,notes
SEC_GRAY_T1_STRAIGHT_01,0,0,FILLER,,POOL_MC_FILLER,,,,,,,,R0|MIRROR_X,
SEC_GRAY_T1_STRAIGHT_01,1,0,FILLER,,POOL_MC_FILLER,,,,,,,,R0|MIRROR_X,
SEC_GRAY_T1_STRAIGHT_01,2,0,FILLER,,POOL_MC_FILLER,,,,,,,,R0|MIRROR_X,
SEC_GRAY_T1_STRAIGHT_01,3,0,FILLER,,POOL_MC_FILLER,,,,,,,,R0|MIRROR_X,
SEC_GRAY_T1_STRAIGHT_01,0,1,MANDATORY_PATH,MC_GRAY_H_STRAIGHT_01,,,,,,,,,R0|MIRROR_X,
SEC_GRAY_T1_STRAIGHT_01,1,1,MANDATORY_PATH,MC_GRAY_H_STRAIGHT_01,,,,,,,,,R0|MIRROR_X,
SEC_GRAY_T1_STRAIGHT_01,2,1,MANDATORY_PATH,MC_GRAY_H_STRAIGHT_01,,,,,,,,,R0|MIRROR_X,
SEC_GRAY_T1_STRAIGHT_01,3,1,MANDATORY_PATH,MC_GRAY_H_STRAIGHT_01,,,,,,,,,R0|MIRROR_X,
SEC_GRAY_T1_STRAIGHT_01,0,2,FILLER,,POOL_MC_FILLER,,,,,,,,R0|MIRROR_X,
SEC_GRAY_T1_STRAIGHT_01,1,2,FILLER,,POOL_MC_FILLER,,,,,,,,R0|MIRROR_X,
SEC_GRAY_T1_STRAIGHT_01,2,2,FILLER,,POOL_MC_FILLER,,,,,,,,R0|MIRROR_X,
SEC_GRAY_T1_STRAIGHT_01,3,2,FILLER,,POOL_MC_FILLER,,,,,,,,R0|MIRROR_X,
SEC_GRAY_T1_STRAIGHT_01,0,3,FILLER,,POOL_MC_FILLER,,,,,,,,R0|MIRROR_X,
SEC_GRAY_T1_STRAIGHT_01,1,3,FILLER,,POOL_MC_FILLER,,,,,,,,R0|MIRROR_X,
SEC_GRAY_T1_STRAIGHT_01,2,3,FILLER,,POOL_MC_FILLER,,,,,,,,R0|MIRROR_X,
SEC_GRAY_T1_STRAIGHT_01,3,3,FILLER,,POOL_MC_FILLER,,,,,,,,R0|MIRROR_X,
SEC_GRAY_T2_DROP_01,0,0,FILLER,,POOL_MC_FILLER,,,,,,,,R0|MIRROR_X,
SEC_GRAY_T2_DROP_01,1,0,FILLER,,POOL_MC_FILLER,,,,,,,,R0|MIRROR_X,
SEC_GRAY_T2_DROP_01,2,0,MANDATORY_PATH,MC_GRAY_VERTICAL_SHAFT_01,,,,,,,,,R0|MIRROR_X,
SEC_GRAY_T2_DROP_01,3,0,FILLER,,POOL_MC_FILLER,,,,,,,,R0|MIRROR_X,
SEC_GRAY_T2_DROP_01,0,1,FILLER,,POOL_MC_FILLER,,,,,,,,R0|MIRROR_X,
SEC_GRAY_T2_DROP_01,1,1,FILLER,,POOL_MC_FILLER,,,,,,,,R0|MIRROR_X,
SEC_GRAY_T2_DROP_01,2,1,MANDATORY_PATH,MC_GRAY_VERTICAL_SHAFT_01,,,,,,,,,R0|MIRROR_X,
SEC_GRAY_T2_DROP_01,3,1,FILLER,,POOL_MC_FILLER,,,,,,,,R0|MIRROR_X,
SEC_GRAY_T2_DROP_01,0,2,MANDATORY_PATH,MC_GRAY_H_STRAIGHT_01,,,,,,,,,R0|MIRROR_X,
SEC_GRAY_T2_DROP_01,1,2,MANDATORY_PATH,MC_GRAY_H_STRAIGHT_01,,,,,,,,,R0|MIRROR_X,
SEC_GRAY_T2_DROP_01,2,2,MANDATORY_PATH,MC_GRAY_DROP_CENTER_01,,,,,,,,,R0|MIRROR_X,
SEC_GRAY_T2_DROP_01,3,2,MANDATORY_PATH,MC_GRAY_H_STRAIGHT_01,,,,,,,,,R0|MIRROR_X,
SEC_GRAY_T2_DROP_01,0,3,FILLER,,POOL_MC_FILLER,,,,,,,,R0|MIRROR_X,
SEC_GRAY_T2_DROP_01,1,3,FILLER,,POOL_MC_FILLER,,,,,,,,R0|MIRROR_X,
SEC_GRAY_T2_DROP_01,2,3,FILLER,,POOL_MC_FILLER,,,,,,,,R0|MIRROR_X,
SEC_GRAY_T2_DROP_01,3,3,FILLER,,POOL_MC_FILLER,,,,,,,,R0|MIRROR_X,
SEC_GRAY_T3_ASCEND_01,0,0,FILLER,,POOL_MC_FILLER,,,,,,,,R0|MIRROR_X,
SEC_GRAY_T3_ASCEND_01,1,0,FILLER,,POOL_MC_FILLER,,,,,,,,R0|MIRROR_X,
SEC_GRAY_T3_ASCEND_01,2,0,FILLER,,POOL_MC_FILLER,,,,,,,,R0|MIRROR_X,
SEC_GRAY_T3_ASCEND_01,3,0,FILLER,,POOL_MC_FILLER,,,,,,,,R0|MIRROR_X,
SEC_GRAY_T3_ASCEND_01,0,1,MANDATORY_PATH,MC_GRAY_H_STRAIGHT_01,,,,,,,,,R0|MIRROR_X,
