connection_id,cell_role,sequence,x,y,before_value,final_value,head_value,support_value,changed,ownership,plan_digest
SV5_HUB_b624339804c077812f98_CONNECTION_01,CENTERLINE,0,536,241,UNKNOWN,AIR,AIR,SOLID,true,HUB_CONNECTION_ACTUAL,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
SV5_HUB_b624339804c077812f98_CONNECTION_01,CENTERLINE,1,535,241,UNKNOWN,AIR,AIR,AIR,true,HUB_CONNECTION_ACTUAL,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
SV5_HUB_b624339804c077812f98_CONNECTION_01,CENTERLINE,2,535,240,UNKNOWN,AIR,AIR,AIR,true,HUB_CONNECTION_ACTUAL,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
SV5_HUB_b624339804c077812f98_CONNECTION_01,CENTERLINE,3,535,239,UNKNOWN,AIR,AIR,AIR,true,HUB_CONNECTION_ACTUAL,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
SV5_HUB_b624339804c077812f98_CONNECTION_01,CENTERLINE,4,535,238,UNKNOWN,AIR,AIR,AIR,true,HUB_CONNECTION_ACTUAL,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
SV5_HUB_b624339804c077812f98_CONNECTION_01,CENTERLINE,5,535,237,UNKNOWN,AIR,AIR,AIR,true,HUB_CONNECTION_ACTUAL,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
SV5_HUB_b624339804c077812f98_CONNECTION_01,CENTERLINE,6,535,236,UNKNOWN,AIR,AIR,AIR,true,HUB_CONNECTION_ACTUAL,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
SV5_HUB_b624339804c077812f98_CONNECTION_01,CENTERLINE,7,535,235,UNKNOWN,AIR,AIR,AIR,true,HUB_CONNECTION_ACTUAL,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
SV5_HUB_b624339804c077812f98_CONNECTION_01,CENTERLINE,8,535,234,UNKNOWN,AIR,AIR,AIR,true,HUB_CONNECTION_ACTUAL,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
SV5_HUB_b624339804c077812f98_CONNECTION_01,CENTERLINE,9,535,233,UNKNOWN,AIR,AIR,AIR,true,HUB_CONNECTION_ACTUAL,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
SV5_HUB_b624339804c077812f98_CONNECTION_01,CENTERLINE,10,535,232,UNKNOWN,AIR,AIR,AIR,true,HUB_CONNECTION_ACTUAL,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
