route_id,sequence,from_x,from_y,to_x,to_y,move_type,traversal_state,body_clear,head_clear,contact_x,contact_y,itemless,initial_capture_rise,plan_digest
TREE_ROUTE_LEFT,0,545,241,545,242,JUMP_GRAB,BRANCH_TO_TRUNK,true,true,546,242,true,1,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
TREE_ROUTE_LEFT,1,545,242,544,244,JUMP,TRUNK_CLIMB,true,true,545,244,true,0,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
TREE_ROUTE_LEFT,2,544,244,545,246,JUMP,TRUNK_CLIMB,true,true,546,246,true,0,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
TREE_ROUTE_LEFT,3,545,246,544,248,JUMP,TRUNK_CLIMB,true,true,545,248,true,0,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
TREE_ROUTE_LEFT,4,544,248,545,250,JUMP,TRUNK_CLIMB,true,true,546,250,true,0,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
TREE_ROUTE_LEFT,5,545,250,544,252,JUMP,TRUNK_CLIMB,true,true,545,252,true,0,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
TREE_ROUTE_LEFT,6,544,252,545,254,JUMP,TRUNK_CLIMB,true,true,546,254,true,0,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
TREE_ROUTE_LEFT,7,545,254,544,256,JUMP,TRUNK_CLIMB,true,true,545,256,true,0,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
TREE_ROUTE_LEFT,8,544,256,545,258,JUMP,TRUNK_CLIMB,true,true,546,258,true,0,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
TREE_ROUTE_LEFT,9,545,258,544,260,JUMP,TRUNK_CLIMB,true,true,545,260,true,0,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
TREE_ROUTE_LEFT,10,544,260,545,262,JUMP,TRUNK_CLIMB,true,true,546,262,true,0,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
TREE_ROUTE_LEFT,11,545,262,544,262,JUMP,TRUNK_TO_BRANCH,true,true,,,true,0,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
TREE_ROUTE_RIGHT,0,550,241,550,242,JUMP_GRAB,BRANCH_TO_TRUNK,true,true,549,242,true,1,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
TREE_ROUTE_RIGHT,1,550,242,549,244,JUMP,TRUNK_CLIMB,true,true,548,244,true,0,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
TREE_ROUTE_RIGHT,2,549,244,550,246,JUMP,TRUNK_CLIMB,true,true,549,246,true,0,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
TREE_ROUTE_RIGHT,3,550,246,549,248,JUMP,TRUNK_CLIMB,true,true,548,248,true,0,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
TREE_ROUTE_RIGHT,4,549,248,550,250,JUMP,TRUNK_CLIMB,true,true,549,250,true,0,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
TREE_ROUTE_RIGHT,5,550,250,549,252,JUMP,TRUNK_CLIMB,true,true,548,252,true,0,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
TREE_ROUTE_RIGHT,6,549,252,550,254,JUMP,TRUNK_CLIMB,true,true,549,254,true,0,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
TREE_ROUTE_RIGHT,7,550,254,549,256,JUMP,TRUNK_CLIMB,true,true,548,256,true,0,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
TREE_ROUTE_RIGHT,8,549,256,550,258,JUMP,TRUNK_CLIMB,true,true,549,258,true,0,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
TREE_ROUTE_RIGHT,9,550,258,549,260,JUMP,TRUNK_CLIMB,true,true,548,260,true,0,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
TREE_ROUTE_RIGHT,10,549,260,550,262,JUMP,TRUNK_CLIMB,true,true,549,262,true,0,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
TREE_ROUTE_RIGHT,11,550,262,551,262,JUMP,TRUNK_TO_BRANCH,true,true,,,true,0,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
