route_id,sequence,from_x,from_y,to_x,to_y,state,contact_x,contact_y,connected,plan_digest
TREE_ROUTE_LEFT,1,545,242,544,244,TRUNK_CLIMB,545,244,true,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
TREE_ROUTE_LEFT,2,544,244,545,246,TRUNK_CLIMB,546,246,true,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
TREE_ROUTE_LEFT,3,545,246,544,248,TRUNK_CLIMB,545,248,true,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
TREE_ROUTE_LEFT,4,544,248,545,250,TRUNK_CLIMB,546,250,true,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
TREE_ROUTE_LEFT,5,545,250,544,252,TRUNK_CLIMB,545,252,true,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
TREE_ROUTE_LEFT,6,544,252,545,254,TRUNK_CLIMB,546,254,true,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
TREE_ROUTE_LEFT,7,545,254,544,256,TRUNK_CLIMB,545,256,true,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
TREE_ROUTE_LEFT,8,544,256,545,258,TRUNK_CLIMB,546,258,true,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
TREE_ROUTE_LEFT,9,545,258,544,260,TRUNK_CLIMB,545,260,true,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
TREE_ROUTE_LEFT,10,544,260,545,262,TRUNK_CLIMB,546,262,true,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
TREE_ROUTE_RIGHT,1,550,242,549,244,TRUNK_CLIMB,548,244,true,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
TREE_ROUTE_RIGHT,2,549,244,550,246,TRUNK_CLIMB,549,246,true,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
TREE_ROUTE_RIGHT,3,550,246,549,248,TRUNK_CLIMB,548,248,true,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
TREE_ROUTE_RIGHT,4,549,248,550,250,TRUNK_CLIMB,549,250,true,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
TREE_ROUTE_RIGHT,5,550,250,549,252,TRUNK_CLIMB,548,252,true,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
TREE_ROUTE_RIGHT,6,549,252,550,254,TRUNK_CLIMB,549,254,true,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
TREE_ROUTE_RIGHT,7,550,254,549,256,TRUNK_CLIMB,548,256,true,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
TREE_ROUTE_RIGHT,8,549,256,550,258,TRUNK_CLIMB,549,258,true,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
TREE_ROUTE_RIGHT,9,550,258,549,260,TRUNK_CLIMB,548,260,true,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
TREE_ROUTE_RIGHT,10,549,260,550,262,TRUNK_CLIMB,549,262,true,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
