region_id,checkpoint_id,checkpoint_kind,required_reward_persistence_key,availability_state,claim_state,duplicate_risk,permanent_loss_risk,canonical_digest
SR_CASSIA_SAP_SITE_5,CRP_CASSIA_01,InitialAvailable,SR_STATE_CASSIA_SAP_SITE_5_REWARD_CASSIA_SAP_REWARD,Available,Unclaimed,false,false,ae7560c90e7390dc2598de53d70b08673b6fb08015204f94f872a33cef9661b2
SR_CASSIA_SAP_SITE_5,CRP_CASSIA_02,InterruptedAvailable,SR_STATE_CASSIA_SAP_SITE_5_REWARD_CASSIA_SAP_REWARD,Available,Unclaimed,false,false,f8badc933d6538bfe128253dc925fa534b38fae59fbe80d5dd56d1c65806d2d2
SR_CASSIA_SAP_SITE_5,CRP_CASSIA_03,FailedAvailable,SR_STATE_CASSIA_SAP_SITE_5_REWARD_CASSIA_SAP_REWARD,Available,Unclaimed,false,false,c9bf48e7738aa36be0071a8e73e2d2a75bbb2e2009f0d7de2df77b3601e2142f
SR_CASSIA_SAP_SITE_5,CRP_CASSIA_04,RegeneratedAvailable,SR_STATE_CASSIA_SAP_SITE_5_REWARD_CASSIA_SAP_REWARD,Available,Unclaimed,false,false,2a7bd9b7236fd4a9361c06a1a7b23e5eb0855f488002bd422185b0345515889b
SR_CASSIA_SAP_SITE_5,CRP_CASSIA_05,Claimed,SR_STATE_CASSIA_SAP_SITE_5_REWARD_CASSIA_SAP_REWARD,Unavailable,Claimed,false,false,f9507c696221248be903bbde74b395f973919d10a7efc47a1bb740782a4d3ad7
SR_CASSIA_SAP_SITE_5,CRP_CASSIA_06,RevisitedClaimed,SR_STATE_CASSIA_SAP_SITE_5_REWARD_CASSIA_SAP_REWARD,Unavailable,Claimed,false,false,8744a44790d575418541e4f5a8e7f41096205a08e8b77b2092374a46235545b5
SR_CASSIA_SAP_SITE_5,CRP_CASSIA_07,RecoveryJoinAvailable,SR_STATE_CASSIA_SAP_SITE_5_REWARD_CASSIA_SAP_REWARD,Available,Unclaimed,false,false,b077255419f078bdac269251d704511453a060b80e8ce1c9c97f20d7fafeed95
SR_MOON_CORE_SITE_5,CRP_MOON_01,InitialAvailable,SR_STATE_MOON_CORE_SITE_5_REWARD_MOON_CORE_REWARD,Available,Unclaimed,false,false,313ff60c8eca959257b3901286ec26c8821a79c7581adb5c0a5b0380913b10f7
SR_MOON_CORE_SITE_5,CRP_MOON_02,InterruptedAvailable,SR_STATE_MOON_CORE_SITE_5_REWARD_MOON_CORE_REWARD,Available,Unclaimed,false,false,b6ae95507ea7c380f52e06a5ebaff398649c3047be090c5717319f53dba2f9e4
SR_MOON_CORE_SITE_5,CRP_MOON_03,FailedAvailable,SR_STATE_MOON_CORE_SITE_5_REWARD_MOON_CORE_REWARD,Available,Unclaimed,false,false,4c719a90c8b95527b5b2f60443c12fafca0a82ec397f2ace409597eea8486a69
SR_MOON_CORE_SITE_5,CRP_MOON_04,RegeneratedAvailable,SR_STATE_MOON_CORE_SITE_5_REWARD_MOON_CORE_REWARD,Available,Unclaimed,false,false,545e89dc525b6b56541313cf92162ddda58c2367fea5ca88a95079e69f5a30b0
SR_MOON_CORE_SITE_5,CRP_MOON_05,Claimed,SR_STATE_MOON_CORE_SITE_5_REWARD_MOON_CORE_REWARD,Unavailable,Claimed,false,false,8030851a2d46a88ab1785615e217661d47825ada8b970f2e9a54711a70980ab7
SR_MOON_CORE_SITE_5,CRP_MOON_06,RevisitedClaimed,SR_STATE_MOON_CORE_SITE_5_REWARD_MOON_CORE_REWARD,Unavailable,Claimed,false,false,d8b566520c4592f58506c23e92178835121b661ce7fdbeaf0c3628bf545d8b7b
SR_MOON_CORE_SITE_5,CRP_MOON_07,RecoveryJoinAvailable,SR_STATE_MOON_CORE_SITE_5_REWARD_MOON_CORE_REWARD,Available,Unclaimed,false,false,ade012097558c5fafb4bda015d23a6fa9ba0f8f64519f004f1bc4fc62b64bd6e
SR_STAR_NURUK_SITE_5,CRP_NURUK_01,InitialAvailable,SR_STATE_STAR_NURUK_SITE_5_REWARD_STAR_NURUK_REWARD,Available,Unclaimed,false,false,ee4b99feb84495a893776d1d5f55eb40b8e1b9aa32df7d21e1974c51462f5e9b
SR_STAR_NURUK_SITE_5,CRP_NURUK_02,InterruptedAvailable,SR_STATE_STAR_NURUK_SITE_5_REWARD_STAR_NURUK_REWARD,Available,Unclaimed,false,false,2e3aa17736a1d9dbbf98e8b8eed768cdd0e7b68ea96dbc305903aa6b0e5f5013
SR_STAR_NURUK_SITE_5,CRP_NURUK_03,FailedAvailable,SR_STATE_STAR_NURUK_SITE_5_REWARD_STAR_NURUK_REWARD,Available,Unclaimed,false,false,c48a283958553013a8dc4ff87f891ec7dffb49803399cd4bd3f760fbfe20ed50
