region_id,node_id_or_edge_id,route_id,route_kind,node_role_or_edge_role,from_node_id,to_node_id,local_x,local_y,order,required,access_class,mechanism_token,dependency_kind,target_reward_slot_or_none,canonical_digest
SR_CASSIA_SAP_SITE_5,CR_EDGE_CASSIA_FAILURE_BRANCH,CR_ROUTE_CASSIA_FAILURE,Failure,FailureBranch,CR_NODE_CASSIA_MASTERY_FLOW,CR_NODE_CASSIA_FAILURE,14,10,1,false,OptionalEnvironment,WaterChannel,None,NONE,a4ac84a64c54d17fc01cff3940fc5dc80817f2c2a67f761eaecfd6db12d0f078
SR_CASSIA_SAP_SITE_5,CR_EDGE_CASSIA_HIGH_01,CR_ROUTE_CASSIA_HIGH,High,Traversal,CR_NODE_CASSIA_ENTRY,CR_NODE_CASSIA_MASTERY_FLOW,6,13,1,false,OptionalEnvironment,WaterChannel,None,NONE,08dfe237ce38869f1c1444fabbfb8d1ea922a89e1bfa46d9fb9ef895a56ae7e2
SR_CASSIA_SAP_SITE_5,CR_EDGE_CASSIA_HIGH_02,CR_ROUTE_CASSIA_HIGH,High,Traversal,CR_NODE_CASSIA_MASTERY_FLOW,CR_NODE_CASSIA_BONUS_ROOT,12,13,2,false,OptionalEnvironment,WaterChannel,None,NONE,ea0e752be5fe4e16c776965448c3fc2c43dbb548aef9a92c5d24719184306bfe
SR_CASSIA_SAP_SITE_5,CR_EDGE_CASSIA_HIGH_03,CR_ROUTE_CASSIA_HIGH,High,Traversal,CR_NODE_CASSIA_BONUS_ROOT,CR_NODE_CASSIA_SHORTCUT,18,13,3,false,OptionalEnvironment,WaterChannel,None,NONE,be59e930f9b40e38ed68dfa051f5a570f0aa55fa32551b370f3dba168c615ead
SR_CASSIA_SAP_SITE_5,CR_EDGE_CASSIA_HIGH_04,CR_ROUTE_CASSIA_HIGH,High,Traversal,CR_NODE_CASSIA_SHORTCUT,CR_NODE_CASSIA_RECOVERY_PICKUP,24,13,4,false,OptionalEnvironment,WaterChannel,None,NONE,f4ec964325adda5c4b7e4a1f6e6c431f418c3de76777729a952716e70a779357
SR_CASSIA_SAP_SITE_5,CR_EDGE_CASSIA_HIGH_05,CR_ROUTE_CASSIA_HIGH,High,Traversal,CR_NODE_CASSIA_RECOVERY_PICKUP,CR_NODE_CASSIA_HIDDEN_SEED,28,13,5,false,OptionalHidden,WaterChannel,None,NONE,20fea891fad816f9819938fed7f6515271964e477962f94ec86fd56a01a0f869
SR_CASSIA_SAP_SITE_5,CR_EDGE_CASSIA_HIGH_06,CR_ROUTE_CASSIA_HIGH,High,RewardConvergence,CR_NODE_CASSIA_HIDDEN_SEED,CR_NODE_CASSIA_REWARD,30,8,6,false,OptionalEnvironment,WaterChannel,None,SR_SLOT_CASSIA_SAP_REWARD,7c910318470717aeb496a5c51c83f145dbbb85f2eb738969868132b79dd6bcea
SR_CASSIA_SAP_SITE_5,CR_EDGE_CASSIA_HIGH_07,CR_ROUTE_CASSIA_HIGH,High,RewardReturn,CR_NODE_CASSIA_REWARD,CR_NODE_CASSIA_RETURN,35,0,7,false,OptionalEnvironment,WaterChannel,None,NONE,53b53be6a72aa73c5bb59ece3e800b7893133fea9a684798aa495251fc8792f3
SR_CASSIA_SAP_SITE_5,CR_EDGE_CASSIA_LOW_01,CR_ROUTE_CASSIA_LOW,Low,Traversal,CR_NODE_CASSIA_ENTRY,CR_NODE_CASSIA_RECOVERY_JOIN,2,8,1,true,MandatoryNoTool,WaterChannel,None,NONE,85f6d0e80129ad2001c2d768da2d69e99a9038a24497f60a5337b4515e759a40
SR_CASSIA_SAP_SITE_5,CR_EDGE_CASSIA_LOW_02,CR_ROUTE_CASSIA_LOW,Low,Traversal,CR_NODE_CASSIA_RECOVERY_JOIN,CR_NODE_CASSIA_ROOT_01,6,2,2,true,MandatoryNoTool,WaterChannel,None,NONE,2b233258b9bf799ef6067ab346573f2856a8d86d8c4e1bab6fa2510f26f5ade3
