region_id,node_id_or_edge_id,route_id,route_kind,node_role_or_edge_role,local_x,local_y,order,required,access_class,mechanism_token,dependency_kind,target_reward_slot_or_none,canonical_digest
SR_CASSIA_SAP_SITE_5,CR_NODE_CASSIA_BONUS_ROOT,CR_ROUTE_CASSIA_HIGH,High,MasteryTrigger,12,13,2,false,OptionalEnvironment,WaterChannel,None,NONE,a97c932934a703bad89e8b6d365dac91fcf40d8aecd32516529e6667e6e69ec9
SR_CASSIA_SAP_SITE_5,CR_NODE_CASSIA_ENTRY,CR_ROUTE_CASSIA_LOW,Low,Entry,0,0,0,true,MandatoryNoTool,WaterChannel,None,NONE,c7bcf782c535344b5e9e3441aa10085de88139690f3716cf69d93cefadead5c7
SR_CASSIA_SAP_SITE_5,CR_NODE_CASSIA_FAILURE,CR_ROUTE_CASSIA_FAILURE,Failure,Failure,14,10,0,false,OptionalEnvironment,WaterChannel,None,NONE,f4238baa7c68e0d0a168f5b96193843593b537bbbf446670d99eac6656c67cce
SR_CASSIA_SAP_SITE_5,CR_NODE_CASSIA_HIDDEN_SEED,CR_ROUTE_CASSIA_HIGH,High,OptionalBenefit,28,13,0,false,OptionalEnvironment,WaterChannel,None,NONE,5567e22cae3b07a91f040b495fb9815eeae3a86a6ba0e7962a50207e2f1972bb
SR_CASSIA_SAP_SITE_5,CR_NODE_CASSIA_MANUAL_RESET,CR_ROUTE_CASSIA_RECOVERY,Recovery,EnvironmentTrigger,6,10,1,true,MandatoryNoTool,WaterChannel,None,NONE,d30a6a0d45da7ac554d7a07fc1a4e53047ca78c446cb0106272a99e4f4a1be13
SR_CASSIA_SAP_SITE_5,CR_NODE_CASSIA_MASTERY_FLOW,CR_ROUTE_CASSIA_HIGH,High,MasteryTrigger,6,13,1,false,OptionalEnvironment,WaterChannel,None,NONE,1a7cde77d05244a2d44bb762887921f7bc1b9318fd4a8c2fc7a507c68e50fa3d
SR_CASSIA_SAP_SITE_5,CR_NODE_CASSIA_RECOVERY_JOIN,CR_ROUTE_CASSIA_LOW,Low,RecoveryJoin,2,8,0,true,MandatoryNoTool,WaterChannel,None,NONE,2ae2c91a7d30cd48fbabb48c6d72b6e344da8ff447cdc898f365bdc425fcd745
SR_CASSIA_SAP_SITE_5,CR_NODE_CASSIA_RECOVERY_PICKUP,CR_ROUTE_CASSIA_HIGH,High,OptionalBenefit,24,13,0,false,OptionalEnvironment,WaterChannel,None,NONE,f2792f200dc321d3bf5420bea468bd2c44b0af09eccf39861196a234083b2dc2
SR_CASSIA_SAP_SITE_5,CR_NODE_CASSIA_RETURN,CR_ROUTE_CASSIA_LOW,Low,Return,35,0,0,true,MandatoryNoTool,WaterChannel,None,NONE,5ac1020fe6afe7d80456c1a9b709742871cf4a9e709a93d33064ab0ac75d4b5d
SR_CASSIA_SAP_SITE_5,CR_NODE_CASSIA_REWARD,CR_ROUTE_CASSIA_LOW,Low,RequiredReward,30,8,0,true,MandatoryNoTool,WaterChannel,None,SR_SLOT_CASSIA_SAP_REWARD,fd14e55a37023eab39e48d12d09b608c2c459db554be03fd209662a40000e057
SR_CASSIA_SAP_SITE_5,CR_NODE_CASSIA_ROOT_01,CR_ROUTE_CASSIA_LOW,Low,EnvironmentTrigger,6,2,1,true,MandatoryNoTool,WaterChannel,None,NONE,ace372e919ced684da0b423a1f5d94955004ffe838e5a6b18721c93d7828abb6
SR_CASSIA_SAP_SITE_5,CR_NODE_CASSIA_ROOT_02,CR_ROUTE_CASSIA_LOW,Low,EnvironmentTrigger,12,2,2,true,MandatoryNoTool,WaterChannel,None,NONE,f97ae4d4b1cf58ef05948f45195ee708a751cda2ac91044cfad55f62fdd69e2a
SR_CASSIA_SAP_SITE_5,CR_NODE_CASSIA_ROOT_03,CR_ROUTE_CASSIA_LOW,Low,EnvironmentTrigger,18,2,3,true,MandatoryNoTool,WaterChannel,None,NONE,6943932077f4ffe8e872866b0020508c1447c5d1bad00df945abc751b4c25d66
SR_CASSIA_SAP_SITE_5,CR_NODE_CASSIA_SAP_PIPE,CR_ROUTE_CASSIA_LOW,Low,EnvironmentTrigger,24,2,4,true,MandatoryNoTool,WaterChannel,None,NONE,0a482259b60ecdc92120c9e86d63141d5e9753262455049a3a1ce4cee8796033
SR_CASSIA_SAP_SITE_5,CR_NODE_CASSIA_SHORTCUT,CR_ROUTE_CASSIA_HIGH,High,MasteryTrigger,18,13,3,false,OptionalEnvironment,WaterChannel,None,NONE,40ac7f826b28684d479069e6679bf06797bc63d1fda4c79275c92d449e8838f8
SR_MOON_CORE_SITE_5,CR_NODE_MOON_BATTERY,CR_ROUTE_MOON_HIGH,High,OptionalBenefit,27,13,0,false,OptionalEnvironment,ImpactChain,None,NONE,e3f21c4ca2be8d9aaa147d4119003b3895edd9b9cee76a754c866c7a82f4d388
SR_MOON_CORE_SITE_5,CR_NODE_MOON_BOULDER,CR_ROUTE_MOON_LOW,Low,EnvironmentTrigger,6,4,1,true,MandatoryNoTool,ImpactChain,None,NONE,3348733a2d36ba39e92a2b02d5f21abc238584c80a99f2254bf3762c6807211f
SR_MOON_CORE_SITE_5,CR_NODE_MOON_CHAINED_IMPACT,CR_ROUTE_MOON_HIGH,High,MasteryTrigger,6,13,1,false,OptionalEnvironment,ImpactChain,None,NONE,f18876bfaad14371b0fad1093e91b8dd24f1d9bc0ca27bec964ffa047df63d2a
SR_MOON_CORE_SITE_5,CR_NODE_MOON_DEVICE_RESET,CR_ROUTE_MOON_RECOVERY,Recovery,EnvironmentTrigger,6,10,1,true,MandatoryNoTool,ImpactChain,None,NONE,364c6991863cdf092f0c5d848fdf41991099f7dfcefc8f1411659a8cddb846c4
SR_MOON_CORE_SITE_5,CR_NODE_MOON_ENEMY_CUE,CR_ROUTE_MOON_HIGH,High,MasteryTrigger,15,13,3,false,OptionalEnvironment,ImpactChain,None,NONE,6c22fa496ab9f0a7becf2fa37907e75e726a31605a45c20b25f3261976089bcb
SR_MOON_CORE_SITE_5,CR_NODE_MOON_ENTRY,CR_ROUTE_MOON_LOW,Low,Entry,0,0,0,true,MandatoryNoTool,ImpactChain,None,NONE,5930190c8cfea5dad974917ac2506a895fc3fc5e6e83e3f8549210ee4200cc0c
SR_MOON_CORE_SITE_5,CR_NODE_MOON_FAILURE,CR_ROUTE_MOON_FAILURE,Failure,Failure,14,10,0,false,OptionalEnvironment,ImpactChain,None,NONE,a002aa3220360913870f30959c0eed4b26c35a22b6bd02c1101868e655c2dfe9
SR_MOON_CORE_SITE_5,CR_NODE_MOON_IRON,CR_ROUTE_MOON_HIGH,High,OptionalBenefit,23,13,0,false,OptionalEnvironment,ImpactChain,None,NONE,440995af031f30c787835b7d7a0ae7ab0e9ce790ac7bf62234e8aec91f526c72
SR_MOON_CORE_SITE_5,CR_NODE_MOON_MORTAR,CR_ROUTE_MOON_LOW,Low,EnvironmentTrigger,12,4,2,true,MandatoryNoTool,ImpactChain,None,NONE,c78bedb7939869b0b797d0cf03ea4a2dc8e032145959d6b018458710ffd08365
SR_MOON_CORE_SITE_5,CR_NODE_MOON_RECOVERY_JOIN,CR_ROUTE_MOON_LOW,Low,RecoveryJoin,2,8,0,true,MandatoryNoTool,ImpactChain,None,NONE,92dcf45e88ab6801b3198c4b40086e5c7be54869fd23e86a376c2e53e396f121
SR_MOON_CORE_SITE_5,CR_NODE_MOON_RETURN,CR_ROUTE_MOON_LOW,Low,Return,35,0,0,true,MandatoryNoTool,ImpactChain,None,NONE,5908fcc16f4c77f1cfb89921fde65854f21f1ce557abf4c6aa141101640ac5c0
SR_MOON_CORE_SITE_5,CR_NODE_MOON_REWARD,CR_ROUTE_MOON_LOW,Low,RequiredReward,30,8,0,true,MandatoryNoTool,ImpactChain,None,SR_SLOT_MOON_CORE_REWARD,2d8a6283390687c42f8ea408f76b12301bbeab46e1f507aa3e569e733e141524
SR_MOON_CORE_SITE_5,CR_NODE_MOON_SECRET_POCKET,CR_ROUTE_MOON_HIGH,High,MasteryTrigger,19,13,4,false,OptionalEnvironment,ImpactChain,None,NONE,0aefc5dab911bd2d1bd8dac66586d756e3c808278b301affc76e4af5496b540b
SR_MOON_CORE_SITE_5,CR_NODE_MOON_VEIN,CR_ROUTE_MOON_HIGH,High,MasteryTrigger,11,13,2,false,OptionalEnvironment,ImpactChain,None,NONE,4adcb291e7a482e149a42fd9c743501496a49f0526a2ec5d50ef6c201325968b
SR_STAR_NURUK_SITE_5,CR_NODE_NURUK_BOUNCE_01,CR_ROUTE_NURUK_HIGH,High,MasteryTrigger,8,13,1,false,OptionalEnvironment,FermentationPressure,None,NONE,6465b81372a947f34384fd408209a397713947be07a6ee589fab081e35e6f326
