x,y,plan_digest
560,8,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
579,8,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
352,22,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
363,22,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
245,24,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
246,24,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
247,24,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
248,24,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
249,24,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
250,24,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
251,24,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
252,24,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
253,24,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
254,24,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
255,24,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
256,24,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
257,24,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
258,24,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
259,24,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
260,24,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
261,24,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
262,24,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
263,24,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
264,24,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
245,25,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
246,25,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
247,25,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
248,25,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
249,25,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
250,25,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
251,25,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
252,25,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
253,25,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
