loop_id,order,x,y,role,cell_role,source_value,final_value,body_air,head_air,support_solid,protected,world_inside,source_owner,contour_variant,plan_digest
"SV5_LOOP_06fc027033fc57bcac46","-1","383","364","SOLIDSUPPORT","SOLIDSUPPORT","UNKNOWN","SOLID","False","False","True","False","True","SV5_OPTIONAL_00","SCALLOP","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"SV5_LOOP_06fc027033fc57bcac46","-1","382","365","SOLIDSUPPORT","SOLIDSUPPORT","SOLID","SOLID","False","False","True","False","True","SV5_INFILL_ROOM_088f25cbc663d6d3b7a4_LINK","SCALLOP","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"SV5_LOOP_06fc027033fc57bcac46","4","383","365","CENTERLINE","AIR","SOLID","AIR","True","True","False","False","True","SV5_OPTIONAL_00","SCALLOP","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"SV5_LOOP_06fc027033fc57bcac46","-1","384","365","SOLIDSUPPORT","SOLIDSUPPORT","AIR","SOLID","False","False","True","False","True","SV5_OPTIONAL_00","SCALLOP","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"SV5_LOOP_06fc027033fc57bcac46","-1","381","366","SOLIDSUPPORT","SOLIDSUPPORT","SOLID","SOLID","False","False","True","False","True","SV5_INFILL_ROOM_088f25cbc663d6d3b7a4_LINK","SCALLOP","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"SV5_LOOP_06fc027033fc57bcac46","2","382","366","CENTERLINE","APERTUREOVERRIDE","SOLID","AIR","True","True","False","False","True","SV5_INFILL_ROOM_088f25cbc663d6d3b7a4_LINK","SCALLOP","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"SV5_LOOP_06fc027033fc57bcac46","3","383","366","CENTERLINE","AIR","AIR","AIR","True","True","False","False","True","SV5_OPTIONAL_00","SCALLOP","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"SV5_LOOP_06fc027033fc57bcac46","6","384","366","CENTERLINE","AIR","AIR","AIR","True","True","False","False","True","SV5_OPTIONAL_00","SCALLOP","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"SV5_LOOP_06fc027033fc57bcac46","-1","385","366","SOLIDSUPPORT","SOLIDSUPPORT","AIR","SOLID","False","False","True","False","True","SV5_OPTIONAL_00","SCALLOP","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"SV5_LOOP_06fc027033fc57bcac46","-1","386","366","SOLIDSUPPORT","SOLIDSUPPORT","SOLID","SOLID","False","False","True","False","True","SV5_INFILL_ROOM_1a82971bf4756de9b6e1_LINK","SCALLOP","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"SV5_LOOP_06fc027033fc57bcac46","0","381","367","CENTERLINE","AIR","AIR","AIR","True","True","False","False","True","SV5_INFILL_ROOM_088f25cbc663d6d3b7a4_LINK","SCALLOP","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"SV5_LOOP_06fc027033fc57bcac46","1","382","367","CENTERLINE","AIR","AIR","AIR","True","True","False","False","True","SV5_INFILL_ROOM_088f25cbc663d6d3b7a4_LINK","SCALLOP","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"SV5_LOOP_06fc027033fc57bcac46","-1","383","367","AIR","AIR","AIR","AIR","True","True","False","False","True","SV5_INFILL_ROOM_088f25cbc663d6d3b7a4_LINK","SCALLOP","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
