route_id,edge_id,route_label,source_node_id,source_role,target_node_id,target_role,from_port_id,from_flow,from_condition,to_port_id,to_flow,to_condition,required_resource_mask,requires_forge,requires_seal,requires_boss_complete,geometry_state,player_state
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","NORMAL_FORGE_RETURN","25106024ba2b119900ae0ddd27b4ed5900cd904288ad09482650f35774c4eb1c","Forge","9f205e3136515f7b3ccb77c93c7238adefb24933728722c9e29b0a0d6b6fcd47","Start","RMAP15_SITE_FORGE_PORT_EXIT","Out","ALL_RESOURCES","RMAP15_SITE_START_PORT_ENTRY","Both","NONE","0","False","False","False","PENDING","PENDING"
"16f8c96de43cf0ec7882d78bdcae5b4cc79a1e08fd38fcfbbb7e90b19bfc8998","16f8c96de43cf0ec7882d78bdcae5b4cc79a1e08fd38fcfbbb7e90b19bfc8998","NORMAL_RESOURCE_RETURN","4d2f3947cda6d83ffe46e375d247485ed93f8716ccee3e585ff055ea8ce50707","CondensedCoefficientSap","9f205e3136515f7b3ccb77c93c7238adefb24933728722c9e29b0a0d6b6fcd47","Start","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP_PORT_EXIT","Out","NONE","RMAP15_SITE_START_PORT_ENTRY","Both","NONE","0","False","False","False","PENDING","PENDING"
"21e6a90771dd0ec3a5924c7bed7cedd6df7b87118024ccd550005017a8e7ebd0","21e6a90771dd0ec3a5924c7bed7cedd6df7b87118024ccd550005017a8e7ebd0","NORMAL_RESOURCE_RETURN","074b9996b4a439df4de40e48099d1df36afbea6dc71dfd35dbd88b2d72278db2","MooncoreOre","9f205e3136515f7b3ccb77c93c7238adefb24933728722c9e29b0a0d6b6fcd47","Start","RMAP15_SITE_MOONCOREORE_PORT_EXIT","Out","NONE","RMAP15_SITE_START_PORT_ENTRY","Both","NONE","0","False","False","False","PENDING","PENDING"
"29dc755094886d48300e9f8cf0fb0e54f09125a29c2fac78855bda7885f7dbaa","29dc755094886d48300e9f8cf0fb0e54f09125a29c2fac78855bda7885f7dbaa","FORGE_GATED_SEAL_APPROACH","25106024ba2b119900ae0ddd27b4ed5900cd904288ad09482650f35774c4eb1c","Forge","3a940bd17917accb8b86ed854685e791096281c72956719915c96ba4eba00b22","Seal","RMAP15_SITE_FORGE_PORT_EXIT","Out","ALL_RESOURCES","RMAP15_SITE_SEALBOSS_PORT_ENTRY","In","ALL_RESOURCES_AND_FORGE","0","True","False","False","PENDING","PENDING"
"74004c50147eb4af54c7c3beb9c82282fb0d23628aa3c2e2a588301c04e965f4","74004c50147eb4af54c7c3beb9c82282fb0d23628aa3c2e2a588301c04e965f4","BOSS_GATED_EXIT_APPROACH","44a22e8a2bf4736c80a7476cdfcc927f62cfa6a507e5e5c2b962578b1291e105","Boss","27c240714909ea80879f433650a042eb740f8b586e9b43a6376e2a188dba3c67","Exit","RMAP15_SITE_SEALBOSS_PORT_EXIT","Out","ALL_RESOURCES_AND_FORGE","RMAP15_SITE_EXIT_PORT_ENTRY","In","BOSS_COMPLETE","0","False","False","True","PENDING","PENDING"
"88ee0ec82e323424ac35c6a0686f4ad0fe97710744d3eba9277c1b5343f18ac2","88ee0ec82e323424ac35c6a0686f4ad0fe97710744d3eba9277c1b5343f18ac2","SEAL_GATED_BOSS_APPROACH","3a940bd17917accb8b86ed854685e791096281c72956719915c96ba4eba00b22","Seal","44a22e8a2bf4736c80a7476cdfcc927f62cfa6a507e5e5c2b962578b1291e105","Boss","RMAP15_SITE_SEALBOSS_PORT_EXIT","Out","ALL_RESOURCES_AND_FORGE","RMAP15_SITE_SEALBOSS_PORT_ENTRY","In","ALL_RESOURCES_AND_FORGE","0","False","True","False","PENDING","PENDING"
"93f752cf7b8f813c7187a636bc069c5d6f346ab0cc35ccae94931bdb9059f48f","93f752cf7b8f813c7187a636bc069c5d6f346ab0cc35ccae94931bdb9059f48f","NORMAL_RESOURCE_APPROACH","9f205e3136515f7b3ccb77c93c7238adefb24933728722c9e29b0a0d6b6fcd47","Start","13933f09ce4b0d3a0dc80937a24466faed6d3870661471ec7c307af7e78a40c5","DeepStarYeast","RMAP15_SITE_START_PORT_ENTRY","Both","NONE","RMAP15_SITE_DEEPSTARYEAST_PORT_ENTRY","In","NONE","0","False","False","False","PENDING","PENDING"
"a98881f4240397805efa4bd7a49fec0d564a271544864f5fdd66657aed45cdff","a98881f4240397805efa4bd7a49fec0d564a271544864f5fdd66657aed45cdff","NORMAL_FORGE_APPROACH","9f205e3136515f7b3ccb77c93c7238adefb24933728722c9e29b0a0d6b6fcd47","Start","25106024ba2b119900ae0ddd27b4ed5900cd904288ad09482650f35774c4eb1c","Forge","RMAP15_SITE_START_PORT_ENTRY","Both","NONE","RMAP15_SITE_FORGE_PORT_ENTRY","In","ALL_RESOURCES","0","False","False","False","PENDING","PENDING"
"b7862f4e818afdb3c6c2b8d27942bbf40c3a9aa2cfa146360ab9ab3fe2e29b0b","b7862f4e818afdb3c6c2b8d27942bbf40c3a9aa2cfa146360ab9ab3fe2e29b0b","NORMAL_RESOURCE_APPROACH","9f205e3136515f7b3ccb77c93c7238adefb24933728722c9e29b0a0d6b6fcd47","Start","4d2f3947cda6d83ffe46e375d247485ed93f8716ccee3e585ff055ea8ce50707","CondensedCoefficientSap","RMAP15_SITE_START_PORT_ENTRY","Both","NONE","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP_PORT_ENTRY","In","NONE","0","False","False","False","PENDING","PENDING"
"be0aa26aa7cc3b03c3fcd8635bf07caf7940fd71048ae99a89807ebb540d3f29","be0aa26aa7cc3b03c3fcd8635bf07caf7940fd71048ae99a89807ebb540d3f29","NORMAL_RESOURCE_RETURN","13933f09ce4b0d3a0dc80937a24466faed6d3870661471ec7c307af7e78a40c5","DeepStarYeast","9f205e3136515f7b3ccb77c93c7238adefb24933728722c9e29b0a0d6b6fcd47","Start","RMAP15_SITE_DEEPSTARYEAST_PORT_EXIT","Out","NONE","RMAP15_SITE_START_PORT_ENTRY","Both","NONE","0","False","False","False","PENDING","PENDING"
