generation_profile_id,pass_order,pass_id,class_name,rng_stream_id,input_artifacts,output_artifacts,failure_policy,max_retry_count,enabled,notes
GEN_MOONPALACE_V1,0,PASS_GRID,GridInitializationPass,,,GRID,FAIL_WORLD,1,1,
GEN_MOONPALACE_V1,10,PASS_SITE,SpecialSiteReservationPass,RNG_WORLD_SITE,GRID,SITE_RESERVATIONS,RETRY_PASS,200,1,
GEN_MOONPALACE_V1,20,PASS_BIOME,BiomePatchPass,RNG_BIOME_PATCH,GRID|SITE_RESERVATIONS,BIOME_PATCHES,RETRY_PASS,100,1,
GEN_MOONPALACE_V1,30,PASS_ROUTE,MandatoryRoutePass,RNG_ROUTE,SITE_RESERVATIONS|BIOME_PATCHES,ROUTE123,RETRY_PASS,200,1,
GEN_MOONPALACE_V1,40,PASS_TYPE0,OptionalRegionPass,RNG_TYPE0,ROUTE123,TYPE0_REGIONS,RETRY_PASS,100,1,
GEN_MOONPALACE_V1,50,PASS_SECTOR_RECIPE,SectorRecipePass,RNG_SECTOR_RECIPE,BIOME_PATCHES|ROUTE123|TYPE0_REGIONS,SECTOR_RECIPES,RETRY_SCOPE,20,1,
GEN_MOONPALACE_V1,60,PASS_MICRO_SOLVE,SectorConstraintPass,RNG_SECTOR_RECIPE,SECTOR_RECIPES,MICROCHUNKS,RETRY_SCOPE,20,1,
GEN_MOONPALACE_V1,70,PASS_BAKE,TilemapBakePass,,MICROCHUNKS,BAKED_TILES,FAIL_WORLD,1,1,
GEN_MOONPALACE_V1,80,PASS_POPULATION,PopulationPass,RNG_POPULATION,BAKED_TILES,SPAWNS,RETRY_SCOPE,10,1,
GEN_MOONPALACE_V1,90,PASS_VALIDATION,WorldValidationPass,,SPAWNS,VALIDATION,FAIL_WORLD,1,1,
