window_x,window_y,before_known,after_known,reserved,new_owned,pending_cells,new_rooms,leaf_rooms,static_failures,plan_digest
"0","0","0","704","0","704","832","3","2","0","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"1","0","0","712","0","712","824","2","0","0","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"2","0","0","662","0","662","874","1","0","0","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"3","0","0","862","0","862","674","3","0","0","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"4","0","0","679","116","670","857","2","1","0","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"5","0","181","373","352","192","1163","1","1","0","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"6","0","48","496","240","448","1040","1","0","0","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"7","0","48","282","441","88","1254","0","0","0","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"8","0","32","32","208","0","1504","0","0","0","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"9","0","0","369","144","369","1167","1","0","0","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"10","0","0","192","144","192","1344","0","0","0","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"11","0","0","447","338","316","1089","1","0","0","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"12","0","0","735","77","699","801","2","2","0","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"0","1","0","608","0","608","928","2","1","0","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"1","1","0","759","0","759","777","2","0","0","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"2","1","0","874","0","874","662","3","1","0","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"3","1","0","754","0","754","782","2","0","0","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"4","1","0","680","96","676","856","3","1","0","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"5","1","120","120","268","0","1416","0","0","0","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"6","1","0","0","48","0","1536","0","0","0","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"7","1","0","0","48","0","1536","0","0","0","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"8","1","0","0","63","0","1536","0","0","0","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"9","1","0","703","0","703","833","3","2","0","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"10","1","0","903","0","903","633","3","0","0","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"11","1","0","752","96","745","784","1","0","0","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"12","1","0","554","0","554","982","2","1","0","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"0","2","0","432","0","432","1104","2","1","0","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"1","2","0","529","0","529","1007","2","0","0","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"2","2","0","690","185","621","846","2","0","0","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"3","2","0","708","388","574","828","2","2","0","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"4","2","0","434","173","400","1102","2","2","0","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
