pattern_id,write_mask,cells_row_major_16,semantic_hash,plan_digest
"INFILL_05ce7efb330bbda5a8d235633aea7116362fecb8b0630847e43bdd20e7f49441","3311","Solid|Solid|Solid|Solid|Unknown|Solid|Solid|Solid|Unknown|Unknown|Solid|Solid|Unknown|Unknown|Unknown|Unknown","05ce7efb330bbda5a8d235633aea7116362fecb8b0630847e43bdd20e7f49441","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"INFILL_07e90a33c25525b19f4a212739a7e070a0d13c6b5e2f259e51312a41ae238483","32767","Air|Air|Air|Air|Solid|Solid|Solid|Air|Solid|Solid|Solid|Solid|Solid|Solid|Solid|Unknown","07e90a33c25525b19f4a212739a7e070a0d13c6b5e2f259e51312a41ae238483","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"INFILL_0e76a2a8a9d45bfdf42e3e2c99097cc1d0da86aac36ac079c1b88afee43a2e82","32767","Solid|Air|Air|Solid|Air|Air|Solid|Solid|Air|Solid|Solid|Solid|Solid|Solid|Solid|Unknown","0e76a2a8a9d45bfdf42e3e2c99097cc1d0da86aac36ac079c1b88afee43a2e82","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"INFILL_0f10fc61839273c6d1ad25ee4335685430c330401d54d72b5a879f6e345d3873","311","Solid|Solid|Solid|Unknown|Solid|Solid|Unknown|Unknown|Solid|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown","0f10fc61839273c6d1ad25ee4335685430c330401d54d72b5a879f6e345d3873","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"INFILL_0f56946dcf310c4f6831b3bd7b4e6aa679f9bbd17cd0cec18b6bee603998d66f","3822","Unknown|Solid|Solid|Solid|Unknown|Solid|Solid|Solid|Unknown|Solid|Solid|Solid|Unknown|Unknown|Unknown|Unknown","0f56946dcf310c4f6831b3bd7b4e6aa679f9bbd17cd0cec18b6bee603998d66f","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"INFILL_106352048cae243e28dd98d02ef3735ce56faea8e4333f7e939e3c7dde4bd30a","4913","Air|Unknown|Unknown|Unknown|Solid|Solid|Unknown|Unknown|Solid|Solid|Unknown|Unknown|Solid|Unknown|Unknown|Unknown","106352048cae243e28dd98d02ef3735ce56faea8e4333f7e939e3c7dde4bd30a","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"INFILL_10c69c218d3145f95fc57a9cfc79da9d7c5f22263622faf98cc6b042fecb9041","8191","Solid|Solid|Air|Air|Solid|Air|Air|Solid|Air|Air|Solid|Solid|Air|Unknown|Unknown|Unknown","10c69c218d3145f95fc57a9cfc79da9d7c5f22263622faf98cc6b042fecb9041","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"INFILL_129a508ede2181672cc7683ac54418b51488aeca18dacbd247ab97ca2b2c274e","4991","Air|Solid|Solid|Solid|Solid|Solid|Solid|Unknown|Solid|Solid|Unknown|Unknown|Solid|Unknown|Unknown|Unknown","129a508ede2181672cc7683ac54418b51488aeca18dacbd247ab97ca2b2c274e","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"INFILL_138047f51416338703566342ac562db8d66f819361776fd616aeea960fe48955","12561","Solid|Unknown|Unknown|Unknown|Solid|Unknown|Unknown|Unknown|Solid|Unknown|Unknown|Unknown|Air|Air|Unknown|Unknown","138047f51416338703566342ac562db8d66f819361776fd616aeea960fe48955","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"INFILL_157700068d86385bd74ff8ce747d914f27f45796e99c4a1131c96e8cd6851bf5","65534","Unknown|Solid|Solid|Solid|Solid|Solid|Solid|Solid|Solid|Solid|Solid|Solid|Solid|Air|Air|Air","157700068d86385bd74ff8ce747d914f27f45796e99c4a1131c96e8cd6851bf5","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"INFILL_19d1e291c783552aaab0835c1e0e9e86219ab64e386e0629203ca065e731ea13","239","Solid|Solid|Solid|Air|Unknown|Solid|Solid|Solid|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown","19d1e291c783552aaab0835c1e0e9e86219ab64e386e0629203ca065e731ea13","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"INFILL_2119aca2e134bc10f64977d0fcadc677edd5d93647d71e84c01962a1263b0499","1","Solid|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown","2119aca2e134bc10f64977d0fcadc677edd5d93647d71e84c01962a1263b0499","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"INFILL_229fb1cc47937afddbc58d2f1870b97e65350493487d7f1305572ced73a55a0b","3839","Solid|Solid|Solid|Solid|Solid|Solid|Solid|Solid|Unknown|Solid|Solid|Solid|Unknown|Unknown|Unknown|Unknown","229fb1cc47937afddbc58d2f1870b97e65350493487d7f1305572ced73a55a0b","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"INFILL_23feecd1c17fdd5acc7471ab35ff826f268cd595e1e4015439d20e9167a415f9","1120","Unknown|Unknown|Unknown|Unknown|Unknown|Solid|Solid|Unknown|Unknown|Unknown|Solid|Unknown|Unknown|Unknown|Unknown|Unknown","23feecd1c17fdd5acc7471ab35ff826f268cd595e1e4015439d20e9167a415f9","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
