seed_id,seed_value,content_hash,completion_pass,mandatory_checkpoint_count,completion_route_digest,village_required,merchant_required,maru_required,canonical_digest
MP_QA_01,1924737067,c37c2fafc87597f8bb9089dc7b505311d816adcb004108f7ee5d6f75feae43cc,true,10,d7380459cfeca71cdadf74d8e94cbde31d5931eb008e832be34e1446eec54b51,false,false,false,1513956d725aa1f588ab558ea4df4aaaed607d8592d18001f3bdb9b11b728d3a
MP_QA_02,1697017134,c2d71866586ee73f68f38c0757fa56725b7eb8477f0a159d855fa6c38bde9fdd,true,10,f7eeaf2d2b7070d3eec4dd15eb777fd9eaa516b2e5edb922426ba9b79b110cf5,false,false,false,db79350e3ca8c3f25fc14f0b3fa772a4dc82c501d551933d3284117a188f4fa4
MP_QA_03,684258236,b603a328c6be1f8a5708dad689b4e2735215b090267cc0b80be051cd1d16f87e,true,10,b885c8f9caf854824b2e4e4d761c62cfd277820fd7994787156e1a1f015183f5,false,false,false,0b140816c942545f9e3155e1450d4b6ca93d0d8d382ec8ec0f01ebf73efdcc71
MP_QA_04,1744116978,7ab665ac1874742ae45c4a18a2d0ac88d0570e817b636e85bfb635ddad673d8a,true,10,210bf740aae3fadc725c4c154952bb70e6039e00a1a95d6eefd2c4eeb36edc43,false,false,false,ebf2d369d85284ab24b0f3cba811f9e01e05743fdcff52e2be05087982500778
MP_QA_05,894083500,f634a1fc9fcaa0cfe3e35342222e6e4f08288849f8b406cbafe0c0ee1d58c25d,true,10,9fcad48f2f76c65ff90a8eef22b87f8a6a1dcebba70b5800f1065439e0253de7,false,false,false,5479ca389b262beb371fef829fa8e4ed0a55dc2d36a945f7cd817a3e0b647d53
MP_QA_06,1937634980,f6d122613fa82e085df07b32eac270ad2e28d0c1cc6b9ec3356ecedbe2575f13,true,10,2a56ac95df4570dda8dfed520c9400a48b773c27971d71d0bd7aa546b3e5c5b9,false,false,false,95e0dc3c2d63a2be9a98bff3603ba153bf57cd0d2be5bc581adfd4f4168331ef
MP_QA_07,1080761698,7cd7881a17024879a355d6974dad71c98650233728c305cdd0cf4b15e1969c2d,true,10,d9925d5727de7c70f473c40c2e58477c5f078a6b0c858050b85925882b41c18d,false,false,false,94a78050d7426ad7a699ea007acf76757e939a0639aefd8471eb8aa91b1e4ee5
MP_QA_08,1987855856,497a51886f5869aa6f1f0a3e9b4ad2365e2e52834d4f98c2ed6fa6fd6dba79fe,true,10,47bd45e3732875127489aa43404fa13cd3dc37b4d1442ff0531102565a7e95e6,false,false,false,3393390200e0844b082552c7c6b1350b2dbc3025e2a19c09102e1c0497991201
MP_QA_09,1513827622,80e4edd0579816da51e5b1eaf3413e08af608f38c89c0024306bf488cd06c8b3,true,10,168613bc286de4296d121994fc0249e3e5d1cee8c1f1bf75ed948614bcb660db,false,false,false,ade57cf0921c25826274ad63a8cb48a713a84289e336cbebb6b46c8c84c4ef8e
MP_QA_10,1395430098,947c6d92e81d2055960e78c94115fbcd9e5b43f5261552a5a2b5cdeefb516a49,true,10,e8beb2e483435d4453822907bd8280753ce358edf5f7592dfbdbce9ff15a7003,false,false,false,3a89e71073e4769849adcb247842b983eecbc860e35ab9accc6c60424ec415c8
