access_id,site_id,side,flow,required,condition,source_node_id,world_x,world_y
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP_PORT_ENTRY","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","Left","In","True","NONE","4d2f3947cda6d83ffe46e375d247485ed93f8716ccee3e585ff055ea8ce50707","272","166"
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP_PORT_ENTRY","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","Left","In","True","NONE","4d2f3947cda6d83ffe46e375d247485ed93f8716ccee3e585ff055ea8ce50707","272","167"
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP_PORT_ENTRY","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","Left","In","True","NONE","4d2f3947cda6d83ffe46e375d247485ed93f8716ccee3e585ff055ea8ce50707","272","168"
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP_PORT_EXIT","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","Right","Out","True","NONE","4d2f3947cda6d83ffe46e375d247485ed93f8716ccee3e585ff055ea8ce50707","291","166"
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP_PORT_EXIT","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","Right","Out","True","NONE","4d2f3947cda6d83ffe46e375d247485ed93f8716ccee3e585ff055ea8ce50707","291","167"
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP_PORT_EXIT","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","Right","Out","True","NONE","4d2f3947cda6d83ffe46e375d247485ed93f8716ccee3e585ff055ea8ce50707","291","168"
"RMAP15_SITE_DEEPSTARYEAST_PORT_ENTRY","RMAP15_SITE_DEEPSTARYEAST","Left","In","True","NONE","13933f09ce4b0d3a0dc80937a24466faed6d3870661471ec7c307af7e78a40c5","581","333"
"RMAP15_SITE_DEEPSTARYEAST_PORT_ENTRY","RMAP15_SITE_DEEPSTARYEAST","Left","In","True","NONE","13933f09ce4b0d3a0dc80937a24466faed6d3870661471ec7c307af7e78a40c5","581","334"
"RMAP15_SITE_DEEPSTARYEAST_PORT_ENTRY","RMAP15_SITE_DEEPSTARYEAST","Left","In","True","NONE","13933f09ce4b0d3a0dc80937a24466faed6d3870661471ec7c307af7e78a40c5","581","335"
"RMAP15_SITE_DEEPSTARYEAST_PORT_EXIT","RMAP15_SITE_DEEPSTARYEAST","Right","Out","True","NONE","13933f09ce4b0d3a0dc80937a24466faed6d3870661471ec7c307af7e78a40c5","600","333"
"RMAP15_SITE_DEEPSTARYEAST_PORT_EXIT","RMAP15_SITE_DEEPSTARYEAST","Right","Out","True","NONE","13933f09ce4b0d3a0dc80937a24466faed6d3870661471ec7c307af7e78a40c5","600","334"
"RMAP15_SITE_DEEPSTARYEAST_PORT_EXIT","RMAP15_SITE_DEEPSTARYEAST","Right","Out","True","NONE","13933f09ce4b0d3a0dc80937a24466faed6d3870661471ec7c307af7e78a40c5","600","335"
"RMAP15_SITE_EXIT_PORT_ENTRY","RMAP15_SITE_EXIT","Left","In","True","BOSS_COMPLETE","27c240714909ea80879f433650a042eb740f8b586e9b43a6376e2a188dba3c67","350","295"
"RMAP15_SITE_EXIT_PORT_ENTRY","RMAP15_SITE_EXIT","Left","In","True","BOSS_COMPLETE","27c240714909ea80879f433650a042eb740f8b586e9b43a6376e2a188dba3c67","350","296"
