microchunk_id,local_x,local_y,ground_code,one_way_code,breakable_code,hazard_code,liquid_code,decor_back_code,decor_front_code,marker_code
MC_GRAY_H_STRAIGHT_01,0,0,G_MOON_ROCK,NONE,NONE,NONE,NONE,DB_CRATER,NONE,NONE
MC_GRAY_H_STRAIGHT_01,1,0,G_MOON_ROCK,NONE,NONE,NONE,NONE,DB_CRATER,NONE,NONE
MC_GRAY_H_STRAIGHT_01,2,0,G_MOON_ROCK,NONE,NONE,NONE,NONE,DB_CRATER,NONE,NONE
MC_GRAY_H_STRAIGHT_01,3,0,G_MOON_ROCK,NONE,NONE,NONE,NONE,DB_CRATER,NONE,NONE
MC_GRAY_H_STRAIGHT_01,4,0,G_MOON_ROCK,NONE,NONE,NONE,NONE,DB_CRATER,NONE,NONE
MC_GRAY_H_STRAIGHT_01,5,0,G_MOON_ROCK,NONE,NONE,NONE,NONE,DB_CRATER,NONE,NONE
MC_GRAY_H_STRAIGHT_01,6,0,G_MOON_ROCK,NONE,NONE,NONE,NONE,DB_CRATER,NONE,NONE
MC_GRAY_H_STRAIGHT_01,7,0,G_MOON_ROCK,NONE,NONE,NONE,NONE,DB_CRATER,NONE,NONE
MC_GRAY_H_STRAIGHT_01,8,0,G_MOON_ROCK,NONE,NONE,NONE,NONE,DB_CRATER,NONE,NONE
MC_GRAY_H_STRAIGHT_01,9,0,G_MOON_ROCK,NONE,NONE,NONE,NONE,DB_CRATER,NONE,NONE
MC_GRAY_H_STRAIGHT_01,10,0,G_MOON_ROCK,NONE,NONE,NONE,NONE,DB_CRATER,NONE,NONE
MC_GRAY_H_STRAIGHT_01,11,0,G_MOON_ROCK,NONE,NONE,NONE,NONE,DB_CRATER,NONE,NONE
MC_GRAY_H_STRAIGHT_01,0,1,NONE,NONE,NONE,NONE,NONE,DB_CRATER,NONE,M_ROUTE_MAIN
MC_GRAY_H_STRAIGHT_01,1,1,NONE,NONE,NONE,NONE,NONE,DB_CRATER,NONE,M_ROUTE_MAIN
MC_GRAY_H_STRAIGHT_01,2,1,NONE,NONE,NONE,NONE,NONE,DB_CRATER,NONE,M_SAFE
MC_GRAY_H_STRAIGHT_01,3,1,NONE,NONE,NONE,NONE,NONE,DB_CRATER,NONE,M_ROUTE_MAIN
MC_GRAY_H_STRAIGHT_01,4,1,NONE,NONE,NONE,NONE,NONE,DB_CRATER,NONE,M_ROUTE_MAIN
MC_GRAY_H_STRAIGHT_01,5,1,NONE,NONE,NONE,NONE,NONE,DB_CRATER,NONE,M_ROUTE_MAIN
MC_GRAY_H_STRAIGHT_01,6,1,NONE,NONE,NONE,NONE,NONE,DB_CRATER,NONE,M_ROUTE_MAIN
MC_GRAY_H_STRAIGHT_01,7,1,NONE,NONE,NONE,NONE,NONE,DB_CRATER,NONE,M_ROUTE_MAIN
MC_GRAY_H_STRAIGHT_01,8,1,NONE,NONE,NONE,NONE,NONE,DB_CRATER,NONE,M_ROUTE_MAIN
MC_GRAY_H_STRAIGHT_01,9,1,NONE,NONE,NONE,NONE,NONE,DB_CRATER,NONE,M_SAFE
MC_GRAY_H_STRAIGHT_01,10,1,NONE,NONE,NONE,NONE,NONE,DB_CRATER,NONE,M_ROUTE_MAIN
MC_GRAY_H_STRAIGHT_01,11,1,NONE,NONE,NONE,NONE,NONE,DB_CRATER,NONE,M_ROUTE_MAIN
