world_x,world_y,reservation_kind,owner_id,semantics,micro_chunk_x,micro_chunk_y,pattern_x,pattern_y,is_final_tile,plan_digest
560,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,46,0,140,1,false,2b2307b6d1f1dce9674ad4ea486c455914cccce77110b48aef337689644251c8
561,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,46,0,140,1,false,2b2307b6d1f1dce9674ad4ea486c455914cccce77110b48aef337689644251c8
562,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,46,0,140,1,false,2b2307b6d1f1dce9674ad4ea486c455914cccce77110b48aef337689644251c8
563,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,46,0,140,1,false,2b2307b6d1f1dce9674ad4ea486c455914cccce77110b48aef337689644251c8
564,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,47,0,141,1,false,2b2307b6d1f1dce9674ad4ea486c455914cccce77110b48aef337689644251c8
565,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,47,0,141,1,false,2b2307b6d1f1dce9674ad4ea486c455914cccce77110b48aef337689644251c8
566,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,47,0,141,1,false,2b2307b6d1f1dce9674ad4ea486c455914cccce77110b48aef337689644251c8
567,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,47,0,141,1,false,2b2307b6d1f1dce9674ad4ea486c455914cccce77110b48aef337689644251c8
568,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,47,0,142,1,false,2b2307b6d1f1dce9674ad4ea486c455914cccce77110b48aef337689644251c8
569,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,47,0,142,1,false,2b2307b6d1f1dce9674ad4ea486c455914cccce77110b48aef337689644251c8
570,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,47,0,142,1,false,2b2307b6d1f1dce9674ad4ea486c455914cccce77110b48aef337689644251c8
571,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,47,0,142,1,false,2b2307b6d1f1dce9674ad4ea486c455914cccce77110b48aef337689644251c8
572,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,47,0,143,1,false,2b2307b6d1f1dce9674ad4ea486c455914cccce77110b48aef337689644251c8
573,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,47,0,143,1,false,2b2307b6d1f1dce9674ad4ea486c455914cccce77110b48aef337689644251c8
574,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,47,0,143,1,false,2b2307b6d1f1dce9674ad4ea486c455914cccce77110b48aef337689644251c8
