boundary_id,source_micro_x,source_micro_y,target_micro_x,target_micro_y,direction,source_patch_id,target_patch_id,canonical_pair,orientation,source_contract,pair_rule_id,edge_signature_id,authoring_candidate_ids,authoring_profile_ids,tool_requirement,mandatory_route_allowed
"014b78a5bd8f7d3c89f9283ffc02bce44969807987543bb73ca03011747bc328","26","12","26","13","Up","84d336cda898a3e5b69ed7a0a2a5afc9717c612e57d8bf9ed6c8b74ba9b306c6","23d29e0c365aefa4c3ccbad0fec904f289687f582e7a50b0748662ab32ef4999","AbandonedMill<->MoonDough","Vertical","MoonpalaceMillDoughBoundaryAuthoringContract","PAIR_MILL_DOUGH","EDGE_V_CENTER_CLIMB","BCH_MILL_DOUGH_H_RUIN_01|BCH_MILL_DOUGH_H_TUNNEL_01|BCH_MILL_DOUGH_V_LAYER_01|BCH_MILL_DOUGH_V_RUIN_01|BCH_MILL_DOUGH_V_TUNNEL_01","BOUND_LAYER|BOUND_RUIN|BOUND_TUNNEL","NONE","True"
"015438d8755199ce22f851d313a5054fc2ecd797f255708311e9400fa053f0fd","51","38","51","39","Up","47d1cee661078f986e21200ecea44a3e33e3e67c859f816d659c0ea3420af719","9ac8c2c84e5607b8c54048a1f3567d6b84cd553b2175dd6e226f156eb7a0e137","MoonCrater<->MoonDough","Vertical","MoonpalaceCraterDoughBoundaryAuthoringContract","PAIR_CRATER_DOUGH","EDGE_V_CENTER_CLIMB","BCH_CRATER_DOUGH_H_CLIFF_01|BCH_CRATER_DOUGH_H_SOFT_01|BCH_CRATER_DOUGH_V_CLIFF_01|BCH_CRATER_DOUGH_V_LAYER_01|BCH_CRATER_DOUGH_V_SOFT_01","BOUND_CLIFF|BOUND_LAYER|BOUND_SOFT_BLEND","NONE","True"
"02313f69dbe1516246ae4b964a16d5667e76ec798092acca0697e53ed68a6336","11","38","11","39","Up","5ae1d578e6708bdf2e7c66ca68b7e766a66d55d50df9aaef5041b46130d9b211","8621267aa85d8ec6e58a226ec4fed239684352c23d920e956688e3be4a8b604d","CassiaRoot<->AbandonedMill","Vertical","MoonpalaceRootMillBoundaryAuthoringContract","PAIR_ROOT_MILL","EDGE_V_CENTER_CLIMB","BCH_ROOT_MILL_H_RUIN_01|BCH_ROOT_MILL_H_SOFT_01|BCH_ROOT_MILL_H_TUNNEL_01|BCH_ROOT_MILL_V_RUIN_01|BCH_ROOT_MILL_V_SOFT_01|BCH_ROOT_MILL_V_TUNNEL_01","BOUND_RUIN|BOUND_SOFT_BLEND|BOUND_TUNNEL","NONE","True"
"03dad7cc1845b12b523ab0e7a23c0391e10c7def3000807a1be66a23c7d5f81e","38","35","39","35","Right","d5da5c44c92f08e787f26d89b32ddae72a8961d70ada664250e2ec6d075f45b9","47d1cee661078f986e21200ecea44a3e33e3e67c859f816d659c0ea3420af719","MoonCrater<->CassiaRoot","Horizontal","MoonpalaceCraterRootBoundaryAuthoringContract","PAIR_CRATER_ROOT","EDGE_H_MID_WALK","BCH_CRATER_ROOT_H_CLIFF_01|BCH_CRATER_ROOT_H_SOFT_01|BCH_CRATER_ROOT_H_TUNNEL_01|BCH_CRATER_ROOT_V_CLIFF_01|BCH_CRATER_ROOT_V_SOFT_01|BCH_CRATER_ROOT_V_TUNNEL_01","BOUND_CLIFF|BOUND_SOFT_BLEND|BOUND_TUNNEL","NONE","True"
"0453f1f52628569d7f15503fc461097ff7e936813e754f376a3d727cd0dd17f9","32","38","32","39","Up","d5da5c44c92f08e787f26d89b32ddae72a8961d70ada664250e2ec6d075f45b9","a6aedb9044d7971ffd60fe690d6964d5947e9f255ae0b054866bce96f121e552","MoonCrater<->CassiaRoot","Vertical","MoonpalaceCraterRootBoundaryAuthoringContract","PAIR_CRATER_ROOT","EDGE_V_CENTER_CLIMB","BCH_CRATER_ROOT_H_CLIFF_01|BCH_CRATER_ROOT_H_SOFT_01|BCH_CRATER_ROOT_H_TUNNEL_01|BCH_CRATER_ROOT_V_CLIFF_01|BCH_CRATER_ROOT_V_SOFT_01|BCH_CRATER_ROOT_V_TUNNEL_01","BOUND_CLIFF|BOUND_SOFT_BLEND|BOUND_TUNNEL","NONE","True"
"052a2fc09d108784ee00e490d8f3752e6a58c381091902c2405b3f3c2df1d3e8","21","12","21","13","Up","2d4a1882ef7b3cee9a4474fbb276b5758d3aa83e7860cf7b4de075fd17d01601","6701dc81871b62aa0e5cbe19099af6e97e8b94ba3e6b184e5ff9ac4e0097c603","MoonCrater<->CassiaRoot","Vertical","MoonpalaceCraterRootBoundaryAuthoringContract","PAIR_CRATER_ROOT","EDGE_V_CENTER_CLIMB","BCH_CRATER_ROOT_H_CLIFF_01|BCH_CRATER_ROOT_H_SOFT_01|BCH_CRATER_ROOT_H_TUNNEL_01|BCH_CRATER_ROOT_V_CLIFF_01|BCH_CRATER_ROOT_V_SOFT_01|BCH_CRATER_ROOT_V_TUNNEL_01","BOUND_CLIFF|BOUND_SOFT_BLEND|BOUND_TUNNEL","NONE","True"
"05630601df0e1ad2c847071b4c65ffb4fd0bbe0148910f3360bf7a3492ea6366","23","12","23","13","Up","2d4a1882ef7b3cee9a4474fbb276b5758d3aa83e7860cf7b4de075fd17d01601","6701dc81871b62aa0e5cbe19099af6e97e8b94ba3e6b184e5ff9ac4e0097c603","MoonCrater<->CassiaRoot","Vertical","MoonpalaceCraterRootBoundaryAuthoringContract","PAIR_CRATER_ROOT","EDGE_V_CENTER_CLIMB","BCH_CRATER_ROOT_H_CLIFF_01|BCH_CRATER_ROOT_H_SOFT_01|BCH_CRATER_ROOT_H_TUNNEL_01|BCH_CRATER_ROOT_V_CLIFF_01|BCH_CRATER_ROOT_V_SOFT_01|BCH_CRATER_ROOT_V_TUNNEL_01","BOUND_CLIFF|BOUND_SOFT_BLEND|BOUND_TUNNEL","NONE","True"
"062e3296cd1bbd9ff52a09f2e5c8d13d1fd6633e3745d24b945d53349c821780","22","38","22","39","Up","d22d857df17c751bc8be4ab4bb78a267fe7cbd82f1678f94b13a9fcf296d7946","07bb62dd35e02986ca9c7adc054ed7e498b77120a5c335122ff756ce09c5ed09","AbandonedMill<->MoonDough","Vertical","MoonpalaceMillDoughBoundaryAuthoringContract","PAIR_MILL_DOUGH","EDGE_V_CENTER_CLIMB","BCH_MILL_DOUGH_H_RUIN_01|BCH_MILL_DOUGH_H_TUNNEL_01|BCH_MILL_DOUGH_V_LAYER_01|BCH_MILL_DOUGH_V_RUIN_01|BCH_MILL_DOUGH_V_TUNNEL_01","BOUND_LAYER|BOUND_RUIN|BOUND_TUNNEL","NONE","True"
"07458ea0b64b98c1e08bc898850e785d855838699d40716b555fbfc86efdf31d","24","25","24","26","Up","6701dc81871b62aa0e5cbe19099af6e97e8b94ba3e6b184e5ff9ac4e0097c603","d22d857df17c751bc8be4ab4bb78a267fe7cbd82f1678f94b13a9fcf296d7946","CassiaRoot<->MoonDough","Vertical","MoonpalaceRootDoughBoundaryAuthoringContract","PAIR_ROOT_DOUGH","EDGE_V_CENTER_CLIMB","BCH_ROOT_DOUGH_H_SOFT_01|BCH_ROOT_DOUGH_H_TUNNEL_01|BCH_ROOT_DOUGH_V_LAYER_01|BCH_ROOT_DOUGH_V_SOFT_01|BCH_ROOT_DOUGH_V_TUNNEL_01","BOUND_LAYER|BOUND_SOFT_BLEND|BOUND_TUNNEL","NONE","True"
"0911acf206154ed1928a0d928550f0e8276d79b5b306276efb744270d22d3b32","15","25","15","26","Up","6701dc81871b62aa0e5cbe19099af6e97e8b94ba3e6b184e5ff9ac4e0097c603","d22d857df17c751bc8be4ab4bb78a267fe7cbd82f1678f94b13a9fcf296d7946","CassiaRoot<->MoonDough","Vertical","MoonpalaceRootDoughBoundaryAuthoringContract","PAIR_ROOT_DOUGH","EDGE_V_CENTER_CLIMB","BCH_ROOT_DOUGH_H_SOFT_01|BCH_ROOT_DOUGH_H_TUNNEL_01|BCH_ROOT_DOUGH_V_LAYER_01|BCH_ROOT_DOUGH_V_SOFT_01|BCH_ROOT_DOUGH_V_TUNNEL_01","BOUND_LAYER|BOUND_SOFT_BLEND|BOUND_TUNNEL","NONE","True"
"0a9c8b636411265eee15fc195d3f462c80c15a1974a2ece041ca0df6d3efb25f","25","49","26","49","Right","07bb62dd35e02986ca9c7adc054ed7e498b77120a5c335122ff756ce09c5ed09","a6aedb9044d7971ffd60fe690d6964d5947e9f255ae0b054866bce96f121e552","MoonCrater<->AbandonedMill","Horizontal","MoonpalaceCraterMillBoundaryAuthoringContract","PAIR_CRATER_MILL","EDGE_H_MID_WALK","BCH_CRATER_MILL_H_RUIN_01|BCH_CRATER_MILL_H_SOFT_01|BCH_CRATER_MILL_V_RUIN_01|BCH_CRATER_MILL_V_SOFT_01","BOUND_RUIN|BOUND_SOFT_BLEND","NONE","True"
"0acc804297856704d8c2cdb8844c75637362bda833282f88340e2ca9026ed690","35","25","35","26","Up","23d29e0c365aefa4c3ccbad0fec904f289687f582e7a50b0748662ab32ef4999","d5da5c44c92f08e787f26d89b32ddae72a8961d70ada664250e2ec6d075f45b9","CassiaRoot<->MoonDough","Vertical","MoonpalaceRootDoughBoundaryAuthoringContract","PAIR_ROOT_DOUGH","EDGE_V_CENTER_CLIMB","BCH_ROOT_DOUGH_H_SOFT_01|BCH_ROOT_DOUGH_H_TUNNEL_01|BCH_ROOT_DOUGH_V_LAYER_01|BCH_ROOT_DOUGH_V_SOFT_01|BCH_ROOT_DOUGH_V_TUNNEL_01","BOUND_LAYER|BOUND_SOFT_BLEND|BOUND_TUNNEL","NONE","True"
"0c077f29d63a6ce5ef6bed7e66e66848cc1a1bfd9d1c66a03d5531b6ced217c6","38","30","39","30","Right","d5da5c44c92f08e787f26d89b32ddae72a8961d70ada664250e2ec6d075f45b9","47d1cee661078f986e21200ecea44a3e33e3e67c859f816d659c0ea3420af719","MoonCrater<->CassiaRoot","Horizontal","MoonpalaceCraterRootBoundaryAuthoringContract","PAIR_CRATER_ROOT","EDGE_H_MID_WALK","BCH_CRATER_ROOT_H_CLIFF_01|BCH_CRATER_ROOT_H_SOFT_01|BCH_CRATER_ROOT_H_TUNNEL_01|BCH_CRATER_ROOT_V_CLIFF_01|BCH_CRATER_ROOT_V_SOFT_01|BCH_CRATER_ROOT_V_TUNNEL_01","BOUND_CLIFF|BOUND_SOFT_BLEND|BOUND_TUNNEL","NONE","True"
"0cf449827a9d3cef4edfb8208d1af3d57399ae3439f5acae72209913594dcb37","12","27","13","27","Right","5ae1d578e6708bdf2e7c66ca68b7e766a66d55d50df9aaef5041b46130d9b211","d22d857df17c751bc8be4ab4bb78a267fe7cbd82f1678f94b13a9fcf296d7946","AbandonedMill<->MoonDough","Horizontal","MoonpalaceMillDoughBoundaryAuthoringContract","PAIR_MILL_DOUGH","EDGE_H_MID_WALK","BCH_MILL_DOUGH_H_RUIN_01|BCH_MILL_DOUGH_H_TUNNEL_01|BCH_MILL_DOUGH_V_LAYER_01|BCH_MILL_DOUGH_V_RUIN_01|BCH_MILL_DOUGH_V_TUNNEL_01","BOUND_LAYER|BOUND_RUIN|BOUND_TUNNEL","NONE","True"
"0ecaaa641e55c957f3f6f667e63f64ac266f02133e74a8f7d9a1d635f1bb218e","40","38","40","39","Up","47d1cee661078f986e21200ecea44a3e33e3e67c859f816d659c0ea3420af719","9ac8c2c84e5607b8c54048a1f3567d6b84cd553b2175dd6e226f156eb7a0e137","MoonCrater<->MoonDough","Vertical","MoonpalaceCraterDoughBoundaryAuthoringContract","PAIR_CRATER_DOUGH","EDGE_V_CENTER_CLIMB","BCH_CRATER_DOUGH_H_CLIFF_01|BCH_CRATER_DOUGH_H_SOFT_01|BCH_CRATER_DOUGH_V_CLIFF_01|BCH_CRATER_DOUGH_V_LAYER_01|BCH_CRATER_DOUGH_V_SOFT_01","BOUND_CLIFF|BOUND_LAYER|BOUND_SOFT_BLEND","NONE","True"
"0f2e2a5bf7d41bae07fdb76c2c577fce2ca5453c7d27115bd726511d40b41141","38","43","39","43","Right","a6aedb9044d7971ffd60fe690d6964d5947e9f255ae0b054866bce96f121e552","9ac8c2c84e5607b8c54048a1f3567d6b84cd553b2175dd6e226f156eb7a0e137","MoonCrater<->MoonDough","Horizontal","MoonpalaceCraterDoughBoundaryAuthoringContract","PAIR_CRATER_DOUGH","EDGE_H_MID_WALK","BCH_CRATER_DOUGH_H_CLIFF_01|BCH_CRATER_DOUGH_H_SOFT_01|BCH_CRATER_DOUGH_V_CLIFF_01|BCH_CRATER_DOUGH_V_LAYER_01|BCH_CRATER_DOUGH_V_SOFT_01","BOUND_CLIFF|BOUND_LAYER|BOUND_SOFT_BLEND","NONE","True"
"0f3e17cdae6124de69fd06f2e1ec8c1336d3540d3841945e01892078015cd1d3","38","46","39","46","Right","a6aedb9044d7971ffd60fe690d6964d5947e9f255ae0b054866bce96f121e552","9ac8c2c84e5607b8c54048a1f3567d6b84cd553b2175dd6e226f156eb7a0e137","MoonCrater<->MoonDough","Horizontal","MoonpalaceCraterDoughBoundaryAuthoringContract","PAIR_CRATER_DOUGH","EDGE_H_MID_WALK","BCH_CRATER_DOUGH_H_CLIFF_01|BCH_CRATER_DOUGH_H_SOFT_01|BCH_CRATER_DOUGH_V_CLIFF_01|BCH_CRATER_DOUGH_V_LAYER_01|BCH_CRATER_DOUGH_V_SOFT_01","BOUND_CLIFF|BOUND_LAYER|BOUND_SOFT_BLEND","NONE","True"
"0f6ac4e4803e5e5c7daf9812aa977883a53ae601cf74e0b6f60710afb7ae5846","29","12","29","13","Up","84d336cda898a3e5b69ed7a0a2a5afc9717c612e57d8bf9ed6c8b74ba9b306c6","23d29e0c365aefa4c3ccbad0fec904f289687f582e7a50b0748662ab32ef4999","AbandonedMill<->MoonDough","Vertical","MoonpalaceMillDoughBoundaryAuthoringContract","PAIR_MILL_DOUGH","EDGE_V_CENTER_CLIMB","BCH_MILL_DOUGH_H_RUIN_01|BCH_MILL_DOUGH_H_TUNNEL_01|BCH_MILL_DOUGH_V_LAYER_01|BCH_MILL_DOUGH_V_RUIN_01|BCH_MILL_DOUGH_V_TUNNEL_01","BOUND_LAYER|BOUND_RUIN|BOUND_TUNNEL","NONE","True"
