cluster_id,chunk_x,chunk_y,chunk_role,entry_side,exit_side,is_entry_chunk,is_exit_chunk,canonical_digest
TC_CRATER_BUFFER_ENTRY_RAMP,0,0,Entry,L,R,true,false,16b96be1451eb21639468c28d2535b04300bb7da593cc004c5ca13f9deae2caf
TC_CRATER_BUFFER_ENTRY_RAMP,1,0,Exit,L,R,false,true,57d4c1fbd1a96bc85f14acb0ac5c496762027072e3fba1faf6b0ab2e5551c771
TC_CRATER_BUFFER_EXIT_LEDGE,0,0,Entry,L,U,true,false,370bc585e1d7336417e16f584af6736820f2092a192e733a3ff5e0eabcd0bc6d
TC_CRATER_BUFFER_EXIT_LEDGE,1,0,Core,L,U,false,false,9b31c799062e718005adc6ff9b233e81423a044d90359dde1eec793e9ba400d3
TC_CRATER_BUFFER_EXIT_LEDGE,1,1,Exit,L,U,false,true,42fb3ac5cc826fa876ff1f68154836f57d3abdfdb5656ba34398c66bc2c4c63d
TC_CRATER_BUFFER_RECOVERY_DIP,0,0,Entry,D,U,true,false,f34a44752fb97aa29319ed2eb8a86ddc5845e76e354703139a5f8ee546ef787a
TC_CRATER_BUFFER_RECOVERY_DIP,0,1,Core,D,U,false,false,1784836e61d22027073b5d4d707e9ce2e0259151e4bffa4351df59754c665d95
TC_CRATER_BUFFER_RECOVERY_DIP,0,2,Exit,D,U,false,true,03befae3cabafacda6a9742fa4f1d71ec1990543e294a5437ae6d7be18f55d12
TC_CRATER_PROD_BOWL_CROSS,0,0,Entry,L,R,true,false,23e0e79f7fd4ed299341182e6eb0c95092d384e657fbb3e0a76bb8dd6b1475fe
TC_CRATER_PROD_BOWL_CROSS,1,0,BuildUp,L,R,false,false,089a7546c14825a960532c7958825dac621a62a9df552cc727b1038db18043c3
TC_CRATER_PROD_BOWL_CROSS,1,1,Core,L,R,false,false,3cdb8a8b2376d7d1dc681c334f47c139b1c0d8fcbc26126b1c4e570029fe6f4a
TC_CRATER_PROD_BOWL_CROSS,2,1,Exit,L,R,false,true,d142ef8d8468ec75447a872799dee558f8e47b98ed8a5ea330ac794da9b9930f
TC_CRATER_PROD_BROKEN_SLOPE,0,0,Entry,U,D,true,false,8f1b5bd775eedd0439d183bcec7c0fa553c7b86fdf289cf3791485a005fe5a9f
TC_CRATER_PROD_BROKEN_SLOPE,1,0,BuildUp,U,D,false,false,fd4a7ef218619948d73627a7fe95233070d993de1c21c4548dc6cadbe32bee73
