village_layout_id,road_cell_id,order,local_x,local_y,central_road,access_class,canonical_digest
VLG_MOONPALACE_1X1_OVERVIEW,1X1_OVERVIEW_ROAD_000,0,0,16,true,MandatoryNoTool,eaaae49933fb24eff2fc341ece01a5a009050c56fb2beab3c633ce7a7d745d34
VLG_MOONPALACE_1X1_OVERVIEW,1X1_OVERVIEW_ROAD_001,1,1,16,true,MandatoryNoTool,44e402bc63f7d414fb99091f9b2dff41baf52347e8e8484c6c709189be0c993a
VLG_MOONPALACE_1X1_OVERVIEW,1X1_OVERVIEW_ROAD_002,2,2,16,true,MandatoryNoTool,d789ee152d8e8a9cd264288606e77c3c7f4fe358585041254a43badb448cfc43
VLG_MOONPALACE_1X1_OVERVIEW,1X1_OVERVIEW_ROAD_003,3,3,16,true,MandatoryNoTool,b4b40388b6c779afd09e20c0102e5c8ef5cb7548cdcfccf72461630b1f0a7687
VLG_MOONPALACE_1X1_OVERVIEW,1X1_OVERVIEW_ROAD_004,4,4,16,true,MandatoryNoTool,03d14cde3e975dcb66f3703cc083b8e93201f3a1b87f6d7cfc64580cea3c640b
VLG_MOONPALACE_1X1_OVERVIEW,1X1_OVERVIEW_ROAD_005,5,5,16,true,MandatoryNoTool,8b9b03e751dbc0d9d6e3b2282b13570cacaeee6e8371506f0bb2bd8de9f0c563
VLG_MOONPALACE_1X1_OVERVIEW,1X1_OVERVIEW_ROAD_006,6,6,16,true,MandatoryNoTool,da2062fc380b4ebff6339a378f68e6c728900f3760aefd2f460f0bafc3105f48
VLG_MOONPALACE_1X1_OVERVIEW,1X1_OVERVIEW_ROAD_007,7,7,16,true,MandatoryNoTool,a59406381e94a88ad1c16d387f86b7fd43861fa86132c75cc99cbfefd8c4d25e
VLG_MOONPALACE_1X1_OVERVIEW,1X1_OVERVIEW_ROAD_008,8,8,16,true,MandatoryNoTool,9a245eada040832ad4622332fc45e8cfdee814f4da962ad340ef4f6d22a6da18
VLG_MOONPALACE_1X1_OVERVIEW,1X1_OVERVIEW_ROAD_009,9,9,16,true,MandatoryNoTool,073c139ef61a821ca7c26ec1b072f922e061886aa4b677c0698a2abed7d726f7
VLG_MOONPALACE_1X1_OVERVIEW,1X1_OVERVIEW_ROAD_010,10,10,16,true,MandatoryNoTool,c02f68bd9ef0ff40603e6cc1a68f26e518e954b3c1ba9c99a2f053da5a60589b
VLG_MOONPALACE_1X1_OVERVIEW,1X1_OVERVIEW_ROAD_011,11,11,16,true,MandatoryNoTool,0f733601c6f47226a42762dcc15815ee4ed443855679313cdfd16e47ecd5766e
VLG_MOONPALACE_1X1_OVERVIEW,1X1_OVERVIEW_ROAD_012,12,12,16,true,MandatoryNoTool,db21d5e864d9d2d6ba2f0d81c96e646d99194412efc18d1ffaf8cd4274eceae3
VLG_MOONPALACE_1X1_OVERVIEW,1X1_OVERVIEW_ROAD_013,13,13,16,true,MandatoryNoTool,fd9ae226596aa431e1055f7a7bfe9b036feb65d4f967e7e9b3c8d3893c2dd147
VLG_MOONPALACE_1X1_OVERVIEW,1X1_OVERVIEW_ROAD_014,14,14,16,true,MandatoryNoTool,6d8dbad634c726aed2aa69b7dbaa2ecdcf6fe91998aa4dd5b24fd51655e66bb6
VLG_MOONPALACE_1X1_OVERVIEW,1X1_OVERVIEW_ROAD_015,15,15,16,true,MandatoryNoTool,fe41903422b0ca717d1ddccbf35b83ae2b882e06384610165552b74cb9269388
