activity_id,graph_kind,node_id,node_kind,slot_id,is_start,is_terminal
ACT_CRATER_BOULDER_CHAIN,MECHANISM,MECH_CRATER_BOULDER_CHAIN_CUE,CueEmitter,SLOT_CRATER_BOULDER_CHAIN_CUE,false,false
ACT_CRATER_BOULDER_CHAIN,MECHANISM,MECH_CRATER_BOULDER_CHAIN_DEVICE,Device,SLOT_CRATER_BOULDER_CHAIN_DEVICE,false,false
ACT_CRATER_BOULDER_CHAIN,MECHANISM,MECH_CRATER_BOULDER_CHAIN_HAZARD,Hazard,SLOT_CRATER_BOULDER_CHAIN_HAZARD,false,false
ACT_CRATER_BOULDER_CHAIN,MECHANISM,MECH_CRATER_BOULDER_CHAIN_RECOVERY,RecoveryController,SLOT_CRATER_BOULDER_CHAIN_RECOVERY,false,false
ACT_CRATER_BOULDER_CHAIN,MECHANISM,MECH_CRATER_BOULDER_CHAIN_RESET,ResetController,SLOT_CRATER_BOULDER_CHAIN_RESET,false,false
ACT_CRATER_BOULDER_CHAIN,MECHANISM,MECH_CRATER_BOULDER_CHAIN_REWARD,RewardEmitter,SLOT_CRATER_BOULDER_CHAIN_REWARD,false,false
ACT_CRATER_BOULDER_CHAIN,MECHANISM,MECH_CRATER_BOULDER_CHAIN_TRIGGER,Trigger,SLOT_CRATER_BOULDER_CHAIN_TRIGGER,false,false
ACT_CRATER_RICOCHET_MINE,MECHANISM,MECH_CRATER_RICOCHET_MINE_CUE,CueEmitter,SLOT_CRATER_RICOCHET_MINE_CUE,false,false
ACT_CRATER_RICOCHET_MINE,MECHANISM,MECH_CRATER_RICOCHET_MINE_DEVICE,Device,SLOT_CRATER_RICOCHET_MINE_DEVICE,false,false
ACT_CRATER_RICOCHET_MINE,MECHANISM,MECH_CRATER_RICOCHET_MINE_HAZARD,Hazard,SLOT_CRATER_RICOCHET_MINE_HAZARD,false,false
ACT_CRATER_RICOCHET_MINE,MECHANISM,MECH_CRATER_RICOCHET_MINE_PROJECTILE,ProjectileEmitter,SLOT_CRATER_RICOCHET_MINE_PROJECTILE,false,false
ACT_CRATER_RICOCHET_MINE,MECHANISM,MECH_CRATER_RICOCHET_MINE_RECOVERY,RecoveryController,SLOT_CRATER_RICOCHET_MINE_RECOVERY,false,false
ACT_CRATER_RICOCHET_MINE,MECHANISM,MECH_CRATER_RICOCHET_MINE_RESET,ResetController,SLOT_CRATER_RICOCHET_MINE_RESET,false,false
ACT_CRATER_RICOCHET_MINE,MECHANISM,MECH_CRATER_RICOCHET_MINE_REWARD,RewardEmitter,SLOT_CRATER_RICOCHET_MINE_REWARD,false,false
ACT_CRATER_RICOCHET_MINE,MECHANISM,MECH_CRATER_RICOCHET_MINE_TRIGGER,Trigger,SLOT_CRATER_RICOCHET_MINE_TRIGGER,false,false
ACT_DOUGH_TIME_TRIAL,MECHANISM,MECH_DOUGH_TIME_TRIAL_CUE,CueEmitter,SLOT_DOUGH_TIME_TRIAL_CUE,false,false
ACT_DOUGH_TIME_TRIAL,MECHANISM,MECH_DOUGH_TIME_TRIAL_DEVICE,Device,SLOT_DOUGH_TIME_TRIAL_DEVICE,false,false
ACT_DOUGH_TIME_TRIAL,MECHANISM,MECH_DOUGH_TIME_TRIAL_HAZARD,Hazard,SLOT_DOUGH_TIME_TRIAL_HAZARD,false,false
