activity_id,edge_id,graph_kind,edge_kind,from_node_id,to_node_id,edge_order
ACT_CRATER_BOULDER_CHAIN,MECH_EDGE_CRATER_BOULDER_CHAIN_01_TRIGGER_CUE,MECHANISM,ACTIVATES,MECH_CRATER_BOULDER_CHAIN_TRIGGER,MECH_CRATER_BOULDER_CHAIN_CUE,1
ACT_CRATER_BOULDER_CHAIN,MECH_EDGE_CRATER_BOULDER_CHAIN_02_TRIGGER_DEVICE,MECHANISM,ACTIVATES,MECH_CRATER_BOULDER_CHAIN_TRIGGER,MECH_CRATER_BOULDER_CHAIN_DEVICE,2
ACT_CRATER_BOULDER_CHAIN,MECH_EDGE_CRATER_BOULDER_CHAIN_03_DEVICE_HAZARD,MECHANISM,DRIVES,MECH_CRATER_BOULDER_CHAIN_DEVICE,MECH_CRATER_BOULDER_CHAIN_HAZARD,3
ACT_CRATER_BOULDER_CHAIN,MECH_EDGE_CRATER_BOULDER_CHAIN_05_DEVICE_REWARD,MECHANISM,DRIVES,MECH_CRATER_BOULDER_CHAIN_DEVICE,MECH_CRATER_BOULDER_CHAIN_REWARD,5
ACT_CRATER_BOULDER_CHAIN,MECH_EDGE_CRATER_BOULDER_CHAIN_06_DEVICE_RECOVERY,MECHANISM,ENABLES,MECH_CRATER_BOULDER_CHAIN_DEVICE,MECH_CRATER_BOULDER_CHAIN_RECOVERY,6
ACT_CRATER_BOULDER_CHAIN,MECH_EDGE_CRATER_BOULDER_CHAIN_07_DEVICE_RESET,MECHANISM,ENABLES,MECH_CRATER_BOULDER_CHAIN_DEVICE,MECH_CRATER_BOULDER_CHAIN_RESET,7
ACT_CRATER_BOULDER_CHAIN,PROG_EDGE_CRATER_BOULDER_CHAIN_01_CUE_ACTIVATION,PROGRESSION,ADVANCE,PROG_CRATER_BOULDER_CHAIN_CUE,PROG_CRATER_BOULDER_CHAIN_ACTIVATION,1
ACT_CRATER_BOULDER_CHAIN,PROG_EDGE_CRATER_BOULDER_CHAIN_02_ACTIVATION_CORE,PROGRESSION,ADVANCE,PROG_CRATER_BOULDER_CHAIN_ACTIVATION,PROG_CRATER_BOULDER_CHAIN_CORE,2
ACT_CRATER_BOULDER_CHAIN,PROG_EDGE_CRATER_BOULDER_CHAIN_03_CORE_REWARD,PROGRESSION,ADVANCE,PROG_CRATER_BOULDER_CHAIN_CORE,PROG_CRATER_BOULDER_CHAIN_REWARD,3
ACT_CRATER_BOULDER_CHAIN,PROG_EDGE_CRATER_BOULDER_CHAIN_04_REWARD_RECOVERY,PROGRESSION,ADVANCE,PROG_CRATER_BOULDER_CHAIN_REWARD,PROG_CRATER_BOULDER_CHAIN_RECOVERY,4
ACT_CRATER_BOULDER_CHAIN,PROG_EDGE_CRATER_BOULDER_CHAIN_05_RECOVERY_EXIT,PROGRESSION,EXIT,PROG_CRATER_BOULDER_CHAIN_RECOVERY,PROG_CRATER_BOULDER_CHAIN_EXIT,5
ACT_CRATER_BOULDER_CHAIN,PROG_EDGE_CRATER_BOULDER_CHAIN_06_CORE_RESET,PROGRESSION,FAILURE,PROG_CRATER_BOULDER_CHAIN_CORE,PROG_CRATER_BOULDER_CHAIN_RESET,6
ACT_CRATER_BOULDER_CHAIN,PROG_EDGE_CRATER_BOULDER_CHAIN_07_RESET_ACTIVATION,PROGRESSION,RESET,PROG_CRATER_BOULDER_CHAIN_RESET,PROG_CRATER_BOULDER_CHAIN_ACTIVATION,7
ACT_CRATER_RICOCHET_MINE,MECH_EDGE_CRATER_RICOCHET_MINE_01_TRIGGER_CUE,MECHANISM,ACTIVATES,MECH_CRATER_RICOCHET_MINE_TRIGGER,MECH_CRATER_RICOCHET_MINE_CUE,1
ACT_CRATER_RICOCHET_MINE,MECH_EDGE_CRATER_RICOCHET_MINE_02_TRIGGER_DEVICE,MECHANISM,ACTIVATES,MECH_CRATER_RICOCHET_MINE_TRIGGER,MECH_CRATER_RICOCHET_MINE_DEVICE,2
ACT_CRATER_RICOCHET_MINE,MECH_EDGE_CRATER_RICOCHET_MINE_03_DEVICE_HAZARD,MECHANISM,DRIVES,MECH_CRATER_RICOCHET_MINE_DEVICE,MECH_CRATER_RICOCHET_MINE_HAZARD,3
ACT_CRATER_RICOCHET_MINE,MECH_EDGE_CRATER_RICOCHET_MINE_04_DEVICE_PROJECTILE,MECHANISM,DRIVES,MECH_CRATER_RICOCHET_MINE_DEVICE,MECH_CRATER_RICOCHET_MINE_PROJECTILE,4
ACT_CRATER_RICOCHET_MINE,MECH_EDGE_CRATER_RICOCHET_MINE_05_DEVICE_REWARD,MECHANISM,DRIVES,MECH_CRATER_RICOCHET_MINE_DEVICE,MECH_CRATER_RICOCHET_MINE_REWARD,5
