overlay_id,kind,world_x,world_y,owner_id,condition
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_1","LADDER","523","135","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_117","LADDER","415","143","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_118","LADDER","415","144","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_119","LADDER","415","145","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_120","LADDER","415","146","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_121","LADDER","415","147","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_122","LADDER","415","148","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_123","LADDER","415","149","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_124","LADDER","415","150","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_125","LADDER","415","151","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_126","LADDER","415","152","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_127","LADDER","415","153","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_128","LADDER","415","154","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_129","LADDER","415","155","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_130","LADDER","415","156","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_131","LADDER","415","157","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_132","LADDER","415","158","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_133","LADDER","415","159","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_134","LADDER","415","160","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_135","LADDER","415","161","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_136","LADDER","415","162","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_137","LADDER","415","163","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_138","LADDER","415","164","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_139","LADDER","415","165","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_140","LADDER","415","166","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_141","LADDER","415","167","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_142","LADDER","415","168","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_143","LADDER","415","169","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_144","LADDER","415","170","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_145","LADDER","415","171","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_146","LADDER","415","172","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_147","LADDER","415","173","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_148","LADDER","415","174","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_149","LADDER","415","175","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_150","LADDER","415","176","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_151","LADDER","415","177","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_152","LADDER","415","178","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_153","LADDER","415","179","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_154","LADDER","415","180","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_155","LADDER","415","181","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_156","LADDER","415","182","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_157","LADDER","415","183","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_158","LADDER","415","184","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_159","LADDER","415","185","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_160","LADDER","415","186","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_161","LADDER","415","187","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_162","LADDER","415","188","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_163","LADDER","415","189","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_164","LADDER","415","190","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_165","LADDER","415","191","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_166","LADDER","415","192","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_167","LADDER","415","193","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_168","LADDER","415","194","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_169","LADDER","415","195","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_170","LADDER","415","196","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_171","LADDER","415","197","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_172","LADDER","415","198","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_173","LADDER","415","199","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_174","LADDER","415","200","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_CLIMB_175","LADDER","415","201","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","CharacterLiveClimbSurface.StaticSafe"
