pattern_id,write_mask,cells_row_major_16,semantic_hash,variants,actual_cell_digest,plan_digest
"INFILL_0b0700d16004ed4b0db1c9cda4821782976038246f3a083e329d30caba8e2ae8","61427","Solid|Solid|Unknown|Unknown|Air|Air|Solid|Solid|Air|Air|Air|Air|Unknown|Air|Air|Air","0b0700d16004ed4b0db1c9cda4821782976038246f3a083e329d30caba8e2ae8","LOOP_SCALLOP","07b1a78a822c1a04f8ae5457361b23861ad25a75c59459dd0ea5997a7f1f0d55","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"INFILL_0c0b1ba6722dd6d3ef113e9ae80c232e1dc787ae0cb249b9f81e174e6368ad05","61120","Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Solid|Solid|Unknown|Solid|Air|Air|Unknown|Air|Air|Air","0c0b1ba6722dd6d3ef113e9ae80c232e1dc787ae0cb249b9f81e174e6368ad05","LOOP_SCALLOP","bd8165ec847ba97cb151ada5196fb76ed334538736ae5abc4fb45c3853cd2f71","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"INFILL_0c3dfdfed4547280023a7fe6e2bd42d62042ba17827a884fe2c405a68849d091","61427","Air|Solid|Unknown|Unknown|Air|Air|Solid|Solid|Air|Air|Air|Air|Unknown|Air|Air|Air","0c3dfdfed4547280023a7fe6e2bd42d62042ba17827a884fe2c405a68849d091","LOOP_SCALLOP","bc84108b1880e0b0572f6000be7bd284bd95d85a682ccec02c64c7238df9962d","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"INFILL_0de03e2d0b7890b37f096153eab8a59d80f43c2454b4789658538dddc3a9a9e0","60416","Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Solid|Solid|Unknown|Solid|Air|Air","0de03e2d0b7890b37f096153eab8a59d80f43c2454b4789658538dddc3a9a9e0","LOOP_SCALLOP","924d160df0d32606bd9c2bcb5ea821de723671254fd0346acb4e01ddf09342dc","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"INFILL_0e15b63e32a9e38d151f268994fdf557efaba36e59dbaa824137de56138640ab","110","Unknown|Air|Air|Air|Unknown|Air|Air|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown","0e15b63e32a9e38d151f268994fdf557efaba36e59dbaa824137de56138640ab","LOOP_SCALLOP","924d160df0d32606bd9c2bcb5ea821de723671254fd0346acb4e01ddf09342dc","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"INFILL_199b48a09474ae32fcd77a9bbd202348f729ff1f48af2688d3b1733faa6041bf","13072","Unknown|Unknown|Unknown|Unknown|Solid|Unknown|Unknown|Unknown|Air|Solid|Unknown|Unknown|Air|Air|Unknown|Unknown","199b48a09474ae32fcd77a9bbd202348f729ff1f48af2688d3b1733faa6041bf","LOOP_SCALLOP","07b1a78a822c1a04f8ae5457361b23861ad25a75c59459dd0ea5997a7f1f0d55","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"INFILL_1af92f90d0e8927133b73d0eec6adebacdbb2a655b55c4066b4e8eea841497ac","52352","Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Solid|Unknown|Unknown|Solid|Air|Unknown|Unknown|Air|Air","1af92f90d0e8927133b73d0eec6adebacdbb2a655b55c4066b4e8eea841497ac","LOOP_SHELF","bd8049304779639e1a09a501737a0bcd4de489ec019c2524308b67bcbaf32ce8","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"INFILL_20ecb2556e8547d321d37cb1edbed49b7440bbc146287fb9dbb309304c000b1b","61128","Unknown|Unknown|Unknown|Solid|Unknown|Unknown|Solid|Air|Unknown|Solid|Air|Air|Unknown|Air|Air|Air","20ecb2556e8547d321d37cb1edbed49b7440bbc146287fb9dbb309304c000b1b","LOOP_SHELF","fed86efa8886de64cde0d4d462f237ca89d604db18716295ce05d426508a4a4c","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"INFILL_23d630b69e0e4d2ecec39f0a6585165f6c20c38e776710e57b4600365efcfe83","12288","Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Solid|Solid|Unknown|Unknown","23d630b69e0e4d2ecec39f0a6585165f6c20c38e776710e57b4600365efcfe83","LOOP_SCALLOP","07b1a78a822c1a04f8ae5457361b23861ad25a75c59459dd0ea5997a7f1f0d55","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"INFILL_2c585caebd07cf85df6418eab01f3323e96d3dda90372e346a07349c0462c833","23","Air|Air|Air|Unknown|Air|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown","2c585caebd07cf85df6418eab01f3323e96d3dda90372e346a07349c0462c833","LOOP_SCALLOP|LOOP_SHELF","5d3239dca4dc12392046c2bf5f5485e188f60a164921cb9e3434334ffa4f09e6","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
