kind,id,source_path,owner_id
ACTIVITY,ACT_CRATER_BOULDER_CHAIN,Assets/_Game/Map/Authoring/WorldGeneration/MoonPalace/MAP21_05/moonpalace_activity_profiles.csv,VIS01_CHUNK_00
ACTIVITY,ACT_CRATER_BOULDER_CHAIN,Assets/_Game/Map/Authoring/WorldGeneration/MoonPalace/MAP21_05/moonpalace_activity_profiles.csv,VIS01_CHUNK_06
ACTIVITY,ACT_CRATER_BOULDER_CHAIN,Assets/_Game/Map/Authoring/WorldGeneration/MoonPalace/MAP21_05/moonpalace_activity_profiles.csv,VIS01_CHUNK_13
ACTIVITY,ACT_CRATER_RICOCHET_MINE,Assets/_Game/Map/Authoring/WorldGeneration/MoonPalace/MAP21_05/moonpalace_activity_profiles.csv,VIS01_CHUNK_03
ACTIVITY,ACT_CRATER_RICOCHET_MINE,Assets/_Game/Map/Authoring/WorldGeneration/MoonPalace/MAP21_05/moonpalace_activity_profiles.csv,VIS01_CHUNK_05
ACTIVITY,ACT_CRATER_RICOCHET_MINE,Assets/_Game/Map/Authoring/WorldGeneration/MoonPalace/MAP21_05/moonpalace_activity_profiles.csv,VIS01_CHUNK_08
ACTIVITY,ACT_DOUGH_TIME_TRIAL,Assets/_Game/Map/Authoring/WorldGeneration/MoonPalace/MAP21_05/moonpalace_activity_profiles.csv,VIS01_CHUNK_00
ACTIVITY,ACT_DOUGH_TIME_TRIAL,Assets/_Game/Map/Authoring/WorldGeneration/MoonPalace/MAP21_05/moonpalace_activity_profiles.csv,VIS01_CHUNK_15
ACTIVITY,ACT_MARU_REWIND_ANOMALY,Assets/_Game/Map/Authoring/WorldGeneration/MoonPalace/MAP21_05/moonpalace_activity_profiles.csv,VIS01_CHUNK_07
ACTIVITY,ACT_MARU_REWIND_ANOMALY,Assets/_Game/Map/Authoring/WorldGeneration/MoonPalace/MAP21_05/moonpalace_activity_profiles.csv,VIS01_CHUNK_14
ACTIVITY,ACT_MILL_ESCORT_CART,Assets/_Game/Map/Authoring/WorldGeneration/MoonPalace/MAP21_05/moonpalace_activity_profiles.csv,VIS01_CHUNK_15
ACTIVITY,ACT_MILL_GEAR_GRID,Assets/_Game/Map/Authoring/WorldGeneration/MoonPalace/MAP21_05/moonpalace_activity_profiles.csv,VIS01_CHUNK_04
ACTIVITY,ACT_MILL_GEAR_GRID,Assets/_Game/Map/Authoring/WorldGeneration/MoonPalace/MAP21_05/moonpalace_activity_profiles.csv,VIS01_CHUNK_09
ACTIVITY,ACT_MILL_GEAR_GRID,Assets/_Game/Map/Authoring/WorldGeneration/MoonPalace/MAP21_05/moonpalace_activity_profiles.csv,VIS01_CHUNK_12
ACTIVITY,ACT_MILL_PESTLE_WORKSHOP,Assets/_Game/Map/Authoring/WorldGeneration/MoonPalace/MAP21_05/moonpalace_activity_profiles.csv,VIS01_CHUNK_10
ACTIVITY,ACT_MILL_PESTLE_WORKSHOP,Assets/_Game/Map/Authoring/WorldGeneration/MoonPalace/MAP21_05/moonpalace_activity_profiles.csv,VIS01_CHUNK_11
BIOME,AbandonedMill,Assets/_Game/Map/Authoring/WorldGeneration/MoonPalace/MAP21_01/moonpalace_biome_profiles.csv,VIS01_CHUNK_03
BIOME,AbandonedMill,Assets/_Game/Map/Authoring/WorldGeneration/MoonPalace/MAP21_01/moonpalace_biome_profiles.csv,VIS01_CHUNK_07
BIOME,AbandonedMill,Assets/_Game/Map/Authoring/WorldGeneration/MoonPalace/MAP21_01/moonpalace_biome_profiles.csv,VIS01_CHUNK_11
BIOME,AbandonedMill,Assets/_Game/Map/Authoring/WorldGeneration/MoonPalace/MAP21_01/moonpalace_biome_profiles.csv,VIS01_CHUNK_15
