layer_index,layer_name,x,y,value
0,BIOME,0,0,MoonDough
0,BIOME,1,0,MoonDough
0,BIOME,2,0,MoonDough
0,BIOME,3,0,MoonDough
0,BIOME,4,0,MoonDough
0,BIOME,5,0,MoonDough
0,BIOME,6,0,MoonDough
0,BIOME,7,0,MoonDough
0,BIOME,8,0,MoonDough
0,BIOME,9,0,MoonDough
0,BIOME,10,0,MoonDough
0,BIOME,11,0,MoonDough
0,BIOME,12,0,MoonCrater
0,BIOME,13,0,MoonCrater
0,BIOME,14,0,MoonCrater
0,BIOME,15,0,MoonCrater
0,BIOME,16,0,MoonCrater
0,BIOME,17,0,MoonCrater
0,BIOME,18,0,MoonCrater
0,BIOME,19,0,MoonCrater
0,BIOME,20,0,MoonCrater
0,BIOME,21,0,MoonCrater
0,BIOME,22,0,MoonCrater
0,BIOME,23,0,MoonCrater
0,BIOME,24,0,CassiaRoot
0,BIOME,25,0,CassiaRoot
0,BIOME,26,0,CassiaRoot
0,BIOME,27,0,CassiaRoot
0,BIOME,28,0,CassiaRoot
0,BIOME,29,0,CassiaRoot
0,BIOME,30,0,CassiaRoot
0,BIOME,31,0,CassiaRoot
0,BIOME,32,0,CassiaRoot
0,BIOME,33,0,CassiaRoot
0,BIOME,34,0,CassiaRoot
0,BIOME,35,0,CassiaRoot
0,BIOME,36,0,AbandonedMill
0,BIOME,37,0,AbandonedMill
0,BIOME,38,0,AbandonedMill
0,BIOME,39,0,AbandonedMill
0,BIOME,40,0,AbandonedMill
0,BIOME,41,0,AbandonedMill
0,BIOME,42,0,AbandonedMill
0,BIOME,43,0,AbandonedMill
0,BIOME,44,0,AbandonedMill
0,BIOME,45,0,AbandonedMill
0,BIOME,46,0,AbandonedMill
0,BIOME,47,0,AbandonedMill
0,BIOME,0,1,MoonDough
0,BIOME,1,1,MoonDough
0,BIOME,2,1,MoonDough
0,BIOME,3,1,MoonDough
0,BIOME,4,1,MoonDough
0,BIOME,5,1,MoonDough
0,BIOME,6,1,MoonDough
0,BIOME,7,1,MoonDough
0,BIOME,8,1,MoonDough
0,BIOME,9,1,MoonDough
0,BIOME,10,1,MoonDough
0,BIOME,11,1,MoonDough
0,BIOME,12,1,MoonCrater
0,BIOME,13,1,MoonCrater
0,BIOME,14,1,MoonCrater
0,BIOME,15,1,MoonCrater
0,BIOME,16,1,MoonCrater
0,BIOME,17,1,MoonCrater
0,BIOME,18,1,MoonCrater
0,BIOME,19,1,MoonCrater
0,BIOME,20,1,MoonCrater
0,BIOME,21,1,MoonCrater
0,BIOME,22,1,MoonCrater
0,BIOME,23,1,MoonCrater
0,BIOME,24,1,CassiaRoot
0,BIOME,25,1,CassiaRoot
0,BIOME,26,1,CassiaRoot
0,BIOME,27,1,CassiaRoot
0,BIOME,28,1,CassiaRoot
0,BIOME,29,1,CassiaRoot
0,BIOME,30,1,CassiaRoot
0,BIOME,31,1,CassiaRoot
0,BIOME,32,1,CassiaRoot
0,BIOME,33,1,CassiaRoot
0,BIOME,34,1,CassiaRoot
0,BIOME,35,1,CassiaRoot
0,BIOME,36,1,AbandonedMill
0,BIOME,37,1,AbandonedMill
0,BIOME,38,1,AbandonedMill
0,BIOME,39,1,AbandonedMill
0,BIOME,40,1,AbandonedMill
0,BIOME,41,1,AbandonedMill
0,BIOME,42,1,AbandonedMill
0,BIOME,43,1,AbandonedMill
0,BIOME,44,1,AbandonedMill
0,BIOME,45,1,AbandonedMill
0,BIOME,46,1,AbandonedMill
0,BIOME,47,1,AbandonedMill
0,BIOME,0,2,MoonDough
0,BIOME,1,2,MoonDough
0,BIOME,2,2,MoonDough
0,BIOME,3,2,MoonDough
0,BIOME,4,2,MoonDough
0,BIOME,5,2,MoonDough
0,BIOME,6,2,MoonDough
0,BIOME,7,2,MoonDough
0,BIOME,8,2,MoonDough
0,BIOME,9,2,MoonDough
0,BIOME,10,2,MoonDough
0,BIOME,11,2,MoonDough
0,BIOME,12,2,MoonCrater
0,BIOME,13,2,MoonCrater
0,BIOME,14,2,MoonCrater
0,BIOME,15,2,MoonCrater
0,BIOME,16,2,MoonCrater
0,BIOME,17,2,MoonCrater
0,BIOME,18,2,MoonCrater
0,BIOME,19,2,MoonCrater
0,BIOME,20,2,MoonCrater
0,BIOME,21,2,MoonCrater
0,BIOME,22,2,MoonCrater
0,BIOME,23,2,MoonCrater
0,BIOME,24,2,CassiaRoot
0,BIOME,25,2,CassiaRoot
0,BIOME,26,2,CassiaRoot
0,BIOME,27,2,CassiaRoot
0,BIOME,28,2,CassiaRoot
0,BIOME,29,2,CassiaRoot
0,BIOME,30,2,CassiaRoot
0,BIOME,31,2,CassiaRoot
0,BIOME,32,2,CassiaRoot
0,BIOME,33,2,CassiaRoot
0,BIOME,34,2,CassiaRoot
0,BIOME,35,2,CassiaRoot
0,BIOME,36,2,AbandonedMill
0,BIOME,37,2,AbandonedMill
0,BIOME,38,2,AbandonedMill
0,BIOME,39,2,AbandonedMill
0,BIOME,40,2,AbandonedMill
0,BIOME,41,2,AbandonedMill
0,BIOME,42,2,AbandonedMill
0,BIOME,43,2,AbandonedMill
0,BIOME,44,2,AbandonedMill
0,BIOME,45,2,AbandonedMill
0,BIOME,46,2,AbandonedMill
0,BIOME,47,2,AbandonedMill
0,BIOME,0,3,MoonDough
0,BIOME,1,3,MoonDough
0,BIOME,2,3,MoonDough
0,BIOME,3,3,MoonDough
0,BIOME,4,3,MoonDough
0,BIOME,5,3,MoonDough
0,BIOME,6,3,MoonDough
0,BIOME,7,3,MoonDough
0,BIOME,8,3,MoonDough
0,BIOME,9,3,MoonDough
0,BIOME,10,3,MoonDough
0,BIOME,11,3,MoonDough
0,BIOME,12,3,MoonCrater
0,BIOME,13,3,MoonCrater
0,BIOME,14,3,MoonCrater
0,BIOME,15,3,MoonCrater
0,BIOME,16,3,MoonCrater
0,BIOME,17,3,MoonCrater
0,BIOME,18,3,MoonCrater
0,BIOME,19,3,MoonCrater
0,BIOME,20,3,MoonCrater
0,BIOME,21,3,MoonCrater
