edge_id,source_node_id,target_node_id,direction,condition,connection_id,verification_level
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","25106024ba2b119900ae0ddd27b4ed5900cd904288ad09482650f35774c4eb1c","9f205e3136515f7b3ccb77c93c7238adefb24933728722c9e29b0a0d6b6fcd47","Up","NORMAL_FORGE_RETURN","RMAP13_NORMAL_FORGE_RETURN","PlannedSpace"
"16f8c96de43cf0ec7882d78bdcae5b4cc79a1e08fd38fcfbbb7e90b19bfc8998","4d2f3947cda6d83ffe46e375d247485ed93f8716ccee3e585ff055ea8ce50707","9f205e3136515f7b3ccb77c93c7238adefb24933728722c9e29b0a0d6b6fcd47","Down","NORMAL_RESOURCE_RETURN","RMAP13_NORMAL_CondensedCoefficientSap_RETURN","PlannedSpace"
"21e6a90771dd0ec3a5924c7bed7cedd6df7b87118024ccd550005017a8e7ebd0","074b9996b4a439df4de40e48099d1df36afbea6dc71dfd35dbd88b2d72278db2","9f205e3136515f7b3ccb77c93c7238adefb24933728722c9e29b0a0d6b6fcd47","Left","NORMAL_RESOURCE_RETURN","RMAP13_NORMAL_MooncoreOre_RETURN","PlannedSpace"
"29dc755094886d48300e9f8cf0fb0e54f09125a29c2fac78855bda7885f7dbaa","25106024ba2b119900ae0ddd27b4ed5900cd904288ad09482650f35774c4eb1c","3a940bd17917accb8b86ed854685e791096281c72956719915c96ba4eba00b22","Right","FORGE_GATED_SEAL_APPROACH","RMAP13_FORGE_TO_SEAL","PlannedSpace"
"58b7d4a60780df62304406603b0873d592baca87d042509b755af13521eb2cfb","4d2f3947cda6d83ffe46e375d247485ed93f8716ccee3e585ff055ea8ce50707","25106024ba2b119900ae0ddd27b4ed5900cd904288ad09482650f35774c4eb1c","Down","REQUIRED_RESOURCE_RETURN_SHORTCUT","RMAP13_SHORTCUT_CondensedCoefficientSap","PlannedSpace"
"5d8cfeb84fc71da1e85d17cc266f4a2de6948a800880d1daa7dd30b18099eeb3","074b9996b4a439df4de40e48099d1df36afbea6dc71dfd35dbd88b2d72278db2","25106024ba2b119900ae0ddd27b4ed5900cd904288ad09482650f35774c4eb1c","Down","REQUIRED_RESOURCE_RETURN_SHORTCUT","RMAP13_SHORTCUT_MooncoreOre","PlannedSpace"
"74004c50147eb4af54c7c3beb9c82282fb0d23628aa3c2e2a588301c04e965f4","44a22e8a2bf4736c80a7476cdfcc927f62cfa6a507e5e5c2b962578b1291e105","27c240714909ea80879f433650a042eb740f8b586e9b43a6376e2a188dba3c67","Right","BOSS_GATED_EXIT_APPROACH","RMAP13_BOSS_TO_EXIT","PlannedSpace"
"88ee0ec82e323424ac35c6a0686f4ad0fe97710744d3eba9277c1b5343f18ac2","3a940bd17917accb8b86ed854685e791096281c72956719915c96ba4eba00b22","44a22e8a2bf4736c80a7476cdfcc927f62cfa6a507e5e5c2b962578b1291e105","Up","SEAL_GATED_BOSS_APPROACH","RMAP13_SEAL_TO_BOSS","PlannedSpace"
"93f752cf7b8f813c7187a636bc069c5d6f346ab0cc35ccae94931bdb9059f48f","9f205e3136515f7b3ccb77c93c7238adefb24933728722c9e29b0a0d6b6fcd47","13933f09ce4b0d3a0dc80937a24466faed6d3870661471ec7c307af7e78a40c5","Left","NORMAL_RESOURCE_APPROACH","RMAP13_NORMAL_DeepStarYeast_OUT","PlannedSpace"
"a98881f4240397805efa4bd7a49fec0d564a271544864f5fdd66657aed45cdff","9f205e3136515f7b3ccb77c93c7238adefb24933728722c9e29b0a0d6b6fcd47","25106024ba2b119900ae0ddd27b4ed5900cd904288ad09482650f35774c4eb1c","Down","NORMAL_FORGE_APPROACH","RMAP13_NORMAL_FORGE_OUT","PlannedSpace"
"b7862f4e818afdb3c6c2b8d27942bbf40c3a9aa2cfa146360ab9ab3fe2e29b0b","9f205e3136515f7b3ccb77c93c7238adefb24933728722c9e29b0a0d6b6fcd47","4d2f3947cda6d83ffe46e375d247485ed93f8716ccee3e585ff055ea8ce50707","Up","NORMAL_RESOURCE_APPROACH","RMAP13_NORMAL_CondensedCoefficientSap_OUT","PlannedSpace"
"be0aa26aa7cc3b03c3fcd8635bf07caf7940fd71048ae99a89807ebb540d3f29","13933f09ce4b0d3a0dc80937a24466faed6d3870661471ec7c307af7e78a40c5","9f205e3136515f7b3ccb77c93c7238adefb24933728722c9e29b0a0d6b6fcd47","Right","NORMAL_RESOURCE_RETURN","RMAP13_NORMAL_DeepStarYeast_RETURN","PlannedSpace"
"ef697c4ee3305ae0c712f7490210ff36d0d6686c7a3da939c5ef750c9953ef78","13933f09ce4b0d3a0dc80937a24466faed6d3870661471ec7c307af7e78a40c5","25106024ba2b119900ae0ddd27b4ed5900cd904288ad09482650f35774c4eb1c","Down","REQUIRED_RESOURCE_RETURN_SHORTCUT","RMAP13_SHORTCUT_DeepStarYeast","PlannedSpace"
"fec566f68036a383c202d5789b32adf6291c3329d4ef7c871c4d6c22a16238b2","9f205e3136515f7b3ccb77c93c7238adefb24933728722c9e29b0a0d6b6fcd47","074b9996b4a439df4de40e48099d1df36afbea6dc71dfd35dbd88b2d72278db2","Right","NORMAL_RESOURCE_APPROACH","RMAP13_NORMAL_MooncoreOre_OUT","PlannedSpace"
