reservation_id,node_id,anchor_stable_id,entry_direction,release_condition,status
"0387b86c1f27bda8f6b47f6d17784b3419e2492f970bb9aff7f300461296f9c8","25106024ba2b119900ae0ddd27b4ed5900cd904288ad09482650f35774c4eb1c","75e2b7d6e6f104567f0f879f22192830d64325089580afa14f307311d20718e4","Down","ALL_THREE_RESOURCES","Planned"
"0d0b7003d13c5f8fe2a14617ab353a0922d817b5c7fa429b3e900d7c882c4b84","074b9996b4a439df4de40e48099d1df36afbea6dc71dfd35dbd88b2d72278db2","21f92e2a89ba678ec1be33d79dc3108e786a701c8a3788f5709a005f69c4f5c2","Right","RESOURCE_ACCESS","Planned"
"49d54d030ae2c7f47933902b126134bb7d57424b1bd29fcbceacad8bf8e85ca2","3a940bd17917accb8b86ed854685e791096281c72956719915c96ba4eba00b22","8d52fb4c37a8d33402eb43cc182aa94c5a2fd5e52a070d4ad2e7334fd68d241d","Right","FORGE_MADE","Planned"
"4ab99123c3762069fc3f9117a1f7910ff6898ac9ca860ddddea61558cd46f73d","44a22e8a2bf4736c80a7476cdfcc927f62cfa6a507e5e5c2b962578b1291e105","99463c5fc4ce29ae6808b7b871b1386a2fd2787e804cebaaab1755967a41437d","Up","SEAL_OPEN","Planned"
"539d692bef9cc6fe5774ca6a850a23507a214d912ab5b9313c04866c8924e9a8","9f205e3136515f7b3ccb77c93c7238adefb24933728722c9e29b0a0d6b6fcd47","020550878321cab576748ee37bfb5d053cad547d48ce235ab253ec1ddba53a93","Right","WORLD_START","Planned"
"5638519cbe844ca046dfd3580387370554a86e9ef5558e48db1a143878a77c7a","074b9996b4a439df4de40e48099d1df36afbea6dc71dfd35dbd88b2d72278db2","21f92e2a89ba678ec1be33d79dc3108e786a701c8a3788f5709a005f69c4f5c2","Down","AFTER_MooncoreOre_ACQUIRED","Planned"
"71582f675d7f82054a0707c77686bcdf325edd273913a3c85312e3d2020cb944","13933f09ce4b0d3a0dc80937a24466faed6d3870661471ec7c307af7e78a40c5","5d1890de3b7f1ad426c54c5e4796a3c57ff8071387b8ec3644adf4db58be78c7","Down","AFTER_DeepStarYeast_ACQUIRED","Planned"
"8aadf6bfe48314ec1f78b18a5185985f7e0783e8c8eeff7eeb20967b991ad2f9","27c240714909ea80879f433650a042eb740f8b586e9b43a6376e2a188dba3c67","b56ae4d0a1d5111e854924b3a2a41224c514fe358152231f4b65fc4d4ecce907","Right","BOSS_COMPLETE","Planned"
"afae4c40f2a4d3c35fce14a71d44e72729371d57e619cac56a2c88ed585ff9b0","4d2f3947cda6d83ffe46e375d247485ed93f8716ccee3e585ff055ea8ce50707","53aafc55be0cbbc3626244afc103ca67c6644d9da651b04d5e62cb32b96ff457","Down","AFTER_CondensedCoefficientSap_ACQUIRED","Planned"
"c2cd1e9e33dd995db774c00ee05d2c505068503c0430e892ef6f6397631cd7ab","13933f09ce4b0d3a0dc80937a24466faed6d3870661471ec7c307af7e78a40c5","5d1890de3b7f1ad426c54c5e4796a3c57ff8071387b8ec3644adf4db58be78c7","Left","RESOURCE_ACCESS","Planned"
"ebac4535a785a5e09938393e2741ea3c2e803cee4318e9b4ff09b47789e53cdb","4d2f3947cda6d83ffe46e375d247485ed93f8716ccee3e585ff055ea8ce50707","53aafc55be0cbbc3626244afc103ca67c6644d9da651b04d5e62cb32b96ff457","Up","RESOURCE_ACCESS","Planned"
