x,y,pattern_x,pattern_y,is_open,main_route,branch_route,start,exit
0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
1,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
2,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
3,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
4,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE
5,0,1,0,TRUE,FALSE,FALSE,FALSE,FALSE
6,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE
7,0,1,0,TRUE,FALSE,FALSE,FALSE,FALSE
8,0,2,0,FALSE,FALSE,FALSE,FALSE,FALSE
9,0,2,0,FALSE,FALSE,FALSE,FALSE,FALSE
10,0,2,0,FALSE,FALSE,FALSE,FALSE,FALSE
11,0,2,0,FALSE,FALSE,FALSE,FALSE,FALSE
12,0,3,0,TRUE,FALSE,FALSE,FALSE,FALSE
13,0,3,0,TRUE,FALSE,FALSE,FALSE,FALSE
14,0,3,0,TRUE,FALSE,FALSE,FALSE,FALSE
15,0,3,0,TRUE,FALSE,FALSE,FALSE,FALSE
16,0,4,0,TRUE,FALSE,FALSE,FALSE,FALSE
17,0,4,0,TRUE,FALSE,FALSE,FALSE,FALSE
18,0,4,0,TRUE,FALSE,FALSE,FALSE,FALSE
19,0,4,0,TRUE,FALSE,FALSE,FALSE,FALSE
20,0,5,0,TRUE,FALSE,FALSE,FALSE,FALSE
21,0,5,0,TRUE,FALSE,FALSE,FALSE,FALSE
22,0,5,0,TRUE,FALSE,FALSE,FALSE,FALSE
23,0,5,0,TRUE,FALSE,FALSE,FALSE,FALSE
24,0,6,0,TRUE,FALSE,FALSE,FALSE,FALSE
25,0,6,0,TRUE,FALSE,FALSE,FALSE,FALSE
26,0,6,0,TRUE,FALSE,FALSE,FALSE,FALSE
27,0,6,0,TRUE,FALSE,FALSE,FALSE,FALSE
28,0,7,0,TRUE,FALSE,FALSE,FALSE,FALSE
29,0,7,0,TRUE,FALSE,FALSE,FALSE,FALSE
30,0,7,0,TRUE,FALSE,FALSE,FALSE,FALSE
31,0,7,0,TRUE,FALSE,FALSE,FALSE,FALSE
32,0,8,0,TRUE,FALSE,FALSE,FALSE,FALSE
33,0,8,0,FALSE,FALSE,FALSE,FALSE,FALSE
34,0,8,0,TRUE,FALSE,FALSE,FALSE,FALSE
35,0,8,0,TRUE,FALSE,FALSE,FALSE,FALSE
36,0,9,0,FALSE,FALSE,FALSE,FALSE,FALSE
37,0,9,0,FALSE,FALSE,FALSE,FALSE,FALSE
38,0,9,0,FALSE,FALSE,FALSE,FALSE,FALSE
39,0,9,0,FALSE,FALSE,FALSE,FALSE,FALSE
40,0,10,0,TRUE,FALSE,FALSE,FALSE,FALSE
41,0,10,0,TRUE,FALSE,FALSE,FALSE,FALSE
42,0,10,0,TRUE,FALSE,FALSE,FALSE,FALSE
43,0,10,0,TRUE,FALSE,FALSE,FALSE,FALSE
44,0,11,0,TRUE,FALSE,FALSE,FALSE,FALSE
45,0,11,0,TRUE,FALSE,FALSE,FALSE,FALSE
46,0,11,0,TRUE,FALSE,FALSE,FALSE,FALSE
47,0,11,0,TRUE,FALSE,FALSE,FALSE,FALSE
48,0,12,0,FALSE,FALSE,FALSE,FALSE,FALSE
49,0,12,0,TRUE,FALSE,FALSE,FALSE,FALSE
