sidepath_id,check,status,states,orders,bypass_count,plan_digest
SV5_SIDE_01d2925e85f830d81c0b,ACTUAL_AIR_CENTERLINE,PASS,9,6,0,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,FINAL_TOPOLOGY_AND_PRODUCT,PASS,9,6,0,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_054242777468e05e69f1,ACTUAL_AIR_CENTERLINE,PASS,9,6,0,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_054242777468e05e69f1,FINAL_TOPOLOGY_AND_PRODUCT,PASS,9,6,0,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_07772d0888b7fc3a77c0,ACTUAL_AIR_CENTERLINE,PASS,9,6,0,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_07772d0888b7fc3a77c0,FINAL_TOPOLOGY_AND_PRODUCT,PASS,9,6,0,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_1495e09068e8c426e9e6,ACTUAL_AIR_CENTERLINE,PASS,9,6,0,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_1495e09068e8c426e9e6,FINAL_TOPOLOGY_AND_PRODUCT,PASS,9,6,0,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_18c3a1a9d94f6a42f627,ACTUAL_AIR_CENTERLINE,PASS,9,6,0,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_18c3a1a9d94f6a42f627,FINAL_TOPOLOGY_AND_PRODUCT,PASS,9,6,0,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_225676b17c6342912b56,ACTUAL_AIR_CENTERLINE,PASS,9,6,0,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_225676b17c6342912b56,FINAL_TOPOLOGY_AND_PRODUCT,PASS,9,6,0,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_31a75146ffcc4dc21d78,ACTUAL_AIR_CENTERLINE,PASS,9,6,0,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_31a75146ffcc4dc21d78,FINAL_TOPOLOGY_AND_PRODUCT,PASS,9,6,0,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_37496acd145494f3b8f1,ACTUAL_AIR_CENTERLINE,PASS,9,6,0,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_37496acd145494f3b8f1,FINAL_TOPOLOGY_AND_PRODUCT,PASS,9,6,0,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_45703ee74904f9be8856,ACTUAL_AIR_CENTERLINE,PASS,9,6,0,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_45703ee74904f9be8856,FINAL_TOPOLOGY_AND_PRODUCT,PASS,9,6,0,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_8e9a6d2b73e2ee7f49a3,ACTUAL_AIR_CENTERLINE,PASS,9,6,0,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_8e9a6d2b73e2ee7f49a3,FINAL_TOPOLOGY_AND_PRODUCT,PASS,9,6,0,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_eee44b73dfd14ce12548,ACTUAL_AIR_CENTERLINE,PASS,9,6,0,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_eee44b73dfd14ce12548,FINAL_TOPOLOGY_AND_PRODUCT,PASS,9,6,0,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_f194fe84c21dfea14cfd,ACTUAL_AIR_CENTERLINE,PASS,9,6,0,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_f194fe84c21dfea14cfd,FINAL_TOPOLOGY_AND_PRODUCT,PASS,9,6,0,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
