PrimaryRole,CandidateId,PoolIndex,InitialPool,BaseCells16,SourceId,SourceMaskReference,Transform,RuleId,SelectionReason,BorderSafe,TagConflicts,ContextRequired,ImagePath
"SlopeRiseRight","RMAP11_198139991F98","11","false","AASSAAASAAAAAAAA","RMAP07_COMPLEX_A","0x4EF3","R0","RMAP11_FIX25_ATLAS_2","RMAP11_FIX25_USER_AUTHORIZED_REPLACEMENT","false","","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN;JUMP_ARC_AND_PLAYER_PROFILE_CONTEXT_REQUIRED","MapDesign/MCP/GENERATED/RMAP11/FIX25/review/RMAP11_198139991F98.png"
"SlopeRiseLeft","RMAP11_A0E2205C23A0","3","false","SSAASAAAAAAAAAAA","RMAP07_COMPLEX_A","0x4EF3","R0","RMAP11_FIX25_ATLAS_19","RMAP11_FIX25_USER_AUTHORIZED_REPLACEMENT","false","","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN;JUMP_ARC_AND_PLAYER_PROFILE_CONTEXT_REQUIRED","MapDesign/MCP/GENERATED/RMAP11/FIX25/review/RMAP11_A0E2205C23A0.png"
"CeilingFlat","RMAP11_F15B7B43C59E","94","false","SSSSSAAAAAAASSSS","VIS01_MP_F01F","0xF01F","R0","","RETAINED_ROLE_TARGET","false","","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN;JUMP_ARC_AND_PLAYER_PROFILE_CONTEXT_REQUIRED","MapDesign/MCP/GENERATED/RMAP11/FIX25/review/RMAP11_F15B7B43C59E.png"
"CeilingRough","RMAP11_159B7D829B2D","97","false","AAAAAAAAAAAASASA","VIS01_MP_5000","0x5000","R0","","RETAINED_ROLE_TARGET","false","","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN","MapDesign/MCP/GENERATED/RMAP11/FIX25/review/RMAP11_159B7D829B2D.png"
"WallLeft","RMAP11_D67D1E35818D","142","false","SAAASSAASAAASAAS","VIS01_MP_9131","0x9131","R0","","RETAINED_ROLE_TARGET","false","","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN;JUMP_ARC_AND_PLAYER_PROFILE_CONTEXT_REQUIRED","MapDesign/MCP/GENERATED/RMAP11/FIX25/review/RMAP11_D67D1E35818D.png"
"WallRight","RMAP11_90C4B04EB88D","160","false","SAASAAASASSSAASS","VIS01_MP_CE89","0xCE89","R0","","RETAINED_ROLE_TARGET","false","","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN;JUMP_ARC_AND_PLAYER_PROFILE_CONTEXT_REQUIRED","MapDesign/MCP/GENERATED/RMAP11/FIX25/review/RMAP11_90C4B04EB88D.png"
"VoidClear","RMAP07_991204FBA2B6","39","true","AAAAAAAAAAAAAAAA","RMAP07_VOID;VIS01_MP_0000",";0x0000","R0","","RETAINED_RMAP07_FIRST_POOL","true","","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED","MapDesign/MCP/GENERATED/RMAP11/FIX25/review/RMAP07_991204FBA2B6.png"
"SparseAirPlatform","RMAP07_320A7626ED6B","13","true","AAAAAOAAAAOAAAAA","RMAP07_ONEWAY_B","0x0000","R0","","RETAINED_RMAP07_FIRST_POOL","true","","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN;JUMP_ARC_AND_PLAYER_PROFILE_CONTEXT_REQUIRED","MapDesign/MCP/GENERATED/RMAP11/FIX25/review/RMAP07_320A7626ED6B.png"
"StandableLedge","RMAP11_97D1F3B0115D","222","false","AAAAASAAAASAAAAA","VIS01_MP_0420","0x0420","R0","","RETAINED_ROLE_TARGET","true","","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN;JUMP_ARC_AND_PLAYER_PROFILE_CONTEXT_REQUIRED","MapDesign/MCP/GENERATED/RMAP11/FIX25/review/RMAP11_97D1F3B0115D.png"
"VerticalPassage","RMAP07_D1CC491A6240","47","true","SAASSAASSAASSAAS","RMAP07_VERTICAL","0x9999","R0","","RETAINED_RMAP07_FIRST_POOL","false","","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN","MapDesign/MCP/GENERATED/RMAP11/FIX25/review/RMAP07_D1CC491A6240.png"
