SourceId,SourceMaskReference,OriginalReference,Transform,FinalCandidateId,Decision
"RMAP07_CEILING_FLAT","0xF000","RMAP07_AUTHORED_TYPED_V1","R0","RMAP07_56FB16683040","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_CEILING_FLAT","0xF000","RMAP07_AUTHORED_TYPED_V1","MirrorX","RMAP07_56FB16683040","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_CEILING_FLAT","0xF000","RMAP07_AUTHORED_TYPED_V1","MirrorY","RMAP07_6F5D1DF424AA","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_CEILING_FLAT","0xF000","RMAP07_AUTHORED_TYPED_V1","R180","RMAP07_6F5D1DF424AA","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_CEILING_ROUGH","0xDB00","RMAP07_AUTHORED_TYPED_V1","R0","RMAP07_54B83B76755C","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_CEILING_ROUGH","0xDB00","RMAP07_AUTHORED_TYPED_V1","MirrorX","RMAP07_14DD38B63C1F","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_CEILING_ROUGH","0xDB00","RMAP07_AUTHORED_TYPED_V1","R180","RMAP07_1B1A84B2AB74","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_COMPLEX_A","0x4EF3","RMAP07_AUTHORED_TYPED_V1","R0","RMAP07_B37CA5628B6C","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_COMPLEX_A","0x4EF3","RMAP07_AUTHORED_TYPED_V1","R0","RMAP11_198139991F98","REPLACED_IN_RMAP11_FINAL_CONSUMER_BY_FIX25_ATLAS_2"
"RMAP07_COMPLEX_A","0x4EF3","RMAP07_AUTHORED_TYPED_V1","R0","RMAP11_A0E2205C23A0","REPLACED_IN_RMAP11_FINAL_CONSUMER_BY_FIX25_ATLAS_19"
"RMAP07_COMPLEX_A","0x4EF3","RMAP07_AUTHORED_TYPED_V1","MirrorX","RMAP07_47E93B2F5E41","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_COMPLEX_A","0x4EF3","RMAP07_AUTHORED_TYPED_V1","MirrorY","RMAP07_2CFD0D58C833","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_COMPLEX_A","0x4EF3","RMAP07_AUTHORED_TYPED_V1","R180","RMAP07_16A6ECEF6D87","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_LEDGE_A","0x0037","RMAP07_AUTHORED_TYPED_V1","R0","RMAP07_2F23C3C10EA1","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_LEDGE_A","0x0037","RMAP07_AUTHORED_TYPED_V1","MirrorY","RMAP07_42843FC69DA9","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_LEDGE_B","0x00EF","RMAP07_AUTHORED_TYPED_V1","R0","RMAP07_244CEA1EB638","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_LEDGE_B","0x00EF","RMAP07_AUTHORED_TYPED_V1","MirrorX","RMAP07_87129E67AB3F","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_LEDGE_B","0x00EF","RMAP07_AUTHORED_TYPED_V1","MirrorY","RMAP07_4CDE75B5AA5B","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_LEDGE_B","0x00EF","RMAP07_AUTHORED_TYPED_V1","R180","RMAP07_7B01ADE7ECF7","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_LEDGE_CONFLICT","0x0037","RMAP07_AUTHORED_TYPED_V1","R0","RMAP07_2F23C3C10EA1","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_LEDGE_CONFLICT","0x0037","RMAP07_AUTHORED_TYPED_V1","MirrorY","RMAP07_42843FC69DA9","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_ONEWAY_A","0x0000","RMAP07_AUTHORED_TYPED_V1","R0","RMAP07_348D65F87C81","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_ONEWAY_A","0x0000","RMAP07_AUTHORED_TYPED_V1","MirrorX","RMAP07_348D65F87C81","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_ONEWAY_A","0x0000","RMAP07_AUTHORED_TYPED_V1","MirrorY","RMAP07_7566868B5E69","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_ONEWAY_A","0x0000","RMAP07_AUTHORED_TYPED_V1","R180","RMAP07_7566868B5E69","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_ONEWAY_B","0x0000","RMAP07_AUTHORED_TYPED_V1","R0","RMAP07_3B5442059382","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_ONEWAY_B","0x0000","RMAP07_AUTHORED_TYPED_V1","MirrorX","RMAP07_320A7626ED6B","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_ONEWAY_B","0x0000","RMAP07_AUTHORED_TYPED_V1","MirrorY","RMAP07_320A7626ED6B","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_ONEWAY_B","0x0000","RMAP07_AUTHORED_TYPED_V1","R180","RMAP07_3B5442059382","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_SLOPE_A","0x8EFC","RMAP07_AUTHORED_TYPED_V1","R0","RMAP07_95DB020014CC","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_SLOPE_A","0x8EFC","RMAP07_AUTHORED_TYPED_V1","MirrorX","RMAP07_4DD6D5BB9D7D","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_SLOPE_A","0x8EFC","RMAP07_AUTHORED_TYPED_V1","MirrorY","RMAP07_43484FA21CDD","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_SLOPE_A","0x8EFC","RMAP07_AUTHORED_TYPED_V1","R180","RMAP07_636CA9B9F841","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_SLOPE_B","0xC8F7","RMAP07_AUTHORED_TYPED_V1","R0","RMAP07_258AFD068C9F","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_SLOPE_B","0xC8F7","RMAP07_AUTHORED_TYPED_V1","MirrorX","RMAP07_79BE181EF233","RETAINED_RMAP07_FIRST_POOL"
