cluster_id,spine_variant_id,high_route_id,benefit_id
TC_CRATER_BOWL_ASCENT,SPINE_CRATER_BOWL_ASCENT_ALT,HIGH_CRATER_BOWL_ASCENT,BENEFIT_CRATER_BOWL_ASCENT_FLOW
TC_CRATER_BOWL_ASCENT,SPINE_CRATER_BOWL_ASCENT_ALT,HIGH_CRATER_BOWL_ASCENT,BENEFIT_CRATER_BOWL_ASCENT_VIEW
TC_CRATER_BROKEN_SLOPE,SPINE_CRATER_BROKEN_SLOPE_ALT,HIGH_CRATER_BROKEN_SLOPE,BENEFIT_CRATER_BROKEN_SLOPE_FLOW
TC_CRATER_BROKEN_SLOPE,SPINE_CRATER_BROKEN_SLOPE_ALT,HIGH_CRATER_BROKEN_SLOPE,BENEFIT_CRATER_BROKEN_SLOPE_VIEW
TC_CRATER_QUIET_RIM,SPINE_CRATER_QUIET_RIM_ALT,HIGH_CRATER_QUIET_RIM,BENEFIT_CRATER_QUIET_RIM_FLOW
TC_CRATER_QUIET_RIM,SPINE_CRATER_QUIET_RIM_ALT,HIGH_CRATER_QUIET_RIM,BENEFIT_CRATER_QUIET_RIM_VIEW
TC_CRATER_ROCK_SHELF_RECOVERY,SPINE_CRATER_ROCK_SHELF_RECOVERY_ALT,HIGH_CRATER_ROCK_SHELF_RECOVERY,BENEFIT_CRATER_ROCK_SHELF_RECOVERY_FLOW
TC_CRATER_ROCK_SHELF_RECOVERY,SPINE_CRATER_ROCK_SHELF_RECOVERY_ALT,HIGH_CRATER_ROCK_SHELF_RECOVERY,BENEFIT_CRATER_ROCK_SHELF_RECOVERY_VIEW
TC_DOUGH_BOUNCE_CUP,SPINE_DOUGH_BOUNCE_CUP_ALT,HIGH_DOUGH_BOUNCE_CUP,BENEFIT_DOUGH_BOUNCE_CUP_FLOW
TC_DOUGH_BOUNCE_CUP,SPINE_DOUGH_BOUNCE_CUP_ALT,HIGH_DOUGH_BOUNCE_CUP,BENEFIT_DOUGH_BOUNCE_CUP_VIEW
TC_DOUGH_QUIET_SHELF,SPINE_DOUGH_QUIET_SHELF_ALT,HIGH_DOUGH_QUIET_SHELF,BENEFIT_DOUGH_QUIET_SHELF_FLOW
TC_DOUGH_QUIET_SHELF,SPINE_DOUGH_QUIET_SHELF_ALT,HIGH_DOUGH_QUIET_SHELF,BENEFIT_DOUGH_QUIET_SHELF_VIEW
TC_DOUGH_SOFT_POCKET,SPINE_DOUGH_SOFT_POCKET_ALT,HIGH_DOUGH_SOFT_POCKET,BENEFIT_DOUGH_SOFT_POCKET_FLOW
TC_DOUGH_SOFT_POCKET,SPINE_DOUGH_SOFT_POCKET_ALT,HIGH_DOUGH_SOFT_POCKET,BENEFIT_DOUGH_SOFT_POCKET_VIEW
TC_DOUGH_STICKY_RISE_RECOVERY,SPINE_DOUGH_STICKY_RISE_RECOVERY_ALT,HIGH_DOUGH_STICKY_RISE_RECOVERY,BENEFIT_DOUGH_STICKY_RISE_RECOVERY_FLOW
TC_DOUGH_STICKY_RISE_RECOVERY,SPINE_DOUGH_STICKY_RISE_RECOVERY_ALT,HIGH_DOUGH_STICKY_RISE_RECOVERY,BENEFIT_DOUGH_STICKY_RISE_RECOVERY_VIEW
TC_MILL_BEAM_OVERHANG,SPINE_MILL_BEAM_OVERHANG_ALT,HIGH_MILL_BEAM_OVERHANG,BENEFIT_MILL_BEAM_OVERHANG_FLOW
TC_MILL_BEAM_OVERHANG,SPINE_MILL_BEAM_OVERHANG_ALT,HIGH_MILL_BEAM_OVERHANG,BENEFIT_MILL_BEAM_OVERHANG_VIEW
TC_MILL_BROKEN_PILLAR,SPINE_MILL_BROKEN_PILLAR_ALT,HIGH_MILL_BROKEN_PILLAR,BENEFIT_MILL_BROKEN_PILLAR_FLOW
TC_MILL_BROKEN_PILLAR,SPINE_MILL_BROKEN_PILLAR_ALT,HIGH_MILL_BROKEN_PILLAR,BENEFIT_MILL_BROKEN_PILLAR_VIEW
TC_MILL_ORTHOGONAL_SHAFT_RECOVERY,SPINE_MILL_ORTHOGONAL_SHAFT_RECOVERY_ALT,HIGH_MILL_ORTHOGONAL_SHAFT_RECOVERY,BENEFIT_MILL_ORTHOGONAL_SHAFT_RECOVERY_FLOW
TC_MILL_ORTHOGONAL_SHAFT_RECOVERY,SPINE_MILL_ORTHOGONAL_SHAFT_RECOVERY_ALT,HIGH_MILL_ORTHOGONAL_SHAFT_RECOVERY,BENEFIT_MILL_ORTHOGONAL_SHAFT_RECOVERY_VIEW
TC_MILL_QUIET_BEAM,SPINE_MILL_QUIET_BEAM_ALT,HIGH_MILL_QUIET_BEAM,BENEFIT_MILL_QUIET_BEAM_FLOW
TC_MILL_QUIET_BEAM,SPINE_MILL_QUIET_BEAM_ALT,HIGH_MILL_QUIET_BEAM,BENEFIT_MILL_QUIET_BEAM_VIEW
TC_ROOT_FORKED_CANOPY_RECOVERY,SPINE_ROOT_FORKED_CANOPY_RECOVERY_ALT,HIGH_ROOT_FORKED_CANOPY_RECOVERY,BENEFIT_ROOT_FORKED_CANOPY_RECOVERY_FLOW
TC_ROOT_FORKED_CANOPY_RECOVERY,SPINE_ROOT_FORKED_CANOPY_RECOVERY_ALT,HIGH_ROOT_FORKED_CANOPY_RECOVERY,BENEFIT_ROOT_FORKED_CANOPY_RECOVERY_VIEW
