cluster_id,spine_variant_id,high_route_id,edge_order,edge_id
TC_CRATER_BOWL_ASCENT,SPINE_CRATER_BOWL_ASCENT_ALT,HIGH_CRATER_BOWL_ASCENT,0,EDGE_CRATER_BOWL_ASCENT_ALT_HIGH_00
TC_CRATER_BOWL_ASCENT,SPINE_CRATER_BOWL_ASCENT_ALT,HIGH_CRATER_BOWL_ASCENT,1,EDGE_CRATER_BOWL_ASCENT_ALT_HIGH_01
TC_CRATER_BROKEN_SLOPE,SPINE_CRATER_BROKEN_SLOPE_ALT,HIGH_CRATER_BROKEN_SLOPE,0,EDGE_CRATER_BROKEN_SLOPE_ALT_HIGH_00
TC_CRATER_BROKEN_SLOPE,SPINE_CRATER_BROKEN_SLOPE_ALT,HIGH_CRATER_BROKEN_SLOPE,1,EDGE_CRATER_BROKEN_SLOPE_ALT_HIGH_01
TC_CRATER_QUIET_RIM,SPINE_CRATER_QUIET_RIM_ALT,HIGH_CRATER_QUIET_RIM,0,EDGE_CRATER_QUIET_RIM_ALT_HIGH_00
TC_CRATER_QUIET_RIM,SPINE_CRATER_QUIET_RIM_ALT,HIGH_CRATER_QUIET_RIM,1,EDGE_CRATER_QUIET_RIM_ALT_HIGH_01
TC_CRATER_ROCK_SHELF_RECOVERY,SPINE_CRATER_ROCK_SHELF_RECOVERY_ALT,HIGH_CRATER_ROCK_SHELF_RECOVERY,0,EDGE_CRATER_ROCK_SHELF_RECOVERY_ALT_HIGH_00
TC_CRATER_ROCK_SHELF_RECOVERY,SPINE_CRATER_ROCK_SHELF_RECOVERY_ALT,HIGH_CRATER_ROCK_SHELF_RECOVERY,1,EDGE_CRATER_ROCK_SHELF_RECOVERY_ALT_HIGH_01
TC_DOUGH_BOUNCE_CUP,SPINE_DOUGH_BOUNCE_CUP_ALT,HIGH_DOUGH_BOUNCE_CUP,0,EDGE_DOUGH_BOUNCE_CUP_ALT_HIGH_00
TC_DOUGH_BOUNCE_CUP,SPINE_DOUGH_BOUNCE_CUP_ALT,HIGH_DOUGH_BOUNCE_CUP,1,EDGE_DOUGH_BOUNCE_CUP_ALT_HIGH_01
