cluster_id,spine_variant_id,edge_id,from_node_id,to_node_id,movement,start_x,start_y,end_x,end_y,mandatory,graph_kind,clearance_width,clearance_height,landing_width,landing_x,landing_y,recovery_width,recovery_x,recovery_y,estimated_duration_ms,timing_ruleset_id
TC_CRATER_BOWL_ASCENT,SPINE_CRATER_BOWL_ASCENT_ALT,EDGE_CRATER_BOWL_ASCENT_ALT_HIGH_00,NODE_CRATER_BOWL_ASCENT_ALT_BUILD_UP,NODE_CRATER_BOWL_ASCENT_ALT_HIGH,WALK,4,1,8,3,0,TRAVERSAL,1,2,1,8,3,1,8,3,3000,RULESET_ROUTE_V1
TC_CRATER_BOWL_ASCENT,SPINE_CRATER_BOWL_ASCENT_ALT,EDGE_CRATER_BOWL_ASCENT_ALT_HIGH_01,NODE_CRATER_BOWL_ASCENT_ALT_HIGH,NODE_CRATER_BOWL_ASCENT_ALT_CORE,WALK,8,3,14,1,0,TRAVERSAL,1,2,1,14,1,1,14,1,3000,RULESET_ROUTE_V1
TC_CRATER_BOWL_ASCENT,SPINE_CRATER_BOWL_ASCENT_ALT,EDGE_CRATER_BOWL_ASCENT_ALT_PATH_00,NODE_CRATER_BOWL_ASCENT_ALT_ENTRY,NODE_CRATER_BOWL_ASCENT_ALT_BUILD_UP,WALK,0,1,4,1,1,TRAVERSAL,1,2,1,4,1,1,4,1,3000,RULESET_ROUTE_V1
TC_CRATER_BOWL_ASCENT,SPINE_CRATER_BOWL_ASCENT_ALT,EDGE_CRATER_BOWL_ASCENT_ALT_PATH_01,NODE_CRATER_BOWL_ASCENT_ALT_BUILD_UP,NODE_CRATER_BOWL_ASCENT_ALT_CORE,WALK,4,1,14,1,1,TRAVERSAL,1,2,1,14,1,1,14,1,3000,RULESET_ROUTE_V1
TC_CRATER_BOWL_ASCENT,SPINE_CRATER_BOWL_ASCENT_ALT,EDGE_CRATER_BOWL_ASCENT_ALT_PATH_02,NODE_CRATER_BOWL_ASCENT_ALT_CORE,NODE_CRATER_BOWL_ASCENT_ALT_RECOVERY,WALK,14,1,30,1,1,TRAVERSAL,1,2,1,30,1,1,30,1,3000,RULESET_ROUTE_V1
TC_CRATER_BOWL_ASCENT,SPINE_CRATER_BOWL_ASCENT_ALT,EDGE_CRATER_BOWL_ASCENT_ALT_PATH_03,NODE_CRATER_BOWL_ASCENT_ALT_RECOVERY,NODE_CRATER_BOWL_ASCENT_ALT_EXIT,WALK,30,1,34,7,1,TRAVERSAL,1,2,1,34,7,1,34,7,3000,RULESET_ROUTE_V1
TC_CRATER_BOWL_ASCENT,SPINE_CRATER_BOWL_ASCENT_ALT,EDGE_CRATER_BOWL_ASCENT_ALT_RECOVER,NODE_CRATER_BOWL_ASCENT_ALT_HIGH,NODE_CRATER_BOWL_ASCENT_ALT_RECOVERY,WALK,8,3,30,1,0,TRAVERSAL,1,2,1,30,1,1,30,1,2500,RULESET_ROUTE_V1
TC_CRATER_BOWL_ASCENT,SPINE_CRATER_BOWL_ASCENT_BASE,EDGE_CRATER_BOWL_ASCENT_BASE_PATH_00,NODE_CRATER_BOWL_ASCENT_BASE_ENTRY,NODE_CRATER_BOWL_ASCENT_BASE_BUILD_UP,WALK,0,1,4,1,1,TRAVERSAL,1,2,1,4,1,1,4,1,3000,RULESET_ROUTE_V1
TC_CRATER_BOWL_ASCENT,SPINE_CRATER_BOWL_ASCENT_BASE,EDGE_CRATER_BOWL_ASCENT_BASE_PATH_01,NODE_CRATER_BOWL_ASCENT_BASE_BUILD_UP,NODE_CRATER_BOWL_ASCENT_BASE_CORE,WALK,4,1,14,1,1,TRAVERSAL,1,2,1,14,1,1,14,1,3000,RULESET_ROUTE_V1
TC_CRATER_BOWL_ASCENT,SPINE_CRATER_BOWL_ASCENT_BASE,EDGE_CRATER_BOWL_ASCENT_BASE_PATH_02,NODE_CRATER_BOWL_ASCENT_BASE_CORE,NODE_CRATER_BOWL_ASCENT_BASE_RECOVERY,WALK,14,1,30,1,1,TRAVERSAL,1,2,1,30,1,1,30,1,3000,RULESET_ROUTE_V1
