cluster_id,spine_variant_id,role_anchor_id,node_id
TC_CRATER_BOWL_ASCENT,SPINE_CRATER_BOWL_ASCENT_ALT,ROLE_CRATER_BOWL_ASCENT_BUILD_UP,NODE_CRATER_BOWL_ASCENT_ALT_BUILD_UP
TC_CRATER_BOWL_ASCENT,SPINE_CRATER_BOWL_ASCENT_ALT,ROLE_CRATER_BOWL_ASCENT_CORE,NODE_CRATER_BOWL_ASCENT_ALT_CORE
TC_CRATER_BOWL_ASCENT,SPINE_CRATER_BOWL_ASCENT_ALT,ROLE_CRATER_BOWL_ASCENT_ENTRY,NODE_CRATER_BOWL_ASCENT_ALT_ENTRY
TC_CRATER_BOWL_ASCENT,SPINE_CRATER_BOWL_ASCENT_ALT,ROLE_CRATER_BOWL_ASCENT_EXIT,NODE_CRATER_BOWL_ASCENT_ALT_EXIT
TC_CRATER_BOWL_ASCENT,SPINE_CRATER_BOWL_ASCENT_ALT,ROLE_CRATER_BOWL_ASCENT_RECOVERY,NODE_CRATER_BOWL_ASCENT_ALT_RECOVERY
TC_CRATER_BOWL_ASCENT,SPINE_CRATER_BOWL_ASCENT_ALT,ROLE_CRATER_BOWL_ASCENT_REWARD,NODE_CRATER_BOWL_ASCENT_ALT_REWARD
TC_CRATER_BOWL_ASCENT,SPINE_CRATER_BOWL_ASCENT_BASE,ROLE_CRATER_BOWL_ASCENT_BUILD_UP,NODE_CRATER_BOWL_ASCENT_BASE_BUILD_UP
TC_CRATER_BOWL_ASCENT,SPINE_CRATER_BOWL_ASCENT_BASE,ROLE_CRATER_BOWL_ASCENT_CORE,NODE_CRATER_BOWL_ASCENT_BASE_CORE
TC_CRATER_BOWL_ASCENT,SPINE_CRATER_BOWL_ASCENT_BASE,ROLE_CRATER_BOWL_ASCENT_ENTRY,NODE_CRATER_BOWL_ASCENT_BASE_ENTRY
TC_CRATER_BOWL_ASCENT,SPINE_CRATER_BOWL_ASCENT_BASE,ROLE_CRATER_BOWL_ASCENT_EXIT,NODE_CRATER_BOWL_ASCENT_BASE_EXIT
TC_CRATER_BOWL_ASCENT,SPINE_CRATER_BOWL_ASCENT_BASE,ROLE_CRATER_BOWL_ASCENT_RECOVERY,NODE_CRATER_BOWL_ASCENT_BASE_RECOVERY
TC_CRATER_BOWL_ASCENT,SPINE_CRATER_BOWL_ASCENT_BASE,ROLE_CRATER_BOWL_ASCENT_REWARD,NODE_CRATER_BOWL_ASCENT_BASE_REWARD
TC_CRATER_BROKEN_SLOPE,SPINE_CRATER_BROKEN_SLOPE_ALT,ROLE_CRATER_BROKEN_SLOPE_BUILD_UP,NODE_CRATER_BROKEN_SLOPE_ALT_BUILD_UP
