cluster_id,chunk_x,chunk_y,cell_role,port_id,access_class,source_microchunk_id,source_boundary_chunk_id
TC_CRATER_BOWL_ASCENT,0,0,,,,,
TC_CRATER_BOWL_ASCENT,1,0,,,,,
TC_CRATER_BOWL_ASCENT,2,0,,,,,
TC_CRATER_BROKEN_SLOPE,0,0,,,,,
TC_CRATER_BROKEN_SLOPE,1,0,,,,,
TC_CRATER_BROKEN_SLOPE,2,0,,,,,
TC_CRATER_BROKEN_SLOPE,3,0,,,,,
TC_CRATER_QUIET_RIM,0,0,,,,,
TC_CRATER_QUIET_RIM,1,0,,,,,
TC_CRATER_ROCK_SHELF_RECOVERY,0,0,,,,,
TC_CRATER_ROCK_SHELF_RECOVERY,1,0,,,,,
TC_CRATER_ROCK_SHELF_RECOVERY,2,0,,,,,
TC_CRATER_ROCK_SHELF_RECOVERY,3,0,,,,,
TC_CRATER_ROCK_SHELF_RECOVERY,4,0,,,,,
TC_DOUGH_BOUNCE_CUP,0,0,,,,,
TC_DOUGH_BOUNCE_CUP,1,0,,,,,
TC_DOUGH_BOUNCE_CUP,2,0,,,,,
TC_DOUGH_QUIET_SHELF,0,0,,,,,
TC_DOUGH_QUIET_SHELF,1,0,,,,,
TC_DOUGH_SOFT_POCKET,0,0,,,,,
TC_DOUGH_SOFT_POCKET,1,0,,,,,
TC_DOUGH_SOFT_POCKET,2,0,,,,,
TC_DOUGH_SOFT_POCKET,3,0,,,,,
TC_DOUGH_STICKY_RISE_RECOVERY,0,0,,,,,
TC_DOUGH_STICKY_RISE_RECOVERY,1,0,,,,,
TC_DOUGH_STICKY_RISE_RECOVERY,2,0,,,,,
TC_DOUGH_STICKY_RISE_RECOVERY,3,0,,,,,
TC_DOUGH_STICKY_RISE_RECOVERY,4,0,,,,,
TC_MILL_BEAM_OVERHANG,0,0,,,,,
TC_MILL_BEAM_OVERHANG,1,0,,,,,
TC_MILL_BEAM_OVERHANG,2,0,,,,,
TC_MILL_BROKEN_PILLAR,0,0,,,,,
TC_MILL_BROKEN_PILLAR,1,0,,,,,
TC_MILL_BROKEN_PILLAR,2,0,,,,,
TC_MILL_BROKEN_PILLAR,3,0,,,,,
TC_MILL_ORTHOGONAL_SHAFT_RECOVERY,0,0,,,,,
TC_MILL_ORTHOGONAL_SHAFT_RECOVERY,1,0,,,,,
TC_MILL_ORTHOGONAL_SHAFT_RECOVERY,2,0,,,,,
TC_MILL_ORTHOGONAL_SHAFT_RECOVERY,3,0,,,,,
TC_MILL_ORTHOGONAL_SHAFT_RECOVERY,4,0,,,,,
TC_MILL_QUIET_BEAM,0,0,,,,,
TC_MILL_QUIET_BEAM,1,0,,,,,
TC_ROOT_FORKED_CANOPY_RECOVERY,0,0,,,,,
TC_ROOT_FORKED_CANOPY_RECOVERY,1,0,,,,,
TC_ROOT_FORKED_CANOPY_RECOVERY,2,0,,,,,
TC_ROOT_FORKED_CANOPY_RECOVERY,3,0,,,,,
TC_ROOT_FORKED_CANOPY_RECOVERY,4,0,,,,,
TC_ROOT_HOLLOW_POCKET,0,0,,,,,
TC_ROOT_HOLLOW_POCKET,1,0,,,,,
TC_ROOT_HOLLOW_POCKET,2,0,,,,,
TC_ROOT_QUIET_ARCH,0,0,,,,,
TC_ROOT_QUIET_ARCH,1,0,,,,,
TC_ROOT_VERTICAL_TUNNEL,0,0,,,,,
TC_ROOT_VERTICAL_TUNNEL,1,0,,,,,
TC_ROOT_VERTICAL_TUNNEL,2,0,,,,,
TC_ROOT_VERTICAL_TUNNEL,3,0,,,,,
