cluster_id,port_id,port_kind,is_primary,role_anchor_id,local_x,local_y,outward_side,compatible_route_types,access_class
TC_CRATER_BOWL_ASCENT,PORT_CRATER_BOWL_ASCENT_ENTRY,ENTRY,1,ROLE_CRATER_BOWL_ASCENT_ENTRY,0,1,L,0|1|2|3|4,MANDATORY_NO_TOOL
TC_CRATER_BOWL_ASCENT,PORT_CRATER_BOWL_ASCENT_EXIT,EXIT,1,ROLE_CRATER_BOWL_ASCENT_EXIT,34,7,U,0|1|2|3|4,MANDATORY_NO_TOOL
TC_CRATER_BROKEN_SLOPE,PORT_CRATER_BROKEN_SLOPE_ENTRY,ENTRY,1,ROLE_CRATER_BROKEN_SLOPE_ENTRY,1,7,U,0|1|2|3|4,MANDATORY_NO_TOOL
TC_CRATER_BROKEN_SLOPE,PORT_CRATER_BROKEN_SLOPE_EXIT,EXIT,1,ROLE_CRATER_BROKEN_SLOPE_EXIT,46,0,D,0|1|2|3|4,MANDATORY_NO_TOOL
TC_CRATER_QUIET_RIM,PORT_CRATER_QUIET_RIM_ENTRY,ENTRY,1,ROLE_CRATER_QUIET_RIM_ENTRY,0,1,L,0|1|2|3|4,MANDATORY_NO_TOOL
TC_CRATER_QUIET_RIM,PORT_CRATER_QUIET_RIM_EXIT,EXIT,1,ROLE_CRATER_QUIET_RIM_EXIT,23,1,R,0|1|2|3|4,MANDATORY_NO_TOOL
TC_CRATER_ROCK_SHELF_RECOVERY,PORT_CRATER_ROCK_SHELF_RECOVERY_ENTRY,ENTRY,1,ROLE_CRATER_ROCK_SHELF_RECOVERY_ENTRY,0,1,L,0|1|2|3|4,MANDATORY_NO_TOOL
TC_CRATER_ROCK_SHELF_RECOVERY,PORT_CRATER_ROCK_SHELF_RECOVERY_EXIT,EXIT,1,ROLE_CRATER_ROCK_SHELF_RECOVERY_EXIT,46,8,D,0|1|2|3|4,MANDATORY_NO_TOOL
TC_DOUGH_BOUNCE_CUP,PORT_DOUGH_BOUNCE_CUP_ENTRY,ENTRY,1,ROLE_DOUGH_BOUNCE_CUP_ENTRY,0,1,L,0|1|2|3|4,MANDATORY_NO_TOOL
TC_DOUGH_BOUNCE_CUP,PORT_DOUGH_BOUNCE_CUP_EXIT,EXIT,1,ROLE_DOUGH_BOUNCE_CUP_EXIT,34,7,U,0|1|2|3|4,MANDATORY_NO_TOOL
TC_DOUGH_QUIET_SHELF,PORT_DOUGH_QUIET_SHELF_ENTRY,ENTRY,1,ROLE_DOUGH_QUIET_SHELF_ENTRY,0,1,L,0|1|2|3|4,MANDATORY_NO_TOOL
TC_DOUGH_QUIET_SHELF,PORT_DOUGH_QUIET_SHELF_EXIT,EXIT,1,ROLE_DOUGH_QUIET_SHELF_EXIT,23,1,R,0|1|2|3|4,MANDATORY_NO_TOOL
TC_DOUGH_SOFT_POCKET,PORT_DOUGH_SOFT_POCKET_ENTRY,ENTRY,1,ROLE_DOUGH_SOFT_POCKET_ENTRY,1,7,U,0|1|2|3|4,MANDATORY_NO_TOOL
TC_DOUGH_SOFT_POCKET,PORT_DOUGH_SOFT_POCKET_EXIT,EXIT,1,ROLE_DOUGH_SOFT_POCKET_EXIT,46,0,D,0|1|2|3|4,MANDATORY_NO_TOOL
TC_DOUGH_STICKY_RISE_RECOVERY,PORT_DOUGH_STICKY_RISE_RECOVERY_ENTRY,ENTRY,1,ROLE_DOUGH_STICKY_RISE_RECOVERY_ENTRY,0,1,L,0|1|2|3|4,MANDATORY_NO_TOOL
TC_DOUGH_STICKY_RISE_RECOVERY,PORT_DOUGH_STICKY_RISE_RECOVERY_EXIT,EXIT,1,ROLE_DOUGH_STICKY_RISE_RECOVERY_EXIT,34,16,D,0|1|2|3|4,MANDATORY_NO_TOOL
TC_MILL_BEAM_OVERHANG,PORT_MILL_BEAM_OVERHANG_ENTRY,ENTRY,1,ROLE_MILL_BEAM_OVERHANG_ENTRY,0,1,L,0|1|2|3|4,MANDATORY_NO_TOOL
TC_MILL_BEAM_OVERHANG,PORT_MILL_BEAM_OVERHANG_EXIT,EXIT,1,ROLE_MILL_BEAM_OVERHANG_EXIT,34,7,U,0|1|2|3|4,MANDATORY_NO_TOOL
TC_MILL_BROKEN_PILLAR,PORT_MILL_BROKEN_PILLAR_ENTRY,ENTRY,1,ROLE_MILL_BROKEN_PILLAR_ENTRY,1,7,U,0|1|2|3|4,MANDATORY_NO_TOOL
TC_MILL_BROKEN_PILLAR,PORT_MILL_BROKEN_PILLAR_EXIT,EXIT,1,ROLE_MILL_BROKEN_PILLAR_EXIT,46,0,D,0|1|2|3|4,MANDATORY_NO_TOOL
TC_MILL_ORTHOGONAL_SHAFT_RECOVERY,PORT_MILL_ORTHOGONAL_SHAFT_RECOVERY_ENTRY,ENTRY,1,ROLE_MILL_ORTHOGONAL_SHAFT_RECOVERY_ENTRY,0,17,L,0|1|2|3|4,MANDATORY_NO_TOOL
TC_MILL_ORTHOGONAL_SHAFT_RECOVERY,PORT_MILL_ORTHOGONAL_SHAFT_RECOVERY_EXIT,EXIT,1,ROLE_MILL_ORTHOGONAL_SHAFT_RECOVERY_EXIT,34,0,D,0|1|2|3|4,MANDATORY_NO_TOOL
TC_MILL_QUIET_BEAM,PORT_MILL_QUIET_BEAM_ENTRY,ENTRY,1,ROLE_MILL_QUIET_BEAM_ENTRY,0,1,L,0|1|2|3|4,MANDATORY_NO_TOOL
TC_MILL_QUIET_BEAM,PORT_MILL_QUIET_BEAM_EXIT,EXIT,1,ROLE_MILL_QUIET_BEAM_EXIT,23,1,R,0|1|2|3|4,MANDATORY_NO_TOOL
TC_ROOT_FORKED_CANOPY_RECOVERY,PORT_ROOT_FORKED_CANOPY_RECOVERY_ENTRY,ENTRY,1,ROLE_ROOT_FORKED_CANOPY_RECOVERY_ENTRY,0,9,L,0|1|2|3|4,MANDATORY_NO_TOOL
TC_ROOT_FORKED_CANOPY_RECOVERY,PORT_ROOT_FORKED_CANOPY_RECOVERY_EXIT,EXIT,1,ROLE_ROOT_FORKED_CANOPY_RECOVERY_EXIT,34,8,D,0|1|2|3|4,MANDATORY_NO_TOOL
TC_ROOT_HOLLOW_POCKET,PORT_ROOT_HOLLOW_POCKET_ENTRY,ENTRY,1,ROLE_ROOT_HOLLOW_POCKET_ENTRY,0,1,L,0|1|2|3|4,MANDATORY_NO_TOOL
TC_ROOT_HOLLOW_POCKET,PORT_ROOT_HOLLOW_POCKET_EXIT,EXIT,1,ROLE_ROOT_HOLLOW_POCKET_EXIT,34,7,U,0|1|2|3|4,MANDATORY_NO_TOOL
TC_ROOT_QUIET_ARCH,PORT_ROOT_QUIET_ARCH_ENTRY,ENTRY,1,ROLE_ROOT_QUIET_ARCH_ENTRY,0,1,L,0|1|2|3|4,MANDATORY_NO_TOOL
TC_ROOT_QUIET_ARCH,PORT_ROOT_QUIET_ARCH_EXIT,EXIT,1,ROLE_ROOT_QUIET_ARCH_EXIT,23,1,R,0|1|2|3|4,MANDATORY_NO_TOOL
TC_ROOT_VERTICAL_TUNNEL,PORT_ROOT_VERTICAL_TUNNEL_ENTRY,ENTRY,1,ROLE_ROOT_VERTICAL_TUNNEL_ENTRY,1,7,U,0|1|2|3|4,MANDATORY_NO_TOOL
TC_ROOT_VERTICAL_TUNNEL,PORT_ROOT_VERTICAL_TUNNEL_EXIT,EXIT,1,ROLE_ROOT_VERTICAL_TUNNEL_EXIT,46,0,D,0|1|2|3|4,MANDATORY_NO_TOOL
