id,recipe,x,y,width,height,parent,depth,mirror
SV5_INFILL_ROOM_0004120110f44eef5c72,LANDING,96,48,16,16,SV5_INFILL_ROOM_07af10cb4acde894de2d,4,True
SV5_INFILL_ROOM_0017896242681bbba695,SMALL_CAVE,148,336,20,12,SV5_INFILL_ROOM_00e883e8005721574f5b,5,False
SV5_INFILL_ROOM_00214737a7823549ff84,SMALL_CAVE,8,292,20,12,SV5_OPTIONAL_12,1,True
SV5_INFILL_ROOM_0024793eb465e7cf43f8,DEAD_END,164,12,16,12,SV5_INFILL_ROOM_019f7dfb6c5038fd6bbb,2,True
SV5_INFILL_ROOM_002847beba22c27fafc7,LANDING,404,352,16,16,SV5_OPTIONAL_00,1,False
SV5_INFILL_ROOM_002b1fdb38d3b5d62912,SMALL_CAVE,560,20,20,12,SV5_OPTIONAL_04,1,False
SV5_INFILL_ROOM_0033f24aa202678fd527,EMPTY_ROOM,176,208,16,12,SV5_OPTIONAL_10,1,False
SV5_INFILL_ROOM_0036192e65ffed678614,EMPTY_ROOM,12,396,16,12,SV5_OPTIONAL_12,1,True
SV5_INFILL_ROOM_0038cd07afe0acfefffa,EMPTY_ROOM,548,388,16,12,SV5_INFILL_ROOM_018765724e6a988ed29c,5,False
SV5_INFILL_ROOM_003c64be23db80287d41,DEAD_END,600,20,16,12,SV5_INFILL_ROOM_002b1fdb38d3b5d62912,2,False
SV5_INFILL_ROOM_00473322334dddb23100,EMPTY_ROOM,8,328,16,12,SV5_OPTIONAL_12,1,True
SV5_INFILL_ROOM_004a21fe679a80497ef7,SMALL_CAVE,296,368,20,12,SV5_INFILL_ROOM_0315a5303806deccb68e,2,True
SV5_INFILL_ROOM_0058509cbbf5ecd5a28e,EMPTY_ROOM,604,388,16,12,SV5_INFILL_ROOM_062bdedbace97bb71fc4,7,False
SV5_INFILL_ROOM_005a04bda9ede05b1190,DEAD_END,92,128,16,12,SV5_OPTIONAL_09,1,True
SV5_INFILL_ROOM_005e769b555b56fe007d,DEAD_END,212,320,16,12,SV5_INFILL_ROOM_04411f6d27775360dabd,7,False
SV5_INFILL_ROOM_00636997b68d562b57db,SMALL_CAVE,148,100,20,12,SV5_OPTIONAL_07,1,True
SV5_INFILL_ROOM_006e09773eb20b7351b0,DEAD_END,192,108,16,12,SV5_OPTIONAL_06,1,True
SV5_INFILL_ROOM_0074c7f66d6a87c31d5f,DEAD_END,48,248,16,12,SV5_OPTIONAL_11,1,True
SV5_INFILL_ROOM_007c17890d68e31350a9,EMPTY_ROOM,112,28,16,12,SV5_INFILL_ROOM_00e46d5d0ba666a9579a,4,True
SV5_INFILL_ROOM_0081ac017846ab0e0d78,LANDING,472,68,16,16,SV5_INFILL_ROOM_0d6757c798ece8ef8ef4,3,True
SV5_INFILL_ROOM_00935d046d479aecb80d,EMPTY_ROOM,60,232,16,12,SV5_INFILL_ROOM_0a31f8299bcf4e6b93c9,4,True
SV5_INFILL_ROOM_0093b9c559d99efd34f8,EMPTY_ROOM,156,372,16,12,SV5_INFILL_ROOM_077c8203eda478d84a8a,7,True
SV5_INFILL_ROOM_0096ec3a665cb4efc92b,EMPTY_ROOM,172,188,16,12,SV5_OPTIONAL_10,1,False
SV5_INFILL_ROOM_0097a6b558d6e61e58f5,DEAD_END,356,320,16,12,SV5_OPTIONAL_RETURN_TO_START,1,True
SV5_INFILL_ROOM_009ef3f64388d61dce55,LANDING,468,384,16,16,SV5_INFILL_ROOM_0233efc146f9a48950d8,2,False
SV5_INFILL_ROOM_00a7e77543f9bf76279e,EMPTY_ROOM,40,228,16,12,SV5_INFILL_ROOM_00935d046d479aecb80d,5,True
SV5_INFILL_ROOM_00b4a4fe56b192880b8c,LANDING,568,48,16,16,SV5_OPTIONAL_04,1,False
SV5_INFILL_ROOM_00c18a953b0a68c4097f,DEAD_END,596,272,16,12,SV5_OPTIONAL_02,1,False
