route_id,sequence,from_x,from_y,to_x,to_y,state,contact_x,contact_y,connected,plan_digest
TREE_ROUTE_LEFT,1,550,242,550,244,TRUNK_CLIMB,549,244,true,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
TREE_ROUTE_LEFT,2,550,244,550,246,TRUNK_CLIMB,549,246,true,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
TREE_ROUTE_LEFT,3,550,246,547,248,TRUNK_CLIMB,548,248,true,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
TREE_ROUTE_LEFT,4,547,248,548,249,TRUNK_CLIMB,549,249,true,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
TREE_ROUTE_LEFT,5,548,249,548,250,TRUNK_CLIMB,549,250,true,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
TREE_ROUTE_LEFT,6,548,250,550,253,TRUNK_CLIMB,551,253,true,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
TREE_ROUTE_LEFT,7,550,253,553,255,TRUNK_CLIMB,552,255,true,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
TREE_ROUTE_LEFT,8,553,255,550,256,TRUNK_CLIMB,551,256,true,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
TREE_ROUTE_LEFT,9,550,256,553,258,TRUNK_CLIMB,552,258,true,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
TREE_ROUTE_LEFT,10,553,258,550,260,TRUNK_CLIMB,551,260,true,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
TREE_ROUTE_LEFT,11,550,260,553,262,TRUNK_CLIMB,552,262,true,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
TREE_ROUTE_LEFT,12,553,262,553,263,TRUNK_CLIMB,552,263,true,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
TREE_ROUTE_RIGHT,1,544,242,544,243,TRUNK_CLIMB,545,243,true,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
TREE_ROUTE_RIGHT,2,544,243,544,245,TRUNK_CLIMB,545,245,true,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
TREE_ROUTE_RIGHT,3,544,245,547,248,TRUNK_CLIMB,546,248,true,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
TREE_ROUTE_RIGHT,4,547,248,546,249,TRUNK_CLIMB,545,249,true,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
TREE_ROUTE_RIGHT,5,546,249,546,250,TRUNK_CLIMB,545,250,true,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
TREE_ROUTE_RIGHT,6,546,250,542,253,TRUNK_CLIMB,543,253,true,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
TREE_ROUTE_RIGHT,7,542,253,542,254,TRUNK_CLIMB,543,254,true,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
TREE_ROUTE_RIGHT,8,542,254,542,256,TRUNK_CLIMB,543,256,true,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
TREE_ROUTE_RIGHT,9,542,256,542,258,TRUNK_CLIMB,543,258,true,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
TREE_ROUTE_RIGHT,10,542,258,542,261,TRUNK_CLIMB,543,261,true,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
TREE_ROUTE_RIGHT,11,542,261,542,262,TRUNK_CLIMB,543,262,true,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
TREE_ROUTE_RIGHT,12,542,262,542,263,TRUNK_CLIMB,543,263,true,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
