candidate_id,x,y,width,height,available_connections,path_cells,status,reason,hub_digest
HUB_CANDIDATE_000cf985784a86ee,288,368,24,40,0,0,REJECTED,FOOTPRINT_CONFLICT,658f6805a3715cc792a0a281dded25c81c27eaf51fd6b903c1486b2c56e2d39d
HUB_CANDIDATE_003f63b441b7d661,360,208,24,40,0,0,REJECTED,FOOTPRINT_CONFLICT,658f6805a3715cc792a0a281dded25c81c27eaf51fd6b903c1486b2c56e2d39d
HUB_CANDIDATE_004db95035948d7e,112,96,24,40,0,0,REJECTED,FOOTPRINT_CONFLICT,658f6805a3715cc792a0a281dded25c81c27eaf51fd6b903c1486b2c56e2d39d
HUB_CANDIDATE_0088f675b0b35455,392,328,24,40,0,0,REJECTED,FOOTPRINT_CONFLICT,658f6805a3715cc792a0a281dded25c81c27eaf51fd6b903c1486b2c56e2d39d
HUB_CANDIDATE_0094257034d4be61,192,120,24,40,0,0,REJECTED,FOOTPRINT_CONFLICT,658f6805a3715cc792a0a281dded25c81c27eaf51fd6b903c1486b2c56e2d39d
HUB_CANDIDATE_00aa3f43682add6c,288,192,24,40,2,180,REJECTED,CANDIDATE_ROUTE_ATTEMPT_CAP,658f6805a3715cc792a0a281dded25c81c27eaf51fd6b903c1486b2c56e2d39d
HUB_CANDIDATE_00aae1fb8a5e6d87,40,176,24,40,0,0,REJECTED,FOOTPRINT_CONFLICT,658f6805a3715cc792a0a281dded25c81c27eaf51fd6b903c1486b2c56e2d39d
HUB_CANDIDATE_00aae321d8730bf8,80,48,24,40,0,0,REJECTED,FOOTPRINT_CONFLICT,658f6805a3715cc792a0a281dded25c81c27eaf51fd6b903c1486b2c56e2d39d
HUB_CANDIDATE_00b6ee5dba2942a2,240,232,24,40,0,0,REJECTED,FOOTPRINT_CONFLICT,658f6805a3715cc792a0a281dded25c81c27eaf51fd6b903c1486b2c56e2d39d
HUB_CANDIDATE_0102f342e0b247cb,360,8,24,40,0,0,REJECTED,FOOTPRINT_CONFLICT,658f6805a3715cc792a0a281dded25c81c27eaf51fd6b903c1486b2c56e2d39d
HUB_CANDIDATE_0110adcd0c8528df,104,56,24,40,0,0,REJECTED,FOOTPRINT_CONFLICT,658f6805a3715cc792a0a281dded25c81c27eaf51fd6b903c1486b2c56e2d39d
HUB_CANDIDATE_0120e1da61f8974c,576,160,24,40,0,0,REJECTED,CONNECTION_SHORTFALL,658f6805a3715cc792a0a281dded25c81c27eaf51fd6b903c1486b2c56e2d39d
HUB_CANDIDATE_0139d0e2bc0fb6d2,264,240,24,40,0,0,REJECTED,FOOTPRINT_CONFLICT,658f6805a3715cc792a0a281dded25c81c27eaf51fd6b903c1486b2c56e2d39d
HUB_CANDIDATE_01424ce33f497045,360,80,24,40,0,0,REJECTED,CONNECTION_SHORTFALL,658f6805a3715cc792a0a281dded25c81c27eaf51fd6b903c1486b2c56e2d39d
HUB_CANDIDATE_014e67271eb4d154,512,336,24,40,0,0,REJECTED,FOOTPRINT_CONFLICT,658f6805a3715cc792a0a281dded25c81c27eaf51fd6b903c1486b2c56e2d39d
HUB_CANDIDATE_015c6dd73ac53336,416,280,24,40,0,0,REJECTED,FOOTPRINT_CONFLICT,658f6805a3715cc792a0a281dded25c81c27eaf51fd6b903c1486b2c56e2d39d
HUB_CANDIDATE_01ba4142b9efce02,544,144,24,40,0,0,REJECTED,FOOTPRINT_CONFLICT,658f6805a3715cc792a0a281dded25c81c27eaf51fd6b903c1486b2c56e2d39d
HUB_CANDIDATE_01e45897e392c866,120,16,24,40,0,0,REJECTED,FOOTPRINT_CONFLICT,658f6805a3715cc792a0a281dded25c81c27eaf51fd6b903c1486b2c56e2d39d
HUB_CANDIDATE_01f1239c007fb11b,192,72,24,40,0,0,REJECTED,FOOTPRINT_CONFLICT,658f6805a3715cc792a0a281dded25c81c27eaf51fd6b903c1486b2c56e2d39d
HUB_CANDIDATE_01f3ea51b95d7d08,296,56,24,40,0,0,REJECTED,CANDIDATE_ROUTE_ATTEMPT_CAP,658f6805a3715cc792a0a281dded25c81c27eaf51fd6b903c1486b2c56e2d39d
HUB_CANDIDATE_022045a9f088d5fd,384,192,24,40,4,333,REJECTED,LOWER_RANK,658f6805a3715cc792a0a281dded25c81c27eaf51fd6b903c1486b2c56e2d39d
HUB_CANDIDATE_0230735ad076128b,224,136,24,40,0,0,REJECTED,FOOTPRINT_CONFLICT,658f6805a3715cc792a0a281dded25c81c27eaf51fd6b903c1486b2c56e2d39d
HUB_CANDIDATE_024905ffec598926,336,224,24,40,0,0,REJECTED,FOOTPRINT_CONFLICT,658f6805a3715cc792a0a281dded25c81c27eaf51fd6b903c1486b2c56e2d39d
HUB_CANDIDATE_025a613196906aac,480,64,24,40,0,0,REJECTED,FOOTPRINT_CONFLICT,658f6805a3715cc792a0a281dded25c81c27eaf51fd6b903c1486b2c56e2d39d
HUB_CANDIDATE_026e382ae256e35f,80,168,24,40,0,0,REJECTED,FOOTPRINT_CONFLICT,658f6805a3715cc792a0a281dded25c81c27eaf51fd6b903c1486b2c56e2d39d
HUB_CANDIDATE_027cb1b6c8f31249,496,296,24,40,0,0,REJECTED,FOOTPRINT_CONFLICT,658f6805a3715cc792a0a281dded25c81c27eaf51fd6b903c1486b2c56e2d39d
HUB_CANDIDATE_02909901e9eb1d0f,384,64,24,40,0,0,REJECTED,CONNECTION_SHORTFALL,658f6805a3715cc792a0a281dded25c81c27eaf51fd6b903c1486b2c56e2d39d
HUB_CANDIDATE_02aa77c4f38527c1,160,320,24,40,0,0,REJECTED,FOOTPRINT_CONFLICT,658f6805a3715cc792a0a281dded25c81c27eaf51fd6b903c1486b2c56e2d39d
HUB_CANDIDATE_02b06a9c476f5039,552,368,24,40,0,0,REJECTED,FOOTPRINT_CONFLICT,658f6805a3715cc792a0a281dded25c81c27eaf51fd6b903c1486b2c56e2d39d
HUB_CANDIDATE_02c9c8367d0d11c0,520,184,24,40,0,0,REJECTED,FOOTPRINT_CONFLICT,658f6805a3715cc792a0a281dded25c81c27eaf51fd6b903c1486b2c56e2d39d
HUB_CANDIDATE_02d7e0c99adf91f4,432,296,24,40,0,0,REJECTED,FOOTPRINT_CONFLICT,658f6805a3715cc792a0a281dded25c81c27eaf51fd6b903c1486b2c56e2d39d
HUB_CANDIDATE_02e2d13dab44ff56,248,280,24,40,0,0,REJECTED,FOOTPRINT_CONFLICT,658f6805a3715cc792a0a281dded25c81c27eaf51fd6b903c1486b2c56e2d39d
