route_id,sequence,from_x,from_y,to_x,to_y,move_type,traversal_state,body_clear,head_clear,contact_x,contact_y,itemless,initial_capture_rise,plan_digest
TREE_ROUTE_LEFT,0,561,241,561,242,JUMP_GRAB,BRANCH_TO_TRUNK,true,true,562,242,true,1,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
TREE_ROUTE_LEFT,1,561,242,560,244,JUMP,TRUNK_CLIMB,true,true,561,244,true,0,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
TREE_ROUTE_LEFT,2,560,244,561,246,JUMP,TRUNK_CLIMB,true,true,562,246,true,0,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
TREE_ROUTE_LEFT,3,561,246,560,248,JUMP,TRUNK_CLIMB,true,true,561,248,true,0,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
TREE_ROUTE_LEFT,4,560,248,561,250,JUMP,TRUNK_CLIMB,true,true,562,250,true,0,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
TREE_ROUTE_LEFT,5,561,250,560,252,JUMP,TRUNK_CLIMB,true,true,561,252,true,0,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
TREE_ROUTE_LEFT,6,560,252,561,254,JUMP,TRUNK_CLIMB,true,true,562,254,true,0,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
TREE_ROUTE_LEFT,7,561,254,560,256,JUMP,TRUNK_CLIMB,true,true,561,256,true,0,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
TREE_ROUTE_LEFT,8,560,256,561,258,JUMP,TRUNK_CLIMB,true,true,562,258,true,0,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
TREE_ROUTE_LEFT,9,561,258,560,260,JUMP,TRUNK_CLIMB,true,true,561,260,true,0,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
TREE_ROUTE_LEFT,10,560,260,561,262,JUMP,TRUNK_CLIMB,true,true,562,262,true,0,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
TREE_ROUTE_LEFT,11,561,262,560,262,JUMP,TRUNK_TO_BRANCH,true,true,,,true,0,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
TREE_ROUTE_RIGHT,0,566,241,566,242,JUMP_GRAB,BRANCH_TO_TRUNK,true,true,565,242,true,1,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
TREE_ROUTE_RIGHT,1,566,242,565,244,JUMP,TRUNK_CLIMB,true,true,564,244,true,0,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
TREE_ROUTE_RIGHT,2,565,244,566,246,JUMP,TRUNK_CLIMB,true,true,565,246,true,0,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
TREE_ROUTE_RIGHT,3,566,246,565,248,JUMP,TRUNK_CLIMB,true,true,564,248,true,0,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
TREE_ROUTE_RIGHT,4,565,248,566,250,JUMP,TRUNK_CLIMB,true,true,565,250,true,0,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
TREE_ROUTE_RIGHT,5,566,250,565,252,JUMP,TRUNK_CLIMB,true,true,564,252,true,0,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
TREE_ROUTE_RIGHT,6,565,252,566,254,JUMP,TRUNK_CLIMB,true,true,565,254,true,0,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
TREE_ROUTE_RIGHT,7,566,254,565,256,JUMP,TRUNK_CLIMB,true,true,564,256,true,0,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
TREE_ROUTE_RIGHT,8,565,256,566,258,JUMP,TRUNK_CLIMB,true,true,565,258,true,0,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
TREE_ROUTE_RIGHT,9,566,258,565,260,JUMP,TRUNK_CLIMB,true,true,564,260,true,0,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
TREE_ROUTE_RIGHT,10,565,260,566,262,JUMP,TRUNK_CLIMB,true,true,565,262,true,0,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
TREE_ROUTE_RIGHT,11,566,262,567,262,JUMP,TRUNK_TO_BRANCH,true,true,,,true,0,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
