recipe_id,group_id,x,y,collision,role,owner_id
JUMP012_MIXED_MX,RG_ENTRY_CATCH,18,1,TOP_ONLY,RECOVERY_CATCH,RG_ENTRY_CATCH
JUMP012_MIXED_MX,RG_ENTRY_CATCH,19,1,TOP_ONLY,RECOVERY_CATCH,RG_ENTRY_CATCH
JUMP012_MIXED_MX,RG_ENTRY_CATCH,20,1,TOP_ONLY,RECOVERY_CATCH,RG_ENTRY_CATCH
JUMP012_MIXED_MX,RG_GRAB_CATCH,6,4,TOP_ONLY,RECOVERY_CATCH,RG_GRAB_CATCH
JUMP012_MIXED_MX,RG_GRAB_CATCH,7,4,TOP_ONLY,RECOVERY_CATCH,RG_GRAB_CATCH
JUMP012_MIXED_MX,RG_MID_CATCH,12,2,TOP_ONLY,RECOVERY_CATCH,RG_MID_CATCH
JUMP012_MIXED_MX,RG_MID_CATCH,13,2,TOP_ONLY,RECOVERY_CATCH,RG_MID_CATCH
JUMP012_MIXED_MX,RG_MID_CATCH,14,2,TOP_ONLY,RECOVERY_CATCH,RG_MID_CATCH
JUMP012_MIXED_R0,RG_ENTRY_CATCH,3,1,TOP_ONLY,RECOVERY_CATCH,RG_ENTRY_CATCH
JUMP012_MIXED_R0,RG_ENTRY_CATCH,4,1,TOP_ONLY,RECOVERY_CATCH,RG_ENTRY_CATCH
JUMP012_MIXED_R0,RG_ENTRY_CATCH,5,1,TOP_ONLY,RECOVERY_CATCH,RG_ENTRY_CATCH
JUMP012_MIXED_R0,RG_GRAB_CATCH,16,4,TOP_ONLY,RECOVERY_CATCH,RG_GRAB_CATCH
JUMP012_MIXED_R0,RG_GRAB_CATCH,17,4,TOP_ONLY,RECOVERY_CATCH,RG_GRAB_CATCH
JUMP012_MIXED_R0,RG_MID_CATCH,9,2,TOP_ONLY,RECOVERY_CATCH,RG_MID_CATCH
JUMP012_MIXED_R0,RG_MID_CATCH,10,2,TOP_ONLY,RECOVERY_CATCH,RG_MID_CATCH
JUMP012_MIXED_R0,RG_MID_CATCH,11,2,TOP_ONLY,RECOVERY_CATCH,RG_MID_CATCH
