x,y,value,provenance,owner
"0","0","UNKNOWN","UNKNOWN",""
"1","0","UNKNOWN","UNKNOWN",""
"2","0","UNKNOWN","UNKNOWN",""
"3","0","UNKNOWN","UNKNOWN",""
"4","0","UNKNOWN","UNKNOWN",""
"5","0","UNKNOWN","UNKNOWN",""
"6","0","UNKNOWN","UNKNOWN",""
"7","0","UNKNOWN","UNKNOWN",""
"8","0","UNKNOWN","UNKNOWN",""
"9","0","UNKNOWN","UNKNOWN",""
"10","0","UNKNOWN","UNKNOWN",""
"11","0","UNKNOWN","UNKNOWN",""
"12","0","UNKNOWN","UNKNOWN",""
"13","0","UNKNOWN","UNKNOWN",""
"14","0","UNKNOWN","UNKNOWN",""
"15","0","UNKNOWN","UNKNOWN",""
"16","0","UNKNOWN","UNKNOWN",""
"17","0","UNKNOWN","UNKNOWN",""
"18","0","UNKNOWN","UNKNOWN",""
"19","0","UNKNOWN","UNKNOWN",""
"20","0","UNKNOWN","UNKNOWN",""
"21","0","UNKNOWN","UNKNOWN",""
"22","0","UNKNOWN","UNKNOWN",""
"23","0","UNKNOWN","UNKNOWN",""
"24","0","UNKNOWN","UNKNOWN",""
"25","0","UNKNOWN","UNKNOWN",""
"26","0","UNKNOWN","UNKNOWN",""
"27","0","UNKNOWN","UNKNOWN",""
"28","0","UNKNOWN","UNKNOWN",""
"29","0","UNKNOWN","UNKNOWN",""
"30","0","UNKNOWN","UNKNOWN",""
"31","0","UNKNOWN","UNKNOWN",""
"32","0","UNKNOWN","UNKNOWN",""
"33","0","UNKNOWN","UNKNOWN",""
"34","0","UNKNOWN","UNKNOWN",""
"35","0","UNKNOWN","UNKNOWN",""
"36","0","UNKNOWN","UNKNOWN",""
"37","0","UNKNOWN","UNKNOWN",""
"38","0","UNKNOWN","UNKNOWN",""
"39","0","UNKNOWN","UNKNOWN",""
"40","0","UNKNOWN","UNKNOWN",""
"41","0","UNKNOWN","UNKNOWN",""
"42","0","UNKNOWN","UNKNOWN",""
"43","0","UNKNOWN","UNKNOWN",""
"44","0","UNKNOWN","UNKNOWN",""
"45","0","UNKNOWN","UNKNOWN",""
"46","0","UNKNOWN","UNKNOWN",""
"47","0","UNKNOWN","UNKNOWN",""
"48","0","UNKNOWN","UNKNOWN",""
"49","0","UNKNOWN","UNKNOWN",""
"50","0","UNKNOWN","UNKNOWN",""
"51","0","UNKNOWN","UNKNOWN",""
"52","0","UNKNOWN","UNKNOWN",""
"53","0","UNKNOWN","UNKNOWN",""
"54","0","UNKNOWN","UNKNOWN",""
"55","0","UNKNOWN","UNKNOWN",""
"56","0","UNKNOWN","UNKNOWN",""
"57","0","UNKNOWN","UNKNOWN",""
"58","0","UNKNOWN","UNKNOWN",""
"59","0","UNKNOWN","UNKNOWN",""
"60","0","UNKNOWN","UNKNOWN",""
"61","0","UNKNOWN","UNKNOWN",""
"62","0","UNKNOWN","UNKNOWN",""
"63","0","UNKNOWN","UNKNOWN",""
"64","0","UNKNOWN","UNKNOWN",""
"65","0","UNKNOWN","UNKNOWN",""
"66","0","UNKNOWN","UNKNOWN",""
"67","0","UNKNOWN","UNKNOWN",""
"68","0","UNKNOWN","UNKNOWN",""
"69","0","UNKNOWN","UNKNOWN",""
"70","0","UNKNOWN","UNKNOWN",""
"71","0","UNKNOWN","UNKNOWN",""
