sidepath_id,check,status,states,orders,bypass_count,plan_digest
SV5_SIDE_02c4e18b92e81a5973d2,ACTUAL_AIR_CENTERLINE,PASS,9,6,0,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_02c4e18b92e81a5973d2,FINAL_TOPOLOGY_AND_PRODUCT,PASS,9,6,0,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_08aa78d0cf94e352179c,ACTUAL_AIR_CENTERLINE,PASS,9,6,0,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_08aa78d0cf94e352179c,FINAL_TOPOLOGY_AND_PRODUCT,PASS,9,6,0,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_1ce580d9cbbfcf73d0ea,ACTUAL_AIR_CENTERLINE,PASS,9,6,0,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_1ce580d9cbbfcf73d0ea,FINAL_TOPOLOGY_AND_PRODUCT,PASS,9,6,0,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_2280a9a1134577265929,ACTUAL_AIR_CENTERLINE,PASS,9,6,0,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_2280a9a1134577265929,FINAL_TOPOLOGY_AND_PRODUCT,PASS,9,6,0,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_4a50a57cb6ba8a508bd8,ACTUAL_AIR_CENTERLINE,PASS,9,6,0,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_4a50a57cb6ba8a508bd8,FINAL_TOPOLOGY_AND_PRODUCT,PASS,9,6,0,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_60c359c1a27f17b6480d,ACTUAL_AIR_CENTERLINE,PASS,9,6,0,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_60c359c1a27f17b6480d,FINAL_TOPOLOGY_AND_PRODUCT,PASS,9,6,0,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_61c990f336151388ad15,ACTUAL_AIR_CENTERLINE,PASS,9,6,0,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_61c990f336151388ad15,FINAL_TOPOLOGY_AND_PRODUCT,PASS,9,6,0,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_808e244973a683b5ea39,ACTUAL_AIR_CENTERLINE,PASS,9,6,0,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_808e244973a683b5ea39,FINAL_TOPOLOGY_AND_PRODUCT,PASS,9,6,0,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_85373433ce41bab31479,ACTUAL_AIR_CENTERLINE,PASS,9,6,0,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_85373433ce41bab31479,FINAL_TOPOLOGY_AND_PRODUCT,PASS,9,6,0,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_8777d1668018d9a13642,ACTUAL_AIR_CENTERLINE,PASS,9,6,0,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_8777d1668018d9a13642,FINAL_TOPOLOGY_AND_PRODUCT,PASS,9,6,0,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_9d12aa82f2829c45734d,ACTUAL_AIR_CENTERLINE,PASS,9,6,0,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_9d12aa82f2829c45734d,FINAL_TOPOLOGY_AND_PRODUCT,PASS,9,6,0,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_df92d2bb101becdf83b1,ACTUAL_AIR_CENTERLINE,PASS,9,6,0,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_df92d2bb101becdf83b1,FINAL_TOPOLOGY_AND_PRODUCT,PASS,9,6,0,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
