contact_id,kind,first_x,first_y,second_x,second_y,direction,route_a,route_a_x,route_a_y,route_a_kinds,route_b,route_b_x,route_b_y,route_b_kinds,first_kinds,second_kinds,split_node_id,crossing,predicate,boundary_id,coverage_checked,logical_state_transition_checked,geometry_state,player_state,detail,plan_digest
FACE_174_78_175_78_4c81ed057097,FACE,174,78,175,78,RIGHT,SV5_OPTIONAL_07,175,78,Clearance,SV5_OPTIONAL_08,174,78,Clearance,Clearance,Clearance,SV5_CONTACT_NODE_948A633B4710CC1B9163,Join,"routeA{2842faa7933650605e4a69b9b55bf7bd8fbaab69484cac67a63b2d3c1fc8adfa:mask=0,forge=0,seal=0,boss=0};routeB{d68e8b7e181ba852cd9e34f439cdc95f7316c923a7da07c0424656adb6002424:mask=0,forge=0,seal=0,boss=0}",,true,true,PLANNED_RESERVATION,PENDING,The compatible pair is one global world-cell/face join; Clearance remains non-traversable.,0d74dabc7c5ad27aec04a4025bca6ac543f504caca2703e60865f210899dbb30
FACE_174_79_175_79_4c81ed057097,FACE,174,79,175,79,RIGHT,SV5_OPTIONAL_07,175,79,Clearance,SV5_OPTIONAL_08,174,79,Passage,Passage,Clearance,SV5_CONTACT_NODE_5C750A4879970E563660,Join,"routeA{2842faa7933650605e4a69b9b55bf7bd8fbaab69484cac67a63b2d3c1fc8adfa:mask=0,forge=0,seal=0,boss=0};routeB{d68e8b7e181ba852cd9e34f439cdc95f7316c923a7da07c0424656adb6002424:mask=0,forge=0,seal=0,boss=0}",,true,true,PLANNED_RESERVATION,PENDING,The compatible pair is one global world-cell/face join; Clearance remains non-traversable.,0d74dabc7c5ad27aec04a4025bca6ac543f504caca2703e60865f210899dbb30
FACE_174_80_175_80_4c81ed057097,FACE,174,80,175,80,RIGHT,SV5_OPTIONAL_07,175,80,Clearance,SV5_OPTIONAL_08,174,80,Clearance,Clearance,Clearance,SV5_CONTACT_NODE_BABCED44DC46F791081D,Join,"routeA{2842faa7933650605e4a69b9b55bf7bd8fbaab69484cac67a63b2d3c1fc8adfa:mask=0,forge=0,seal=0,boss=0};routeB{d68e8b7e181ba852cd9e34f439cdc95f7316c923a7da07c0424656adb6002424:mask=0,forge=0,seal=0,boss=0}",,true,true,PLANNED_RESERVATION,PENDING,The compatible pair is one global world-cell/face join; Clearance remains non-traversable.,0d74dabc7c5ad27aec04a4025bca6ac543f504caca2703e60865f210899dbb30
FACE_175_77_175_78_4c81ed057097,FACE,175,77,175,78,UP,SV5_OPTIONAL_07,175,77,Clearance,SV5_OPTIONAL_08,175,78,Clearance,Clearance,Clearance,SV5_CONTACT_NODE_E16EE862BE7034A5048C,Join,"routeA{2842faa7933650605e4a69b9b55bf7bd8fbaab69484cac67a63b2d3c1fc8adfa:mask=0,forge=0,seal=0,boss=0};routeB{d68e8b7e181ba852cd9e34f439cdc95f7316c923a7da07c0424656adb6002424:mask=0,forge=0,seal=0,boss=0}",,true,true,PLANNED_RESERVATION,PENDING,The compatible pair is one global world-cell/face join; Clearance remains non-traversable.,0d74dabc7c5ad27aec04a4025bca6ac543f504caca2703e60865f210899dbb30
FACE_175_78_175_79_4c81ed057097,FACE,175,78,175,79,UP,SV5_OPTIONAL_07,175,78,Clearance,SV5_OPTIONAL_08,175,79,Passage,Clearance,Passage,SV5_CONTACT_NODE_BD13CAD9121EA77EA050,Join,"routeA{2842faa7933650605e4a69b9b55bf7bd8fbaab69484cac67a63b2d3c1fc8adfa:mask=0,forge=0,seal=0,boss=0};routeB{d68e8b7e181ba852cd9e34f439cdc95f7316c923a7da07c0424656adb6002424:mask=0,forge=0,seal=0,boss=0}",,true,true,PLANNED_RESERVATION,PENDING,The compatible pair is one global world-cell/face join; Clearance remains non-traversable.,0d74dabc7c5ad27aec04a4025bca6ac543f504caca2703e60865f210899dbb30
FACE_175_78_176_78_4c81ed057097,FACE,175,78,176,78,RIGHT,SV5_OPTIONAL_07,175,78,Clearance,SV5_OPTIONAL_08,176,78,Clearance,Clearance,Clearance,SV5_CONTACT_NODE_48EAD20242ED8B359B85,Join,"routeA{2842faa7933650605e4a69b9b55bf7bd8fbaab69484cac67a63b2d3c1fc8adfa:mask=0,forge=0,seal=0,boss=0};routeB{d68e8b7e181ba852cd9e34f439cdc95f7316c923a7da07c0424656adb6002424:mask=0,forge=0,seal=0,boss=0}",,true,true,PLANNED_RESERVATION,PENDING,The compatible pair is one global world-cell/face join; Clearance remains non-traversable.,0d74dabc7c5ad27aec04a4025bca6ac543f504caca2703e60865f210899dbb30
FACE_175_79_175_80_4c81ed057097,FACE,175,79,175,80,UP,SV5_OPTIONAL_07,175,79,Clearance,SV5_OPTIONAL_08,175,80,Clearance,Clearance,Clearance,SV5_CONTACT_NODE_0A5E098240976F0DA164,Join,"routeA{2842faa7933650605e4a69b9b55bf7bd8fbaab69484cac67a63b2d3c1fc8adfa:mask=0,forge=0,seal=0,boss=0};routeB{d68e8b7e181ba852cd9e34f439cdc95f7316c923a7da07c0424656adb6002424:mask=0,forge=0,seal=0,boss=0}",,true,true,PLANNED_RESERVATION,PENDING,The compatible pair is one global world-cell/face join; Clearance remains non-traversable.,0d74dabc7c5ad27aec04a4025bca6ac543f504caca2703e60865f210899dbb30
FACE_175_79_176_79_4c81ed057097,FACE,175,79,176,79,RIGHT,SV5_OPTIONAL_07,175,79,Clearance,SV5_OPTIONAL_08,176,79,Passage,Clearance,Passage,SV5_CONTACT_NODE_6E6A9D64890ECC2F8527,Join,"routeA{2842faa7933650605e4a69b9b55bf7bd8fbaab69484cac67a63b2d3c1fc8adfa:mask=0,forge=0,seal=0,boss=0};routeB{d68e8b7e181ba852cd9e34f439cdc95f7316c923a7da07c0424656adb6002424:mask=0,forge=0,seal=0,boss=0}",,true,true,PLANNED_RESERVATION,PENDING,The compatible pair is one global world-cell/face join; Clearance remains non-traversable.,0d74dabc7c5ad27aec04a4025bca6ac543f504caca2703e60865f210899dbb30
FACE_175_80_175_81_4c81ed057097,FACE,175,80,175,81,UP,SV5_OPTIONAL_07,175,81,Clearance,SV5_OPTIONAL_08,175,80,Clearance,Clearance,Clearance,SV5_CONTACT_NODE_609A0D73562EED69CFEB,Join,"routeA{2842faa7933650605e4a69b9b55bf7bd8fbaab69484cac67a63b2d3c1fc8adfa:mask=0,forge=0,seal=0,boss=0};routeB{d68e8b7e181ba852cd9e34f439cdc95f7316c923a7da07c0424656adb6002424:mask=0,forge=0,seal=0,boss=0}",,true,true,PLANNED_RESERVATION,PENDING,The compatible pair is one global world-cell/face join; Clearance remains non-traversable.,0d74dabc7c5ad27aec04a4025bca6ac543f504caca2703e60865f210899dbb30
FACE_175_80_176_80_4c81ed057097,FACE,175,80,176,80,RIGHT,SV5_OPTIONAL_07,175,80,Clearance,SV5_OPTIONAL_08,176,80,Clearance,Clearance,Clearance,SV5_CONTACT_NODE_C1A95C6C50CA9F56410E,Join,"routeA{2842faa7933650605e4a69b9b55bf7bd8fbaab69484cac67a63b2d3c1fc8adfa:mask=0,forge=0,seal=0,boss=0};routeB{d68e8b7e181ba852cd9e34f439cdc95f7316c923a7da07c0424656adb6002424:mask=0,forge=0,seal=0,boss=0}",,true,true,PLANNED_RESERVATION,PENDING,The compatible pair is one global world-cell/face join; Clearance remains non-traversable.,0d74dabc7c5ad27aec04a4025bca6ac543f504caca2703e60865f210899dbb30
