tile_x,tile_y,open,pattern_x,pattern_y,room_id,route_ownership
0,0,TRUE,0,0,OUTSIDE_QUIET,FILLER_DETAIL
1,0,TRUE,0,0,OUTSIDE_QUIET,FILLER_DETAIL
2,0,TRUE,0,0,OUTSIDE_QUIET,FILLER_DETAIL
3,0,TRUE,0,0,OUTSIDE_QUIET,FILLER_DETAIL
4,0,FALSE,1,0,OUTSIDE_QUIET,FILLER_DETAIL
5,0,TRUE,1,0,OUTSIDE_QUIET,FILLER_DETAIL
6,0,FALSE,1,0,OUTSIDE_QUIET,FILLER_DETAIL
7,0,TRUE,1,0,OUTSIDE_QUIET,FILLER_DETAIL
8,0,FALSE,2,0,OUTSIDE_QUIET,FILLER_DETAIL
9,0,FALSE,2,0,OUTSIDE_QUIET,FILLER_DETAIL
10,0,FALSE,2,0,OUTSIDE_QUIET,FILLER_DETAIL
11,0,FALSE,2,0,OUTSIDE_QUIET,FILLER_DETAIL
12,0,TRUE,3,0,OUTSIDE_QUIET,FILLER_DETAIL
13,0,TRUE,3,0,OUTSIDE_QUIET,FILLER_DETAIL
14,0,TRUE,3,0,OUTSIDE_QUIET,FILLER_DETAIL
15,0,TRUE,3,0,OUTSIDE_QUIET,FILLER_DETAIL
16,0,TRUE,4,0,OUTSIDE_QUIET,FILLER_DETAIL
17,0,TRUE,4,0,OUTSIDE_QUIET,FILLER_DETAIL
18,0,TRUE,4,0,OUTSIDE_QUIET,FILLER_DETAIL
19,0,TRUE,4,0,OUTSIDE_QUIET,FILLER_DETAIL
20,0,TRUE,5,0,OUTSIDE_QUIET,FILLER_DETAIL
21,0,TRUE,5,0,OUTSIDE_QUIET,FILLER_DETAIL
22,0,TRUE,5,0,OUTSIDE_QUIET,FILLER_DETAIL
23,0,TRUE,5,0,OUTSIDE_QUIET,FILLER_DETAIL
24,0,TRUE,6,0,OUTSIDE_QUIET,FILLER_DETAIL
25,0,TRUE,6,0,OUTSIDE_QUIET,FILLER_DETAIL
26,0,TRUE,6,0,OUTSIDE_QUIET,FILLER_DETAIL
27,0,TRUE,6,0,OUTSIDE_QUIET,FILLER_DETAIL
28,0,TRUE,7,0,OUTSIDE_QUIET,FILLER_DETAIL
29,0,TRUE,7,0,OUTSIDE_QUIET,FILLER_DETAIL
30,0,TRUE,7,0,OUTSIDE_QUIET,FILLER_DETAIL
31,0,TRUE,7,0,OUTSIDE_QUIET,FILLER_DETAIL
32,0,TRUE,8,0,OUTSIDE_QUIET,FILLER_DETAIL
33,0,FALSE,8,0,OUTSIDE_QUIET,FILLER_DETAIL
34,0,TRUE,8,0,OUTSIDE_QUIET,FILLER_DETAIL
35,0,TRUE,8,0,OUTSIDE_QUIET,FILLER_DETAIL
36,0,FALSE,9,0,OUTSIDE_QUIET,FILLER_DETAIL
37,0,FALSE,9,0,OUTSIDE_QUIET,FILLER_DETAIL
38,0,FALSE,9,0,OUTSIDE_QUIET,FILLER_DETAIL
39,0,FALSE,9,0,OUTSIDE_QUIET,FILLER_DETAIL
40,0,TRUE,10,0,OUTSIDE_QUIET,FILLER_DETAIL
41,0,TRUE,10,0,OUTSIDE_QUIET,FILLER_DETAIL
42,0,TRUE,10,0,OUTSIDE_QUIET,FILLER_DETAIL
43,0,TRUE,10,0,OUTSIDE_QUIET,FILLER_DETAIL
44,0,TRUE,11,0,OUTSIDE_QUIET,FILLER_DETAIL
45,0,TRUE,11,0,OUTSIDE_QUIET,FILLER_DETAIL
46,0,TRUE,11,0,OUTSIDE_QUIET,FILLER_DETAIL
47,0,TRUE,11,0,OUTSIDE_QUIET,FILLER_DETAIL
48,0,FALSE,12,0,OUTSIDE_QUIET,FILLER_DETAIL
49,0,TRUE,12,0,OUTSIDE_QUIET,FILLER_DETAIL
50,0,TRUE,12,0,OUTSIDE_QUIET,FILLER_DETAIL
51,0,TRUE,12,0,OUTSIDE_QUIET,FILLER_DETAIL
52,0,FALSE,13,0,OUTSIDE_QUIET,FILLER_DETAIL
53,0,FALSE,13,0,OUTSIDE_QUIET,FILLER_DETAIL
54,0,FALSE,13,0,OUTSIDE_QUIET,FILLER_DETAIL
55,0,TRUE,13,0,OUTSIDE_QUIET,FILLER_DETAIL
56,0,TRUE,14,0,OUTSIDE_QUIET,FILLER_DETAIL
57,0,TRUE,14,0,OUTSIDE_QUIET,FILLER_DETAIL
58,0,TRUE,14,0,OUTSIDE_QUIET,FILLER_DETAIL
59,0,TRUE,14,0,OUTSIDE_QUIET,FILLER_DETAIL
60,0,FALSE,15,0,OUTSIDE_QUIET,FILLER_DETAIL
61,0,FALSE,15,0,OUTSIDE_QUIET,FILLER_DETAIL
62,0,TRUE,15,0,OUTSIDE_QUIET,FILLER_DETAIL
63,0,FALSE,15,0,OUTSIDE_QUIET,FILLER_DETAIL
64,0,TRUE,16,0,OUTSIDE_QUIET,FILLER_DETAIL
65,0,TRUE,16,0,OUTSIDE_QUIET,FILLER_DETAIL
66,0,TRUE,16,0,OUTSIDE_QUIET,FILLER_DETAIL
67,0,TRUE,16,0,OUTSIDE_QUIET,FILLER_DETAIL
68,0,TRUE,17,0,OUTSIDE_QUIET,FILLER_DETAIL
69,0,FALSE,17,0,OUTSIDE_QUIET,FILLER_DETAIL
70,0,TRUE,17,0,OUTSIDE_QUIET,FILLER_DETAIL
71,0,TRUE,17,0,OUTSIDE_QUIET,FILLER_DETAIL
72,0,TRUE,18,0,OUTSIDE_QUIET,FILLER_DETAIL
73,0,TRUE,18,0,OUTSIDE_QUIET,FILLER_DETAIL
74,0,FALSE,18,0,OUTSIDE_QUIET,FILLER_DETAIL
75,0,FALSE,18,0,OUTSIDE_QUIET,FILLER_DETAIL
76,0,TRUE,19,0,OUTSIDE_QUIET,FILLER_DETAIL
77,0,TRUE,19,0,OUTSIDE_QUIET,FILLER_DETAIL
78,0,FALSE,19,0,OUTSIDE_QUIET,FILLER_DETAIL
79,0,TRUE,19,0,OUTSIDE_QUIET,FILLER_DETAIL
80,0,TRUE,20,0,OUTSIDE_QUIET,FILLER_DETAIL
81,0,TRUE,20,0,OUTSIDE_QUIET,FILLER_DETAIL
82,0,FALSE,20,0,OUTSIDE_QUIET,FILLER_DETAIL
83,0,TRUE,20,0,OUTSIDE_QUIET,FILLER_DETAIL
84,0,FALSE,21,0,B01_LOWER_BRANCH,FILLER_DETAIL
85,0,TRUE,21,0,B01_LOWER_BRANCH,FILLER_DETAIL
86,0,FALSE,21,0,B01_LOWER_BRANCH,FILLER_DETAIL
87,0,FALSE,21,0,B01_LOWER_BRANCH,FILLER_DETAIL
88,0,TRUE,22,0,B01_LOWER_BRANCH,FILLER_DETAIL
89,0,FALSE,22,0,B01_LOWER_BRANCH,FILLER_DETAIL
