recipe_id,op,x,y,old_collision,new_collision,old_owner_id,new_owner_id,reason
JUMP012_MIXED_R0,REMOVE,14,4,SOLID,AIR,JS04_SOLID,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,LINK02_BODY_CLEARANCE
JUMP012_MIXED_R0,REMOVE,14,5,SOLID,AIR,JS04_SOLID,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,LINK02_HEAD_CLEARANCE
JUMP012_MIXED_R0,CONVERT,14,6,SOLID,TOP_ONLY,JS04_SOLID,SV5_20_FIX03_JS04_PASS_THROUGH,PRESERVE_LINK04_TOP_ONLY_TAKEOFF
JUMP012_MIXED_R0,REMOVE,15,5,SOLID,AIR,JS04_SOLID,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,LINK02_JS04_LOWER_PROTRUSION_CLEARANCE
JUMP012_MIXED_R0,REMOVE,3,7,SOLID,AIR,JS08_SOLID,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,LINK06_PASS_THROUGH
JUMP012_MIXED_R0,REMOVE,3,8,SOLID,AIR,JS08_SOLID,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,LINK06_PASS_THROUGH
JUMP012_MIXED_R0,REMOVE,4,8,SOLID,AIR,JS08_SOLID,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,LINK06_PASS_THROUGH
JUMP012_MIXED_R0,CONVERT,3,9,SOLID,TOP_ONLY,JS08_SOLID,SV5_20_FIX03_JS08_PASS_THROUGH,PRESERVE_LINK07_08_SUPPORT
JUMP012_MIXED_R0,CONVERT,4,9,SOLID,TOP_ONLY,JS08_SOLID,SV5_20_FIX03_JS08_PASS_THROUGH,PRESERVE_LINK07_08_SUPPORT
JUMP012_MIXED_MX,REMOVE,9,4,SOLID,AIR,JS04_SOLID,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,LINK02_BODY_CLEARANCE
JUMP012_MIXED_MX,REMOVE,9,5,SOLID,AIR,JS04_SOLID,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,LINK02_HEAD_CLEARANCE
JUMP012_MIXED_MX,CONVERT,9,6,SOLID,TOP_ONLY,JS04_SOLID,SV5_20_FIX03_JS04_PASS_THROUGH,PRESERVE_LINK04_TOP_ONLY_TAKEOFF
JUMP012_MIXED_MX,REMOVE,8,5,SOLID,AIR,JS04_SOLID,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,LINK02_JS04_LOWER_PROTRUSION_CLEARANCE
JUMP012_MIXED_MX,REMOVE,20,7,SOLID,AIR,JS08_SOLID,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,LINK06_PASS_THROUGH
JUMP012_MIXED_MX,REMOVE,20,8,SOLID,AIR,JS08_SOLID,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,LINK06_PASS_THROUGH
JUMP012_MIXED_MX,REMOVE,19,8,SOLID,AIR,JS08_SOLID,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,LINK06_PASS_THROUGH
JUMP012_MIXED_MX,CONVERT,20,9,SOLID,TOP_ONLY,JS08_SOLID,SV5_20_FIX03_JS08_PASS_THROUGH,PRESERVE_LINK07_08_SUPPORT
JUMP012_MIXED_MX,CONVERT,19,9,SOLID,TOP_ONLY,JS08_SOLID,SV5_20_FIX03_JS08_PASS_THROUGH,PRESERVE_LINK07_08_SUPPORT
