route_id,ordinal,reservation_kind,world_x,world_y,required_base,from_port_id,to_port_id,condition,source_id
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","0","Passage","523","134","A","RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_START_PORT_ENTRY","NORMAL_FORGE_RETURN","29dc755094886d48300e9f8cf0fb0e54f09125a29c2fac78855bda7885f7dbaa"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","0","Clearance","523","135","A","RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_START_PORT_ENTRY","NORMAL_FORGE_RETURN","29dc755094886d48300e9f8cf0fb0e54f09125a29c2fac78855bda7885f7dbaa"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","0","Support","523","133","S","RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_START_PORT_ENTRY","NORMAL_FORGE_RETURN","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3_SUPPORT"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","1","Passage","523","135","A","RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_START_PORT_ENTRY","NORMAL_FORGE_RETURN","29dc755094886d48300e9f8cf0fb0e54f09125a29c2fac78855bda7885f7dbaa"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","1","Clearance","523","136","A","RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_START_PORT_ENTRY","NORMAL_FORGE_RETURN","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","2","Passage","523","136","A","RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_START_PORT_ENTRY","NORMAL_FORGE_RETURN","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","2","Clearance","523","137","A","RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_START_PORT_ENTRY","NORMAL_FORGE_RETURN","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","3","Passage","523","137","A","RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_START_PORT_ENTRY","NORMAL_FORGE_RETURN","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","3","Clearance","523","138","A","RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_START_PORT_ENTRY","NORMAL_FORGE_RETURN","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","4","Passage","523","138","A","RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_START_PORT_ENTRY","NORMAL_FORGE_RETURN","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","4","Clearance","523","139","A","RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_START_PORT_ENTRY","NORMAL_FORGE_RETURN","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","5","Passage","523","139","A","RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_START_PORT_ENTRY","NORMAL_FORGE_RETURN","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","5","Clearance","523","140","A","RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_START_PORT_ENTRY","NORMAL_FORGE_RETURN","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","6","Passage","523","140","A","RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_START_PORT_ENTRY","NORMAL_FORGE_RETURN","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","6","Clearance","523","141","A","RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_START_PORT_ENTRY","NORMAL_FORGE_RETURN","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","7","Passage","523","141","A","RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_START_PORT_ENTRY","NORMAL_FORGE_RETURN","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","7","Clearance","523","142","A","RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_START_PORT_ENTRY","NORMAL_FORGE_RETURN","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","8","Passage","523","142","A","RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_START_PORT_ENTRY","NORMAL_FORGE_RETURN","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","8","Clearance","523","143","A","RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_START_PORT_ENTRY","NORMAL_FORGE_RETURN","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","9","Passage","522","142","A","RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_START_PORT_ENTRY","NORMAL_FORGE_RETURN","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","9","Clearance","522","143","A","RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_START_PORT_ENTRY","NORMAL_FORGE_RETURN","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","10","Passage","521","142","A","RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_START_PORT_ENTRY","NORMAL_FORGE_RETURN","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","10","Clearance","521","143","A","RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_START_PORT_ENTRY","NORMAL_FORGE_RETURN","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","11","Passage","520","142","A","RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_START_PORT_ENTRY","NORMAL_FORGE_RETURN","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","11","Clearance","520","143","A","RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_START_PORT_ENTRY","NORMAL_FORGE_RETURN","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","12","Passage","519","142","A","RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_START_PORT_ENTRY","NORMAL_FORGE_RETURN","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","12","Clearance","519","143","A","RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_START_PORT_ENTRY","NORMAL_FORGE_RETURN","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","13","Passage","518","142","A","RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_START_PORT_ENTRY","NORMAL_FORGE_RETURN","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","13","Clearance","518","143","A","RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_START_PORT_ENTRY","NORMAL_FORGE_RETURN","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","14","Passage","517","142","A","RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_START_PORT_ENTRY","NORMAL_FORGE_RETURN","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","14","Clearance","517","143","A","RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_START_PORT_ENTRY","NORMAL_FORGE_RETURN","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","15","Passage","516","142","A","RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_START_PORT_ENTRY","NORMAL_FORGE_RETURN","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","15","Clearance","516","143","A","RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_START_PORT_ENTRY","NORMAL_FORGE_RETURN","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","16","Passage","515","142","A","RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_START_PORT_ENTRY","NORMAL_FORGE_RETURN","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","16","Clearance","515","143","A","RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_START_PORT_ENTRY","NORMAL_FORGE_RETURN","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","17","Passage","514","142","A","RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_START_PORT_ENTRY","NORMAL_FORGE_RETURN","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","17","Clearance","514","143","A","RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_START_PORT_ENTRY","NORMAL_FORGE_RETURN","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","18","Passage","513","142","A","RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_START_PORT_ENTRY","NORMAL_FORGE_RETURN","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","18","Clearance","513","143","A","RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_START_PORT_ENTRY","NORMAL_FORGE_RETURN","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3"
"0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3","19","Passage","512","142","A","RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_START_PORT_ENTRY","NORMAL_FORGE_RETURN","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3"
