site_id,local_x,local_y,world_x,world_y,patch_id,base,protection,owner,source_special_digest
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","0","0","272","160","6701dc81871b62aa0e5cbe19099af6e97e8b94ba3e6b184e5ff9ac4e0097c603","S","FixedSolid","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","09d0feeecb89f1c6d25f9559301bf9f3e9ef09216233084327270f9550840f07"
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","1","0","273","160","6701dc81871b62aa0e5cbe19099af6e97e8b94ba3e6b184e5ff9ac4e0097c603","S","FixedSolid","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","09d0feeecb89f1c6d25f9559301bf9f3e9ef09216233084327270f9550840f07"
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","2","0","274","160","6701dc81871b62aa0e5cbe19099af6e97e8b94ba3e6b184e5ff9ac4e0097c603","S","FixedSolid","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","09d0feeecb89f1c6d25f9559301bf9f3e9ef09216233084327270f9550840f07"
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","3","0","275","160","6701dc81871b62aa0e5cbe19099af6e97e8b94ba3e6b184e5ff9ac4e0097c603","S","FixedSolid","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","09d0feeecb89f1c6d25f9559301bf9f3e9ef09216233084327270f9550840f07"
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","4","0","276","160","6701dc81871b62aa0e5cbe19099af6e97e8b94ba3e6b184e5ff9ac4e0097c603","S","FixedSolid","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","09d0feeecb89f1c6d25f9559301bf9f3e9ef09216233084327270f9550840f07"
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","5","0","277","160","6701dc81871b62aa0e5cbe19099af6e97e8b94ba3e6b184e5ff9ac4e0097c603","S","FixedSolid","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","09d0feeecb89f1c6d25f9559301bf9f3e9ef09216233084327270f9550840f07"
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","6","0","278","160","6701dc81871b62aa0e5cbe19099af6e97e8b94ba3e6b184e5ff9ac4e0097c603","S","FixedSolid","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","09d0feeecb89f1c6d25f9559301bf9f3e9ef09216233084327270f9550840f07"
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","7","0","279","160","6701dc81871b62aa0e5cbe19099af6e97e8b94ba3e6b184e5ff9ac4e0097c603","S","FixedSolid","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","09d0feeecb89f1c6d25f9559301bf9f3e9ef09216233084327270f9550840f07"
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","8","0","280","160","6701dc81871b62aa0e5cbe19099af6e97e8b94ba3e6b184e5ff9ac4e0097c603","S","FixedSolid","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","09d0feeecb89f1c6d25f9559301bf9f3e9ef09216233084327270f9550840f07"
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","9","0","281","160","6701dc81871b62aa0e5cbe19099af6e97e8b94ba3e6b184e5ff9ac4e0097c603","S","FixedSolid","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","09d0feeecb89f1c6d25f9559301bf9f3e9ef09216233084327270f9550840f07"
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","10","0","282","160","6701dc81871b62aa0e5cbe19099af6e97e8b94ba3e6b184e5ff9ac4e0097c603","S","FixedSolid","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","09d0feeecb89f1c6d25f9559301bf9f3e9ef09216233084327270f9550840f07"
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","11","0","283","160","6701dc81871b62aa0e5cbe19099af6e97e8b94ba3e6b184e5ff9ac4e0097c603","S","FixedSolid","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","09d0feeecb89f1c6d25f9559301bf9f3e9ef09216233084327270f9550840f07"
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","12","0","284","160","6701dc81871b62aa0e5cbe19099af6e97e8b94ba3e6b184e5ff9ac4e0097c603","S","FixedSolid","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","09d0feeecb89f1c6d25f9559301bf9f3e9ef09216233084327270f9550840f07"
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","13","0","285","160","6701dc81871b62aa0e5cbe19099af6e97e8b94ba3e6b184e5ff9ac4e0097c603","S","FixedSolid","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","09d0feeecb89f1c6d25f9559301bf9f3e9ef09216233084327270f9550840f07"
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","14","0","286","160","6701dc81871b62aa0e5cbe19099af6e97e8b94ba3e6b184e5ff9ac4e0097c603","S","FixedSolid","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","09d0feeecb89f1c6d25f9559301bf9f3e9ef09216233084327270f9550840f07"
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","15","0","287","160","6701dc81871b62aa0e5cbe19099af6e97e8b94ba3e6b184e5ff9ac4e0097c603","S","FixedSolid","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","09d0feeecb89f1c6d25f9559301bf9f3e9ef09216233084327270f9550840f07"
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","16","0","288","160","6701dc81871b62aa0e5cbe19099af6e97e8b94ba3e6b184e5ff9ac4e0097c603","S","FixedSolid","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","09d0feeecb89f1c6d25f9559301bf9f3e9ef09216233084327270f9550840f07"
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","17","0","289","160","6701dc81871b62aa0e5cbe19099af6e97e8b94ba3e6b184e5ff9ac4e0097c603","S","FixedSolid","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","09d0feeecb89f1c6d25f9559301bf9f3e9ef09216233084327270f9550840f07"
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","18","0","290","160","6701dc81871b62aa0e5cbe19099af6e97e8b94ba3e6b184e5ff9ac4e0097c603","S","FixedSolid","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","09d0feeecb89f1c6d25f9559301bf9f3e9ef09216233084327270f9550840f07"
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","19","0","291","160","6701dc81871b62aa0e5cbe19099af6e97e8b94ba3e6b184e5ff9ac4e0097c603","S","FixedSolid","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","09d0feeecb89f1c6d25f9559301bf9f3e9ef09216233084327270f9550840f07"
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","0","1","272","161","6701dc81871b62aa0e5cbe19099af6e97e8b94ba3e6b184e5ff9ac4e0097c603","S","FixedSolid","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","09d0feeecb89f1c6d25f9559301bf9f3e9ef09216233084327270f9550840f07"
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","1","1","273","161","6701dc81871b62aa0e5cbe19099af6e97e8b94ba3e6b184e5ff9ac4e0097c603","S","FixedSolid","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","09d0feeecb89f1c6d25f9559301bf9f3e9ef09216233084327270f9550840f07"
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","2","1","274","161","6701dc81871b62aa0e5cbe19099af6e97e8b94ba3e6b184e5ff9ac4e0097c603","S","FixedSolid","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","09d0feeecb89f1c6d25f9559301bf9f3e9ef09216233084327270f9550840f07"
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","3","1","275","161","6701dc81871b62aa0e5cbe19099af6e97e8b94ba3e6b184e5ff9ac4e0097c603","S","FixedSolid","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","09d0feeecb89f1c6d25f9559301bf9f3e9ef09216233084327270f9550840f07"
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","4","1","276","161","6701dc81871b62aa0e5cbe19099af6e97e8b94ba3e6b184e5ff9ac4e0097c603","S","FixedSolid","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","09d0feeecb89f1c6d25f9559301bf9f3e9ef09216233084327270f9550840f07"
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","5","1","277","161","6701dc81871b62aa0e5cbe19099af6e97e8b94ba3e6b184e5ff9ac4e0097c603","S","FixedSolid","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","09d0feeecb89f1c6d25f9559301bf9f3e9ef09216233084327270f9550840f07"
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","6","1","278","161","6701dc81871b62aa0e5cbe19099af6e97e8b94ba3e6b184e5ff9ac4e0097c603","S","FixedSolid","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","09d0feeecb89f1c6d25f9559301bf9f3e9ef09216233084327270f9550840f07"
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","7","1","279","161","6701dc81871b62aa0e5cbe19099af6e97e8b94ba3e6b184e5ff9ac4e0097c603","S","FixedSolid","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","09d0feeecb89f1c6d25f9559301bf9f3e9ef09216233084327270f9550840f07"
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","8","1","280","161","6701dc81871b62aa0e5cbe19099af6e97e8b94ba3e6b184e5ff9ac4e0097c603","S","FixedSolid","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","09d0feeecb89f1c6d25f9559301bf9f3e9ef09216233084327270f9550840f07"
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","9","1","281","161","6701dc81871b62aa0e5cbe19099af6e97e8b94ba3e6b184e5ff9ac4e0097c603","S","FixedSolid","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","09d0feeecb89f1c6d25f9559301bf9f3e9ef09216233084327270f9550840f07"
